canonical_gene	manuscript_tier	screen	branch_tested	held_out_dataset	n_datasets_remaining	median_dataset_rank_delta	positive_dataset_fraction	robust_directional_support
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	none	6	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE104323	5	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE214309	5	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE268609	5	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE292261	5	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE325391	5	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE95752	5	0.5	1.0	True
RFX3	Tier 1 core convergent program	selected	dentate	none	6	0.5	1.0	True
RFX3	Tier 1 core convergent program	selected	dentate	GSE104323	5	0.5	1.0	True
RFX3	Tier 1 core convergent program	selected	dentate	GSE214309	5	0.5	1.0	True
RFX3	Tier 1 core convergent program	selected	dentate	GSE268609	5	0.5	1.0	True
RFX3	Tier 1 core convergent program	selected	dentate	GSE292261	5	0.5	1.0	True
RFX3	Tier 1 core convergent program	selected	dentate	GSE325391	5	0.5	1.0	True
RFX3	Tier 1 core convergent program	selected	dentate	GSE95752	5	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	none	6	0.5	0.8333333333333334	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE104323	5	0.5	0.8	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE214309	5	0.5	0.8	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE268609	5	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE292261	5	0.5	0.8	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE325391	5	0.5	0.8	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE95752	5	0.5	0.8	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	none	6	0.5	0.8333333333333334	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE104323	5	0.5	0.8	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE214309	5	0.5	0.8	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE268609	5	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE292261	5	0.5	0.8	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE325391	5	0.5	0.8	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE95752	5	0.5	0.8	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	none	3	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE122357	2	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE165657	2	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE312658	2	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	cerebellar	none	3	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	cerebellar	GSE122357	2	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	cerebellar	GSE165657	2	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	cerebellar	GSE312658	2	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	none	3	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE122357	2	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE165657	2	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	cerebellar	GSE312658	2	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	cerebellar	none	3	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	cerebellar	GSE122357	2	0.5	1.0	True
