gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
GRIN2A	GRIN2A	expanded_marker_panel	expanded_selected_gene	marker_panel	marker_panel	False	True	73	88	1.0	0.5	0.5	3.445370217156958e-15	6	12	1.0	0.5	0.5	0.009879767867540601	0.8728606356968215	0.021850470562350673	7	1	6.799825296645535e-15	0.03418661397874148	True	True	True	1.0	0.021850470562350673
GALNT14	GALNT14	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.2354325481417825e-22	6	12	1.0	0.5	0.5	0.009879767867540601	0.41908325537885877	0.018955745137109195	7	1	4.307214393923416e-21	0.03418661397874148	True	True	True	1.0	0.018955745137109195
SH3RF3	SH3RF3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	4.550672817150389e-11	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6234718826405868	0.01670577512210707	7	1	6.184467005262653e-11	0.013191158405414228	True	True	True	1.0	0.01670577512210707
TLL1	TLL1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.255261491119222e-27	6	12	1.0	0.5	0.5	0.0017167440604175456	0.7857811038353602	0.01556706474077658	5	1	1.5417797925269992e-25	0.013191158405414228	True	True	True	1.0	0.01556706474077658
DNAH14	DNAH14	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	70	87	1.0	0.5	0.5	2.9929344302533117e-08	6	12	1.0	0.5	0.5	0.0017167440604175456	0.4469603469123963	0.01085583244162075	3	1	3.505223962861465e-08	0.013191158405414228	True	True	True	1.0	0.01085583244162075
Tbr1	TBR1	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	marker_panel	True	True	73	88	1.0	0.5	0.5	1.8379127127938037e-17	6	12	1.0	0.5	0.5	0.009879767867540601	0.1569767441860465	0.008593149669092722	7	0	4.995529666729023e-17	0.03418661397874148	True	True	True	1.0	0.008593149669092722
Gabra6	GABRA6	cerebellar_identity	regional_cerebellar_identity	cerebellar_identity_gene_with_human_bridge_leakage_warning	marker_panel	True	True	71	87	1.0	0.5	0.5	1.2664988666775667e-12	3	6	1.0	0.5	0.5	0.010350136863208612	0.12121212121212122	0.006014215418261345	3	0	1.9441160947088764e-12	0.035755018254720654	True	True	True	1.0	0.006014215418261345
FTH1	FTH1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	1.1180982827570478e-17	6	12	1.0	0.5	0.5	0.009879767867540601	0.7323420074349443	0.9824073672369608	7	3	3.0854391543257467e-17	0.03418661397874148	True	True	True	0.9166666666666667	0.7323420074349443
PTBP2	PTBP2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	6.700769929961717e-14	6	12	1.0	0.5	0.5	0.0017167440604175456	0.8061224489795918	0.6496392618973585	7	3	1.1590087701823736e-13	0.013191158405414228	True	True	True	0.9166666666666667	0.6496392618973585
AGPAT4	AGPAT4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	5.491559972206237e-12	6	12	1.0	0.5	0.5	0.00021486327043911477	0.7413793103448276	0.4229908686333492	7	3	7.97268646567291e-12	0.003140309337187062	True	True	True	0.9166666666666667	0.4229908686333492
