gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
ZDHHC20	ZDHHC20	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5833333333333333	0.41666666666666674	3.1277825131250887e-10	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.661727349703641	0.35439942205281727	7	2	4.0794709987783026e-10	0.44652159914500644	True	False	False	0.5833333333333334	0.35439942205281727
ZDHHC21	ZDHHC21	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.0985311727792718e-16	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.7147836784908755	0.1980637574677382	7	3	4.821731052710001e-16	0.44652159914500644	True	False	False	0.6666666666666666	0.1980637574677382
ZEB1	ZEB1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.762016935968248e-23	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6846432889963724	0.48779192510209407	7	3	1.7138182664193408e-22	0.013191158405414228	True	True	True	1.0	0.48779192510209407
ZEB2	ZEB2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	2.2421847203313905e-07	6	12	0.6666666666666666	0.6666666666666666	0.0	0.7404431743695444	0.884844473858372	0.3452435820345205	7	3	2.4686795220298406e-07	0.8934908974782608	False	False	False	0.33333333333333337	0.3452435820345205
ZFAND3	ZFAND3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.100808006620339e-17	6	12	1.0	0.5	0.5	0.009879767867540601	0.8822927328556807	0.3830416761499329	7	3	3.0454752121932595e-17	0.03418661397874148	True	True	True	1.0	0.3830416761499329
ZFPM2	ZFPM2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	3.445370217156958e-15	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.883068288119738	0.09468547078138909	7	2	6.799825296645535e-15	0.10540030481821885	True	False	True	0.8333333333333333	0.09468547078138909
ZFR	ZFR	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.4609010821207194e-21	6	12	0.6666666666666666	0.5	0.16666666666666663	0.12700887922326776	0.7441860465116279	0.47550687252808455	7	3	1.4544126558909648e-20	0.23428822380991143	True	False	False	0.6666666666666666	0.47550687252808455
ZFYVE16	ZFYVE16	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	1.1429144115916546e-05	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.5779601406799532	0.10008980276582247	6	3	1.2205718162197434e-05	0.44652159914500644	True	False	False	0.5	0.10008980276582247
ZFYVE28	ZFYVE28	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	7.892108440208418e-14	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.6016731016731016	0.01385758965827117	6	1	1.3342153707569805e-13	0.10540030481821885	True	False	True	0.8333333333333333	0.01385758965827117
ZFYVE9	ZFYVE9	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	4.273920343380974e-15	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.5914198161389173	0.11970018987903093	5	2	8.404472551943185e-15	0.44652159914500644	True	False	False	0.6666666666666666	0.11970018987903093
