dataset	comparison_group	pseudotime_bin	n_cells	median_graph_pseudotime	dominant_axis_label	proliferation_brdU_proxy	cell_cycle_exit_p21_p27	immature_progenitor_state	neuronal_differentiation_maturation	tgf_smad_pai1_response	bdnf_erk_response	apoptosis_execution	survival_neuroprotection	secreted_stop_candidate_axis
GSE292261	candidate_dentate_granule_only	0	20	1.2107394803945028e-07	P5	0.3214285714285714	0.5408163265306123	0.7295918367346939	0.653061224489796	0.6096938775510203	0.5867346938775511	0.7525510204081632	0.6505102040816326	0.778061224489796
GSE292261	candidate_dentate_granule_only	1	20	1.2107394803945028e-07	P5	0.6071428571428572	0.5612244897959184	0.7295918367346939	0.44387755102040816	0.6428571428571428	0.4846938775510204	0.5510204081632653	0.47959183673469385	0.653061224489796
GSE292261	candidate_dentate_granule_only	2	19	0.19905103365041507	P5	0.7602040816326531	0.6224489795918368	0.5153061224489796	0.6683673469387755	0.4744897959183674	0.5204081632653061	0.4846938775510204	0.46938775510204084	0.5255102040816326
GSE292261	candidate_dentate_granule_only	3	20	0.2544557152231094	P10	0.4362244897959183	0.5	0.4336734693877551	0.5586734693877551	0.4056122448979592	0.4336734693877551	0.44387755102040816	0.5	0.35459183673469385
GSE292261	candidate_dentate_granule_only	4	19	0.2717367495281279	P7	0.3520408163265306	0.4336734693877551	0.3520408163265306	0.5357142857142857	0.5969387755102041	0.3877551020408163	0.576530612244898	0.3877551020408163	0.5153061224489796
GSE292261	candidate_dentate_granule_only	5	20	0.3022422514634987	P15	0.5943877551020408	0.5178571428571428	0.5535714285714286	0.32908163265306123	0.3826530612244898	0.423469387755102	0.4107142857142857	0.5714285714285714	0.5561224489795917
GSE292261	candidate_dentate_granule_only	6	19	0.34265500750219163	P10	0.5	0.40816326530612246	0.25510204081632654	0.5204081632653061	0.5510204081632653	0.6938775510204082	0.5102040816326531	0.336734693877551	0.5306122448979592
GSE292261	candidate_dentate_granule_only	7	20	0.4150663146396343	P15	0.2346938775510204	0.38265306122448983	0.5102040816326531	0.326530612244898	0.5102040816326531	0.5459183673469388	0.34183673469387754	0.5688775510204082	0.451530612244898
GSE292261	candidate_dentate_granule_only	8	19	0.44811453864221	P15	0.5510204081632653	0.5306122448979592	0.45408163265306123	0.4897959183673469	0.5204081632653061	0.5612244897959183	0.4489795918367347	0.5051020408163265	0.45408163265306123
GSE292261	candidate_dentate_granule_only	9	20	0.5193407569542692	P10	0.3520408163265306	0.38010204081632654	0.23724489795918366	0.42091836734693877	0.3137755102040816	0.5051020408163265	0.4387755102040817	0.3112244897959184	0.1913265306122449
GSE122357	candidate_cerebellar_granule_only	0	746	3.641797105007186e-08	P0	0.304479013007912	0.5105270215904519	0.5203164811586429	0.5972911358455143	0.39164543382057126	0.4570873005229985	0.515555853560413	0.4902440659782754	0.5139131017835591
GSE122357	candidate_cerebellar_granule_only	1	746	3.641797105007186e-08	P0	0.3162800053640874	0.4760292342765187	0.5360734879978544	0.5853560413034733	0.4020383532251576	0.4456550891779536	0.45078449778731394	0.4759286576371195	0.49718385409682175
GSE122357	candidate_cerebellar_granule_only	2	745	3.641797105007186e-08	P0	0.33170175673863483	0.5262169773367306	0.5030172991819767	0.5781145232667293	0.39513209065307764	0.45366769478342495	0.47673327075231325	0.5052299852487595	0.5057663939922221
GSE122357	candidate_cerebellar_granule_only	3	746	3.641797105007186e-08	P0	0.24171919002279738	0.4620490814000268	0.4981225693978812	0.5635979616467748	0.3249295963524206	0.3566782888561083	0.3882258280809977	0.385040901166689	0.41450985651066113
GSE122357	candidate_cerebellar_granule_only	4	746	0.03489508055807531	P8b	0.39291940458629476	0.3266393992222073	0.357717580796567	0.3549349604398552	0.37226766796298777	0.32120826069464936	0.3689486388628135	0.362243529569532	0.348833310982969
GSE122357	candidate_cerebellar_granule_only	5	745	0.0407104359752097	P8b	0.5711412096017165	0.35711412096017164	0.34678825264851815	0.3321711143891645	0.44233606007777926	0.45433820571275313	0.43268070269545394	0.47002816145903176	0.44542041035268876
GSE122357	candidate_cerebellar_granule_only	6	746	0.04680551574919182	P8b	0.6532787984444146	0.4632560010728175	0.47079924902775916	0.4180635644361003	0.5673863483974788	0.5469357650529704	0.510694649322784	0.542376290733539	0.47619686200885075
GSE122357	candidate_cerebellar_granule_only	7	745	0.05614648409029787	P8b	0.6664878637521792	0.5457288453801797	0.5484779401904251	0.5291672254257744	0.6191497921416119	0.5684591658844039	0.5883062893925171	0.5313799114925574	0.5305082472844307
GSE122357	candidate_cerebellar_granule_only	8	746	0.07193460868544965	P8a	0.7303875553171517	0.6014147780608824	0.5350006705109294	0.4659715703365965	0.6594810245407	0.5912565374815609	0.5617540565911224	0.5516293415582674	0.5671181440257477
GSE122357	candidate_cerebellar_granule_only	9	746	0.09873091841458745	P8a	0.841759420678557	0.7690760359393858	0.7676679629877967	0.6172053104465602	0.809172589513209	0.8132627061821107	0.7385342631084887	0.7336395333243932	0.7120490814000269
