dataset	accession	node	contrast_id	contrast_label	species	model_or_tissue	module_id	module_label	module_family	hypothesis_role	n_module_genes	n_genes_available	coverage_fraction	median_effect	mean_effect	positive_fraction	negative_fraction	signed_module_shift_score	direction_call	support_class	context_match	top_abs_effect_genes
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	17	4	0.23529411764705882	0.0028871258475349215	0.11664748128044256	0.5	0.5	0.0014004617439808695	near_zero	near_zero_or_mixed	matched_context	FGF8;MAP2K1;FRS2;MAPK1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	14	7	0.5	0.021581189187950045	0.03263811182900219	0.7142857142857143	0.2857142857142857	0.015260205220869278	near_zero	near_zero_or_mixed	off_context	HES5;JAG1;NOTCH2;HES1;DLL1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	10	3	0.3	-0.10253361033690211	-0.16494242900620856	0.0	1.0	-0.05615997128396616	down_shift	weak_shift	off_context	DAB1;CDK5R1;PAFAH1B1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	17	10	0.5882352941176471	-0.036809787752471124	-0.051877117096804023	0.3	0.7	-0.028231818453048087	near_zero	near_zero_or_mixed	off_context	SEMA3C;NRP1;PLXNA2;SEMA5A;SEMA7A
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	21	21	1.0	0.028676919018149505	0.028464390737913275	0.6190476190476191	0.38095238095238093	0.028676919018149505	near_zero	near_zero_or_mixed	off_context	BMP4;GLI1;ID1;VIM;HES5
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	10	5	0.5	0.027640311404328877	0.10821584719597968	0.6	0.2	0.019544651628108815	near_zero	near_zero_or_mixed	off_context	GLI1;GLI2;PTCH1;MYCN;ATOH1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	15	3	0.2	0.028676919018149505	0.08629660683652436	0.6666666666666666	0.3333333333333333	0.012824708061967763	near_zero	near_zero_or_mixed	matched_context	ID1;SMAD3;ID2
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	16	6	0.375	0.07340051524664215	0.036861531579591066	0.6666666666666666	0.3333333333333333	0.04494845230291255	near_zero	near_zero_or_mixed	off_context	LEF1;WNT3A;DKK3;WNT7A;WNT5A
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	18	8	0.4444444444444444	-0.22206640008787382	-0.0014640238180146925	0.25	0.75	-0.1480442667252492	down_shift	moderate_shift	matched_context	BDNF;SOS1;GRB2;MAPK1;NTRK2
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle	NTRK2 KO 3h BDNF vs NTRK2 KO 3h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	15	6	0.4	0.0106958616247681	0.09756289104817546	0.5	0.5	0.006764656854451285	near_zero	near_zero_or_mixed	off_context	ACVR1;BMPR2;ID1;BMPR1A;BMP4
