sample	group	cell_type	source_anchor_label	n_cells	median_counts	median_dentate_identity	median_human_dg_immature	median_human_dg_mature	median_cerebellar_identity	median_shared_granule_neuronal	median_morphogenesis_cytoskeleton	median_axon_guidance_synapse	median_background_max
S2R2	MAD	DiffN	adult_dg_background_warning	1	5091.0	0.0	0.43500954	1.1417794	0.09878403	0.93681145	0.67623174	0.72217125	1.2970463
S2R2	MAD	DiffN	adult_human_dg_differentiating_anchor	125	6619.0	0.2694629	0.29405642	1.5719347	0.0	0.85402596	0.5360204	0.7098382	0.32299295
S2R2	MAD	DiffN_OTOF	adult_dg_background_warning	2	4929.5	0.29784074	0.49940288	1.3397105	0.0	0.8869548	0.61886764	0.4977213	1.4672848
S2R2	MAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	7	5281.0	0.21606894	0.39444727	1.4892814	0.0	0.9658203	0.70015955	0.617816	0.320487
S2R2	MAD	MatN_OTOF	adult_human_dg_mature_anchor	12	49028.0	0.48135793	0.49346158	1.7135122	0.004454959	0.8413923	0.61759686	0.7741878	0.29686946
S2R2	MAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	224	38572.5	0.29142112	0.28679073	1.7006519	0.059725933	0.88557446	0.5957631	1.0343559	0.24831349
S2R2	MAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	419	42518.0	0.33098704	0.32354343	1.7306752	0.069981664	0.8829743	0.6222356	0.97354454	0.2663239
S2R3	CTRL	DiffN	adult_dg_background_warning	20	2040.0	0.2005138	0.24195534	1.2365785	0.0	0.82337666	0.47588378	0.39878055	1.5487719
S2R3	CTRL	DiffN	adult_human_dg_differentiating_anchor	392	3878.5	0.24467498	0.27022123	1.5277183	0.0	0.9179143	0.56168246	0.6241996	0.48191458
S2R3	CTRL	DiffN_OTOF	adult_dg_background_warning	2	3080.0	0.30824858	0.28895026	1.1379578	0.0	0.84072685	0.3499341	0.4330072	1.7198901
S2R3	CTRL	DiffN_OTOF	adult_human_dg_differentiating_anchor	35	2756.0	0.29931784	0.32494378	1.4635725	0.0	0.87918097	0.46504053	0.48794886	0.48443696
S2R3	CTRL	MatN_OTOF	adult_human_dg_mature_anchor	38	26809.0	0.3848881	0.3699675	1.7590439	0.040776778	0.9541876	0.58364487	0.87851226	0.27105522
S2R3	CTRL	MatN_SGCZ_CHRM3	adult_dg_background_warning	1	2855.0	0.0	0.0	0.88387644	0.0	0.5002492	0.6498475	0.3332386	1.2055583
S2R3	CTRL	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	644	21379.0	0.29189667	0.27190888	1.6832142	0.033744637	0.9572593	0.5834286	0.9966322	0.31125447
S2R3	CTRL	MatN_SGCZ_NTF3	adult_dg_background_warning	1	4682.0	0.25031194	0.10389972	1.2419971	0.0	1.0294908	0.28572422	0.5490955	1.4531102
S2R3	CTRL	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1574	22161.5	0.34188434	0.2923891	1.7257532	0.056911614	0.96397996	0.6165353	0.9382939	0.31551376
S2R4	MAD	DiffN	adult_dg_background_warning	15	1850.0	0.18616462	0.16364926	1.1153646	0.0	0.77293146	0.4214859	0.42322606	1.6278614
S2R4	MAD	DiffN	adult_human_dg_differentiating_anchor	325	3187.0	0.21334064	0.27362427	1.5881141	0.0	0.91045046	0.5206352	0.6594019	0.3842914
S2R4	MAD	DiffN_OTOF	adult_dg_background_warning	2	1546.0	0.0	0.0	1.4955697	0.0	0.7339864	0.55103385	0.50441396	2.2706192
S2R4	MAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	22	2593.5	0.3026393	0.31331503	1.6157175	0.0	0.9292069	0.45848924	0.3530406	0.47455394
S2R4	MAD	MatN_OTOF	adult_human_dg_mature_anchor	12	23625.0	0.3411247	0.36641687	1.7455508	0.027518272	0.9338301	0.53405976	0.8949858	0.2955331
S2R4	MAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	667	16541.0	0.26187918	0.2732751	1.7785134	0.048512276	0.9520534	0.5942002	1.0764884	0.25051093
S2R4	MAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	677	22162.0	0.31039986	0.32978144	1.8307661	0.06388016	0.96948946	0.62490124	1.0211506	0.2620705
S2R5	MAD	DiffN	adult_dg_background_warning	17	2773.0	0.0	0.0	1.0621592	0.0	0.67371786	0.4250573	0.4878032	1.3973949
S2R5	MAD	DiffN	adult_human_dg_differentiating_anchor	190	2818.5	0.17504203	0.212549	1.3222146	0.0	0.8461224	0.55237234	0.46663275	0.44553876
S2R5	MAD	DiffN_OTOF	adult_dg_background_warning	5	1570.0	0.26712298	0.0	0.92397237	0.0	0.6620372	0.35616398	0.3270865	1.1196548
S2R5	MAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	76	3811.0	0.2910558	0.4421817	1.5493135	0.0	0.934559	0.42969948	0.44567192	0.39422822
S2R5	MAD	MatN_OTOF	adult_human_dg_mature_anchor	49	50665.0	0.4551174	0.48601946	1.8391043	0.01422128	0.9764434	0.6293034	0.8878802	0.24368516
S2R5	MAD	MatN_SGCZ_CHRM3	adult_dg_background_warning	1	2326.0	0.2084451	0.35719663	0.89414823	0.0	0.70486623	0.3984087	0.98880506	1.3660829
S2R5	MAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	423	27075.0	0.2051608	0.25835937	1.6768996	0.029943695	0.8938978	0.6391245	0.9943129	0.2552749
S2R5	MAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	80	34943.5	0.26798368	0.3196682	1.7213042	0.02911651	0.9382974	0.68427455	0.93537396	0.27402166
S2R5stored	SAD	DiffN	adult_dg_background_warning	5	1244.0	0.0	0.20860128	0.43194404	0.0	0.498397	0.36691713	0.42259443	1.3112018
S2R5stored	SAD	DiffN	adult_human_dg_differentiating_anchor	667	2150.0	0.14660464	0.18890505	1.3808177	0.0	0.74249285	0.37645933	0.6442878	0.30480495
S2R5stored	SAD	DiffN_OTOF	adult_dg_background_warning	8	1273.0	0.14222415	0.095610544	0.7148564	0.0	0.5668025	0.24712875	0.400765	1.4797482
S2R5stored	SAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	44	2373.0	0.12800956	0.18140827	1.1073072	0.0	0.6885724	0.35992324	0.41382864	0.4021207
