dataset	species	region	axis_type	axis_label	axis_order	comparison_group	n_cells	canonical_gene	source_gene_symbol	nonzero_cells	detection_fraction	mean_expression	mean_log1p_expression	source_path	gene_rank_within_axis
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	DUSP1	Dusp1	283.0	0.41253644314868804	0.8935860058309038	0.4283093063336526	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	DUSP6	Dusp6	60.0	0.08746355685131195	0.11078717201166181	0.06860953924193751	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	E2F1	E2f1	68.0	0.09912536443148688	0.13411078717201166	0.08167550381407986	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	EGR1	Egr1	376.0	0.5481049562682215	1.629737609329446	0.6851960176390932	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	ELK1	Elk1	39.0	0.056851311953352766	0.061224489795918366	0.04117949761831248	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.25
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	EOMES	Eomes	40.0	0.05830903790087463	0.15306122448979592	0.0679079391896569	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FOS	Fos	556.0	0.8104956268221575	6.782798833819242	1.5904917165437786	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	GADD45A	Gadd45a	37.0	0.05393586005830904	0.06268221574344024	0.04076013599666265	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	GADD45B	Gadd45b	26.0	0.037900874635568516	0.04664723032069971	0.029645531060570236	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	GDF11	Gdf11	26.0	0.037900874635568516	0.04081632653061224	0.027452998412208315	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.375
