node	module_id	module_label	module_family	context_match	n_contrasts	median_signed_module_shift_score	median_abs_module_shift_score	median_coverage_fraction	dominant_direction	node_module_support_class	strongest_contrast
RBFOX3	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	off_context	1	0.04361394997340279	0.04361394997340279	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
BDNF/NTRK2	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	off_context	5	-0.04316453523800381	0.04316453523800381	0.3	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle
RBFOX3	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	off_context	1	0.036921808306772934	0.036921808306772934	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
RBFOX3/RBFOX1	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	off_context	1	0.033120427990129195	0.033120427990129195	0.9333333333333333	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
RBFOX3/RBFOX1	bmp_smad	BMP/SMAD	differentiation_stop	off_context	1	0.0282607	0.0282607	1.0	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
BDNF/NTRK2	bmp_smad	BMP/SMAD	differentiation_stop	off_context	5	0.023894204234670327	0.023894204234670327	0.4	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_0h_vs_WT_0h
BDNF/NTRK2	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	off_context	5	-0.020280772222400323	0.020280772222400323	1.0	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_0h_vs_WT_0h
BDNF/NTRK2	notch_hes	Notch/HES	neurogenic_permissive	off_context	5	0.015260205220869278	0.015260205220869278	0.5	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle
RBFOX3	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	off_context	1	0.010122972479524102	0.010122972479524102	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
SHH/PTCH/Norrin	notch_hes	Notch/HES	neurogenic_permissive	off_context	4	-0.009323117156250449	0.009323117156250449	1.0	near_zero	near_zero_or_mixed	GSE81962_Ndp_KO_Ptch_het_GNP_vs_WT_GNP
BDNF/NTRK2	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	off_context	5	0.008410260942827145	0.008410260942827145	0.375	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_0h_vs_WT_0h
RBFOX3/RBFOX1	notch_hes	Notch/HES	neurogenic_permissive	off_context	1	0.007650850000000001	0.007650850000000001	1.0	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
RBFOX3/RBFOX1	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	off_context	1	-0.006446008429070432	0.006446008429070432	0.8823529411764706	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
SHH/PTCH/Norrin	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	off_context	4	-0.005316458374999389	0.005316458374999389	1.0	near_zero	near_zero_or_mixed	GSE81962_Ptch_het_GNP_vs_WT_GNP
SHH/PTCH/Norrin	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	off_context	4	0.005285604343749917	0.005285604343749917	1.0	near_zero	near_zero_or_mixed	GSE81962_Ptch_het_GNP_vs_WT_GNP
SHH/PTCH/Norrin	bmp_smad	BMP/SMAD	differentiation_stop	off_context	4	-0.005053372499999931	0.005053372499999931	1.0	near_zero	near_zero_or_mixed	GSE81962_Ndp_KO_Ptch_het_GNP_vs_WT_GNP
SHH/PTCH/Norrin	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	off_context	4	-0.004130736841704074	0.004130736841704074	0.9333333333333333	near_zero	near_zero_or_mixed	GSE81962_Ndp_KO_Ptch_het_GNP_vs_Ptch_het_GNP
SHH/PTCH/Norrin	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	off_context	4	-0.003507399562500124	0.003507399562500124	1.0	near_zero	near_zero_or_mixed	GSE81962_Ndp_KO_Ptch_het_GNP_vs_WT_GNP
SHH/PTCH/Norrin	fgf_mapk	FGF/MAPK	neurogenic_permissive	off_context	4	-0.00156438170293817	0.00156438170293817	0.9411764705882353	near_zero	near_zero_or_mixed	GSE81962_Ptch_het_GNP_vs_WT_GNP
SHH/PTCH/Norrin	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	off_context	4	0.0013624648124999084	0.0013624648124999084	1.0	near_zero	near_zero_or_mixed	GSE81962_Ptch_het_GNP_vs_WT_GNP
SHH/PTCH/Norrin	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	off_context	4	0.00034452418749975067	0.00034452418749975067	1.0	near_zero	near_zero_or_mixed	GSE81962_Ptch_het_GNP_vs_WT_GNP
BDNF/NTRK2	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	off_context	5	0.0	0.0	1.0	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_0h_vs_WT_0h
BDNF/NTRK2	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	off_context	5	0.0	0.0	0.5	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle
