gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	mechanism_class	manuscript_use	mechanism_priority_score
PARK2	PARK2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538	0.0	0.0612284319021679	3	1	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
SEPT11	SEPT11	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	1.6711874299226952e-07	6	12	1.0	0.5	0.5	0.0002148632704391	0.0	0.4543509190500994	4	3	1.8493905793379213e-07	0.003140309337187	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
SEPT7	SEPT7	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	2.1511987104409237e-07	6	12	1.0	0.5	0.5	0.0098797678675406	0.0	0.7659378399065383	4	3	2.3697054357269498e-07	0.0341866139787414	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
ZCCHC11	ZCCHC11	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538	0.0	0.321743026765089	4	2	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
AC007246.3	AC007246.3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0363469518033833	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
AC007563.5	AC007563.5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0011570379827641	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
AC074363.1	AC074363.1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0003191828917969	0	0	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
C16ORF45	C16ORF45	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.4786546441110756	1	1	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
C16ORF62	C16ORF62	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0964331311841685	0	1	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
C17ORF51	C17ORF51	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	6.76221663967028e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.0	0.0519470156399617	1	1	7.619349553997316e-08	0.4804597701149425	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
