analysis_region	sampling_group	neuron_id	neuron_name	archive	species	strain	brain_region	cell_type	age_classification	age_scale	min_age	max_age	gender	experiment_condition	protocol	domain	attributes	physical_integrity	reconstruction_software	slicing_thickness	reference_pmid	reference_doi	measurements_url
dentate_gyrus	DG_mouse_sample	103666	2452-1-WT-20x-apo-sham-P2	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103666
dentate_gyrus	DG_mouse_sample	103667	2417-3-20x-ApoE-WT-Sham-P1	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103667
dentate_gyrus	DG_mouse_sample	103668	2416-3-20x-ApoE-WT-Sham-P11	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103668
dentate_gyrus	DG_mouse_sample	103669	2452-1-WT-20x-apo-sham-P10	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103669
dentate_gyrus	DG_mouse_sample	103670	2417-3-20x-ApoE-WT-Sham-P24	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103670
dentate_gyrus	DG_mouse_sample	103671	2416-3-20x-ApoE-WT-Sham-P3	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103671
dentate_gyrus	DG_mouse_sample	103672	2417-3-20x-ApoE-WT-Sham-P25	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103672
dentate_gyrus	DG_mouse_sample	103673	2452-1-WT-20x-apo-sham-P11	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103673
dentate_gyrus	DG_mouse_sample	103674	2416-3-20x-ApoE-WT-Sham-P10	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103674
dentate_gyrus	DG_mouse_sample	103675	2417-3-20x-ApoE-WT-Sham-P9	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103675
dentate_gyrus	DG_mouse_sample	103676	2417-3-20x-ApoE-WT-Sham-P13	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103676
dentate_gyrus	DG_mouse_sample	103677	2452-1-WT-20x-apo-sham-P3	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103677
dentate_gyrus	DG_mouse_sample	103678	2449-1-WT-20x-apo-sham-P3	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103678
dentate_gyrus	DG_mouse_sample	103679	2417-3-20x-ApoE-WT-Sham-P18	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103679
dentate_gyrus	DG_mouse_sample	103680	2417-3-20x-ApoE-WT-Sham-P2	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103680
dentate_gyrus	DG_mouse_sample	103681	2417-3-20x-ApoE-WT-Sham-P27	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103681
dentate_gyrus	DG_mouse_sample	103682	2416-3-20x-ApoE-WT-Sham-P1	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103682
dentate_gyrus	DG_mouse_sample	103683	2452-1-WT-20x-apo-sham-P8	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103683
dentate_gyrus	DG_mouse_sample	103684	2416-3-20x-ApoE-WT-Sham-P12	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103684
dentate_gyrus	DG_mouse_sample	103685	2452-1-WT-20x-apo-sham-P13	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103685
dentate_gyrus	DG_mouse_sample	103686	2449-4-WT-20x-apo-sham-P4	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103686
