canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_meta_strict_full_matrix_cerebellar	branch_meta_strict_full_matrix_dentate	branch_meta_strict_selected_cerebellar	branch_meta_strict_selected_dentate	branch_meta_support_full_matrix_cerebellar	branch_meta_support_full_matrix_dentate	branch_meta_support_selected_cerebellar	branch_meta_support_selected_dentate	dataset_sign_p_adj_bh_full_matrix_cerebellar	dataset_sign_p_adj_bh_full_matrix_dentate	dataset_sign_p_adj_bh_selected_cerebellar	dataset_sign_p_adj_bh_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_delta_full_matrix_cerebellar	median_dataset_delta_full_matrix_dentate	median_dataset_delta_selected_cerebellar	median_dataset_delta_selected_dentate	min_dataset_delta_full_matrix_cerebellar	min_dataset_delta_full_matrix_dentate	min_dataset_delta_selected_cerebellar	min_dataset_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	sum_positive_median_dataset_delta	minimum_available_candidate_detection	shared_meta_support_selected	shared_meta_support_full_matrix	shared_meta_strict_selected	shared_meta_strict_full_matrix	shared_meta_support_both_screens	shared_meta_strict_both_screens	ortholog_meta_tier	ortholog_meta_priority_score	selected_is_original_candidate_gene	selected_mechanism_class	selected_manuscript_use	selected_mechanism_priority_score	genome_is_original_candidate_gene	genome_mechanism_class	genome_manuscript_use	genome_mechanism_priority_score	consensus_tier	combined_priority_score	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	mgi_one_to_one_human_mouse	same_canonical_symbol_x	strict_same_symbol_one_to_one	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	same_canonical_symbol_y	ortholog_symbol_class
EIF3M	EIF3M	EIF3M	Eif3m	51619151	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5283673795084584	0.5658883455751873			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5283673795084584	False	True	False	False	False	False	supported_shared_full_matrix_only	5.528367379508459					False	metabolic_or_housekeeping_support	supporting_context_not_core_executor	0.5752152493630509	shared_positive_both_screens	0.5752152493630509			True	True	True	10480	98221	HGNC:24460	MGI:1351744	True	same_symbol
RHOA	RHOA	RHOA	Rhoa	51616229	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5279285030322375	0.6942825221023997			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5279285030322375	False	True	False	False	False	False	supported_shared_full_matrix_only	5.527928503032237					False	unclassified_shared_neuronal_or_context	exploratory_context	1.086301034742028	shared_positive_both_screens	1.086301034742028			True	True	True	387	11848	HGNC:667	MGI:1096342	True	same_symbol
ARF4	ARF4	ARF4	Arf4	51628199	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5224225981487393	0.6189157679976682			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5224225981487393	False	True	False	False	False	False	supported_shared_full_matrix_only	5.522422598148739					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0820768502263247	shared_positive_both_screens	1.0820768502263247			True	True	True	378	11843	HGNC:655	MGI:99433	True	same_symbol
HSPA5	HSPA5	HSPA5	Hspa5	51616503	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5185525055857007	0.8213314180233446			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5185525055857007	False	True	False	False	False	False	supported_shared_full_matrix_only	5.518552505585701					False	metabolic_or_housekeeping_support	supporting_context_not_core_executor	0.5798101971564176	shared_positive_both_screens	0.5798101971564176			True	True	True	3309	14828	HGNC:5238	MGI:95835	True	same_symbol
PDIA3	PDIA3	PDIA3	Pdia3	51618953	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5152808809447813	0.8109186548417093			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5152808809447813	False	True	False	False	False	False	supported_shared_full_matrix_only	5.515280880944781					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0850502097672885	shared_positive_both_screens	1.0850502097672885			True	True	True	2923	14827	HGNC:4606	MGI:95834	True	same_symbol
MRPL51	MRPL51	MRPL51	Mrpl51	51625294	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5135253750398978	0.5418475900998697			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5135253750398978	False	True	False	False	False	False	supported_shared_full_matrix_only	5.513525375039897					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0368047077097398	shared_positive_both_screens	1.0368047077097398			True	True	True	51258	66493	HGNC:14044	MGI:1913743	True	same_symbol
TIMM8B	TIMM8B	TIMM8B	Timm8b	51630532	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5112910947973188	0.8189488881751801			0.5	0.5			2.7755575615628914e-17	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5112910947973188	False	True	False	False	False	False	supported_shared_full_matrix_only	5.511291094797318					False	unclassified_shared_neuronal_or_context	exploratory_context	0.8753570709202744	shared_positive_both_screens	0.8753570709202744			True	True	True	26521	30057	HGNC:11818	MGI:1353424	True	same_symbol
NME1	NME1	NME1	Nme1	51623372	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5097350781998085	0.8195127113164724			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5097350781998085	False	True	False	False	False	False	supported_shared_full_matrix_only	5.5097350781998085					False	unclassified_shared_neuronal_or_context	exploratory_context	1.000534248562339	shared_positive_both_screens	1.000534248562339			True	True	True	4830	18102	HGNC:7849	MGI:97355	True	same_symbol
SNRPB	SNRPB	SNRPB	Snrpb	51629952	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5005984679221194	0.534082088816364			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5005984679221194	False	True	False	False	False	False	supported_shared_full_matrix_only	5.500598467922119					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0246791158799344	shared_positive_both_screens	1.0246791158799344			True	True	True	6628	20638	HGNC:11153	MGI:98342	True	same_symbol
ESD	ESD	ESD	Esd	51619687	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.6180178742419407	0.49815459202109885			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.49815459202109885	False	True	False	False	False	False	supported_shared_full_matrix_only	5.498154592021099					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0492578708352722	shared_positive_both_screens	1.0492578708352722			True	True	True	2098	13885	HGNC:3465	MGI:95421	True	same_symbol
MLF2	MLF2	MLF2	Mlf2	51620871	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.4962097031599106	0.674744278358385			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.4962097031599106	False	True	False	False	False	False	supported_shared_full_matrix_only	5.49620970315991					False	unclassified_shared_neuronal_or_context	exploratory_context	1.134802362717194	shared_positive_both_screens	1.134802362717194			True	True	True	8079	30853	HGNC:7126	MGI:1353554	True	same_symbol
AURKAIP1	AURKAIP1	AURKAIP1	Aurkaip1	51629276	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5128870092563038	0.4955911647512445			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.4955911647512445	False	True	False	False	False	False	supported_shared_full_matrix_only	5.495591164751245					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0361164125653062	shared_positive_both_screens	1.0361164125653062			True	True	True	54998	66077	HGNC:24114	MGI:1913327	True	same_symbol
SEC11A	SEC11A	SEC11A	Sec11a	51624363	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5169964889881903	0.4945385907204619			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.4945385907204619	False	True	False	False	False	False	supported_shared_full_matrix_only	5.494538590720462					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0452634780829086	shared_positive_both_screens	1.0452634780829086			True	True	True	23478	56529	HGNC:17718	MGI:1929464	True	same_symbol
ZFAND5	ZFAND5	ZFAND5	Zfand5	51621839	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.49122880945109104	0.6712261947780209			0.5	0.5			0.5	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.49122880945109104	False	True	False	False	False	False	supported_shared_full_matrix_only	5.491228809451091					False	unclassified_shared_neuronal_or_context	exploratory_context	1.1293771921049094	shared_positive_both_screens	1.1293771921049094			True	True	True	7763	22682	HGNC:13008	MGI:1278334	True	same_symbol
PSMC3	PSMC3	PSMC3	Psmc3	51627581	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.4859958506224066	0.6715798531595676			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.4859958506224066	False	True	False	False	False	False	supported_shared_full_matrix_only	5.485995850622406					False	unclassified_shared_neuronal_or_context	exploratory_context	1.030358657480553	shared_positive_both_screens	1.030358657480553			True	True	True	5702	19182	HGNC:9549	MGI:1098754	True	same_symbol
CBX5	CBX5	CBX5	Cbx5	51620292	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.4815671879987233	0.6300321498462399			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.4815671879987233	False	True	False	False	False	False	supported_shared_full_matrix_only	5.481567187998723					False	unclassified_shared_neuronal_or_context	exploratory_context	1.1150973804170965	shared_positive_both_screens	1.1150973804170965			True	True	True	23468	12419	HGNC:1555	MGI:109372	True	same_symbol
