donor_id	comparator	feature_type	model_term_supported	target_set	peak_category	n_barcodes_granule	n_barcodes_comparator	mean_feature_score_granule	mean_feature_score_comparator	delta_granule_minus_comparator	mean_detection_granule	mean_detection_comparator	delta_detection_granule_minus_comparator	n_donors	mean_delta_score	median_delta_score	mean_delta_detection	median_delta_detection
H628	purkinje_candidate	Peaks	FatePolarity	deep_neural_progenitor	proximal_10kb	96	1544	0.21063287795095562	0.21193672261422625	-0.0013038446632706313	0.06486742424242425	0.06968323127649552	-0.004815807034071265					
H628	purkinje_candidate	Peaks	FatePolarity	deep_neural_progenitor	proximal_10kb	96	26	0.21063287795095562	0.29947790138366137	-0.08884502343270576	0.06486742424242425	0.0979020979020979	-0.03303467365967365					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	distal_100kb	96	1544	0.20923193110205984	0.22339019457209675	-0.014158263470036903	0.06722222222222222	0.07471934369602763	-0.007497121473805407					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	distal_100kb	96	26	0.20923193110205984	0.19401360988910638	0.015218321212953467	0.06722222222222222	0.06641025641025641	0.0008119658119658119					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	gene_body_overlap	96	1544	0.19983303018345458	0.20017443339995009	-0.0003414032164955061	0.06398809523809523	0.06809109654224384	-0.004103001304148604					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	gene_body_overlap	96	26	0.19983303018345458	0.184192400769423	0.015640629414031576	0.06398809523809523	0.06318681318681318	0.0008012820512820484					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	gene_edge_2kb	96	1544	0.2825504167426092	0.28623353525370115	-0.0036831185110919318	0.09294871794871794	0.09994021522518931	-0.006991497276471373					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	gene_edge_2kb	96	26	0.2825504167426092	0.23872987797453712	0.0438205387680721	0.09294871794871794	0.08579881656804735	0.0071499013806705924					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	proximal_10kb	96	1544	0.26292370751020705	0.2779564228853539	-0.015032715375146832	0.08506944444444443	0.0950183506044905	-0.009948906160046067					
H628	purkinje_candidate	Peaks	FatePolarity	dentate_fate_wnt_prox1	proximal_10kb	96	26	0.26292370751020705	0.26193705688004404	0.0009866506301630107	0.08506944444444443	0.08493589743589745	0.00013354700854698032					
H628	purkinje_candidate	Peaks	FatePolarity	hindbrain_rhombic_lip_pattern	distal_100kb	96	1544	0.25128263936624384	0.25067970772418097	0.0006029316420628761	0.08197278911564625	0.08482341122977688	-0.0028506221141306326					
