dataset	region	axis_type	comparison_group	metric_type	metric_id	metric_label	paper_readout	trajectory_role	orientation	spearman_rho_vs_assigned_pseudotime	spearman_p	n_axis_units
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	-0.6708203932499368	0.21516994256955005	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	-0.8999999999999998	0.03738607346849875	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	-0.6668859288553501	0.21889398131323165	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	-0.8207826816681233	0.08858700531354381	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	composite	1	-0.3	0.6238376647810728	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	composite	1	-0.09999999999999999	0.8728885715695383	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	composite	1	0.3689323936863109	0.5411457083064428	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	-0.8720815992723809	0.05385421772754214	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	-0.5270462766947299	0.3614548502018728	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	-0.3	0.6238376647810728	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	-0.6668859288553501	0.21889398131323165	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	-0.7905694150420948	0.11136715471408383	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	-0.7378647873726218	0.15461852312844906	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	-0.9999999999999999	1.4042654220543672e-24	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	-0.46169025843831935	0.43376615616902786	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	-0.8207826816681233	0.08858700531354381	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	composite	1	-0.49999999999999994	0.39100221895577053	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	composite	1	0.09999999999999999	0.8728885715695383	5
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	composite	1	0.09999999999999999	0.8728885715695383	5
