dataset	sample	source_group	specificity_role	module_id	module_label	module_family	n_defined_genes	n_present_genes	present_genes	missing_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank
GSE104323	10X_all_cells	VLMC	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		160	0.08154672712469944	0.12125167246048893	0.22916666666666666
GSE104323	10X_all_cells	MOL	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		704	0.08154672712469944	0.09429406865011464	0.22916666666666666
GSE104323	10X_all_cells	NFOL	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		232	0.11446530288560666	0.12163034294195164	0.375
GSE104323	10X_all_cells	OPC	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		794	0.08154672712469944	0.10788346386351211	0.22916666666666666
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		468	0.2816171613401203	0.2950356509711278	0.75
GSE104323	10X_all_cells	nIPC	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		353	0.3981466595087429	0.4068287099008871	0.9166666666666666
GSE104323	10X_all_cells	Neuroblast	dentate_granule	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		1381	0.43065815039643984	0.42847719894596775	0.9583333333333334
GSE104323	10X_all_cells	Immature-GC	dentate_granule	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		2419	0.46856150430176413	0.4776523877063571	1.0
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		4520	0.3738886859232877	0.37461446685575794	0.875
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		535	0.25156859523623853	0.2700004032181261	0.7083333333333334
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		1024	0.08154672712469944	0.11297610886091951	0.22916666666666666
GSE104323	10X_all_cells	GABA	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		209	0.08154672712469944	0.09778340475095768	0.22916666666666666
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		532	0.30926443364869305	0.3140092363317126	0.7916666666666666
GSE104323	10X_all_cells	GC-juv	dentate_granule	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		3420	0.37388868592328767	0.389522019118881	0.8333333333333334
GSE104323	10X_all_cells	GC-adult	dentate_granule	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		2613	0.24464018137409832	0.2565274515384688	0.6666666666666666
GSE104323	10X_all_cells	RGL	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		199	0.1916834138445309	0.19860811200757192	0.6666666666666666
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	21	Sox2,Hes1,Hes5,Notch1,Notch2,Dll1,Jag1,Ascl1,Dcx,Tubb3,Nes,Vim,Gfap,Bmp4,Bmpr1a,Id1,Id2,Ptch1,Gli1,Wnt5a,Wnt7a		1232	0.15133589668323552	0.16097835429434287	0.5
