targeted_rank	recommended_action	recommended_track	asset_id	path	subject	session	size_gb	priority_score	priority_per_gb	local_subject_sessions	local_subject_units	local_subject_granule_units	local_subject_max_granule_units	local_subject_mean_granule_units	nearest_local_day_gap	new_subject	same_subject_with_granule_evidence	same_subject_granule_score	adjacent_session_score	new_subject_breadth_score	small_file_score	large_file_penalty	priority_reason	local_path	download_url_api
21	hold	breadth_first	9a2b884e-620c-43cc-8071-31b9e201cadf	sub-YutaMouse44/sub-YutaMouse44_ses-YutaMouse44-151128_behavior+ecephys.nwb	YutaMouse44	YutaMouse44-151128	7.036142274	4.0	0.5684933368645524	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	2.0	0.0	new subject adds biological breadth; 7.04 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse44/sub-YutaMouse44_ses-YutaMouse44-151128_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/9a2b884e-620c-43cc-8071-31b9e201cadf/download/
22	hold	breadth_first	036cce35-9518-45ea-9ba2-abe177afb382	sub-YutaMouse54/sub-YutaMouse54_ses-YutaMouse54-160630_behavior+ecephys.nwb	YutaMouse54	YutaMouse54-160630	7.153577009	3.998469909312484	0.5589469302255308	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.998469909312484	0.0	new subject adds biological breadth; 7.15 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse54/sub-YutaMouse54_ses-YutaMouse54-160630_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/036cce35-9518-45ea-9ba2-abe177afb382/download/
23	hold	breadth_first	7f743de5-f2e0-4189-8320-37bc63d4d24e	sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161004_behavior+ecephys.nwb	YutaMouse57	YutaMouse57-161004	7.733488157	3.9909140814124884	0.5160561444449999	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.9909140814124884	0.0	new subject adds biological breadth; 7.73 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161004_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/7f743de5-f2e0-4189-8320-37bc63d4d24e/download/
24	hold	breadth_first	beaeec28-6ab4-4878-b14d-aeaa5705a32a	sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160916_behavior+ecephys.nwb	YutaMouse56	YutaMouse56-160916	7.94071836	3.9882140199376415	0.5022485169638533	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.9882140199376415	0.0	new subject adds biological breadth; 7.94 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160916_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/beaeec28-6ab4-4878-b14d-aeaa5705a32a/download/
25	hold	breadth_first	696181f1-df16-40ee-bdf7-cee9933b1def	sub-YutaMouse39/sub-YutaMouse39_ses-YutaMouse39-150728_behavior+ecephys.nwb	YutaMouse39	YutaMouse39-150728	8.006268882	3.987359943473178	0.4980297317315576	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.987359943473178	0.0	new subject adds biological breadth; 8.01 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse39/sub-YutaMouse39_ses-YutaMouse39-150728_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/696181f1-df16-40ee-bdf7-cee9933b1def/download/
26	hold	breadth_first	95a8893b-72cf-4c69-9a56-f18f6ae55c16	sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150816_behavior+ecephys.nwb	YutaMouse40	YutaMouse40-150816	8.179446025	3.985103569038519	0.48720947077079324	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.9851035690385188	0.0	new subject adds biological breadth; 8.18 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150816_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/95a8893b-72cf-4c69-9a56-f18f6ae55c16/download/
27	hold	breadth_first	5e9e92e1-f044-4aa0-ab47-1cfcb8899348	sub-YutaMouse20/sub-YutaMouse20_ses-YutaMouse20-140327_behavior+ecephys.nwb	YutaMouse20	YutaMouse20-140327	8.417855886	3.9819972588984385	0.47304174754536044	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.9819972588984387	0.0	new subject adds biological breadth; 8.42 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse20/sub-YutaMouse20_ses-YutaMouse20-140327_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/5e9e92e1-f044-4aa0-ab47-1cfcb8899348/download/
28	hold	breadth_first	f7eb8e0e-5be5-4a5c-833a-036fc788d075	sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150814_behavior+ecephys.nwb	YutaMouse40	YutaMouse40-150814	8.422321677	3.981939072832608	0.472784016752369	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.9819390728326083	0.0	new subject adds biological breadth; 8.42 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150814_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/f7eb8e0e-5be5-4a5c-833a-036fc788d075/download/
29	hold	breadth_first	6d1a9d82-2c5a-47cb-ba4c-6703700bb023	sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160915_behavior+ecephys.nwb	YutaMouse56	YutaMouse56-160915	8.610074024	3.9794927939041127	0.46219031135058136	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.9794927939041127	0.0	new subject adds biological breadth; 8.61 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160915_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/6d1a9d82-2c5a-47cb-ba4c-6703700bb023/download/
30	hold	breadth_first	a494e001-1a33-4f1c-8435-e66a6a52533b	sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161016_behavior+ecephys.nwb	YutaMouse57	YutaMouse57-161016	8.702596037	3.978287298183604	0.45713799437196656	0.0	0.0	0.0	0.0	0.0		True	False	0.0	0.0	2.0	1.9782872981836042	0.0	new subject adds biological breadth; 8.70 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161016_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/a494e001-1a33-4f1c-8435-e66a6a52533b/download/
