dataset	sample	branch	source_group	module_id	module_label	n_present_genes	present_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	PVM	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	79	0.0	0.007818971854204052	0.2708333333333333	False		other	other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	428	0.0	0.008191555514047627	0.2708333333333333	False		other	other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	543	0.05331901388922656	0.06584742262259181	0.6875	False		other	other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	160	0.10663802777845312	0.12105845337370409	0.9166666666666666	False		other	other	VLMC
GSE104323	10X_all_cells	dentate	MOL	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	704	0.0	0.017932641366836755	0.2708333333333333	False		other	other	MOL
GSE104323	10X_all_cells	dentate	NFOL	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	232	0.0	0.008447130850106956	0.2708333333333333	False		other	other	NFOL
GSE104323	10X_all_cells	dentate	OPC	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	794	0.0	0.02218574285243668	0.2708333333333333	False		other	other	OPC
GSE104323	10X_all_cells	dentate	nIPC-perin	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	468	0.13782765147908116	0.14001586722678167	1.0	True	3.0	progenitor	early/progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	353	0.10663802777845312	0.11526903937344983	0.9166666666666666	True	2.0	progenitor	early/progenitor	nIPC
GSE104323	10X_all_cells	dentate	Neuroblast	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	1381	0.05331901388922656	0.05267894617314237	0.6875	True	4.0	immature	postmitotic/immature	Neuroblast
