dataset	library_id	source_member	delimiter_hint	n_cells	n_genes	nnz	total_counts	matrix_path	barcodes_path	genes_path	cell_metadata_path	gene_metadata_path
GSE185553	GSM5618239_Sample5	GSM5618239_Sample5.txt.gz	whitespace	2887	39170	4457612	10919376	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample5/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample5/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample5/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample5/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample5/gene_metadata.tsv.gz
GSE185553	GSM5618240_Sample12	GSM5618240_Sample12.txt.gz	whitespace	4799	39348	3690428	7017680	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample12/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample12/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample12/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample12/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample12/gene_metadata.tsv.gz
GSE185553	GSM5618240_Sample17	GSM5618240_Sample17.txt.gz	whitespace	4855	39348	6370567	15394017	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample17/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample17/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample17/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample17/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample17/gene_metadata.tsv.gz
GSE185553	GSM5618240_Sample18	GSM5618240_Sample18.txt.gz	whitespace	4901	39348	5412393	12135195	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample18/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample18/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample18/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample18/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample18/gene_metadata.tsv.gz
GSE185553	GSM5618240_Sample40	GSM5618240_Sample40.txt.gz	whitespace	1034	39348	791600	1701424	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample40/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample40/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample40/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample40/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample40/gene_metadata.tsv.gz
GSE185553	GSM5618240_Sample41	GSM5618240_Sample41.txt.gz	whitespace	1056	39348	413865	588665	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample41/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample41/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample41/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample41/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618240_Sample41/gene_metadata.tsv.gz
GSE185553	GSM5618241_Sample19	GSM5618241_Sample19.txt.gz	whitespace	4733	38491	4226515	8449238	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample19/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample19/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample19/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample19/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample19/gene_metadata.tsv.gz
GSE185553	GSM5618241_Sample3	GSM5618241_Sample3.txt.gz	whitespace	3132	38491	3083547	6435291	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample3/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample3/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample3/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample3/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample3/gene_metadata.tsv.gz
GSE185553	GSM5618241_Sample4	GSM5618241_Sample4.txt.gz	whitespace	2955	38491	2389900	5174856	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample4/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample4/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample4/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample4/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample4/gene_metadata.tsv.gz
GSE185553	GSM5618241_Sample42	GSM5618241_Sample42.txt.gz	whitespace	2209	38491	2412389	5731593	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample42/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample42/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample42/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample42/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample42/gene_metadata.tsv.gz
GSE185553	GSM5618241_Sample8	GSM5618241_Sample8.txt.gz	whitespace	2444	38491	2254314	5085680	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample8/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample8/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample8/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample8/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618241_Sample8/gene_metadata.tsv.gz
