dataset	sample	group	panel	panel_gene_count	genes_found	coverage_fraction	mean_detection_fraction_found_genes	mean_expression_found_genes	found_genes	missing_genes
GSE214309	snRNA_counts	matureactive_4hr	axon_guidance_synapse	15	15	1	0.439506	166.928	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	matureactive_4hr	cerebellar_identity	12	12	1	0.131173	6.03199	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	matureactive_4hr	dentate_identity	12	12	1	0.328704	43.2107	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	matureactive_4hr	metabolic_proteomic_validation	8	6	0.75	0.574074	95.7245	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	matureactive_4hr	morphogenesis_cytoskeleton	13	12	0.923077	0.388889	97.035	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	matureactive_4hr	shared_granule_neuronal	12	11	0.916667	0.488215	109.456	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214905	patch_RNA_QC_counts	all	axon_guidance_synapse	15	15	1	0.386667	411.756	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214905	patch_RNA_QC_counts	all	cerebellar_identity	12	12	1	0.0561403	14.2211	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214905	patch_RNA_QC_counts	all	dentate_identity	12	12	1	0.507018	704.673	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214905	patch_RNA_QC_counts	all	metabolic_proteomic_validation	8	7	0.875	0.851128	1902.83	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE214905	patch_RNA_QC_counts	all	morphogenesis_cytoskeleton	13	12	0.923077	0.620175	1261.29	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214905	patch_RNA_QC_counts	all	shared_granule_neuronal	12	12	1	0.608772	2322.4	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE242688	WT_ZT12_rep1	all	axon_guidance_synapse	15	15	1	0.27856	0.449595	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE242688	WT_ZT12_rep1	all	cerebellar_identity	12	12	1	0.234712	0.483843	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE242688	WT_ZT12_rep1	all	dentate_identity	12	12	1	0.37475	1.05978	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE242688	WT_ZT12_rep1	all	metabolic_proteomic_validation	8	7	0.875	0.938247	13.1985	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE242688	WT_ZT12_rep1	all	morphogenesis_cytoskeleton	13	12	0.923077	0.798705	6.62398	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE242688	WT_ZT12_rep1	all	shared_granule_neuronal	12	12	1	0.56523	7.42675	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE242688	WT_ZT12_rep2	all	axon_guidance_synapse	15	15	1	0.335044	0.52149	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE242688	WT_ZT12_rep2	all	cerebellar_identity	12	12	1	0.186801	0.362251	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE242688	WT_ZT12_rep2	all	dentate_identity	12	12	1	0.423641	1.14956	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE242688	WT_ZT12_rep2	all	metabolic_proteomic_validation	8	7	0.875	0.992724	15.8034	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE242688	WT_ZT12_rep2	all	morphogenesis_cytoskeleton	13	12	0.923077	0.869127	8.75507	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE242688	WT_ZT12_rep2	all	shared_granule_neuronal	12	12	1	0.595769	8.13351	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE292261	SS2_filtered_counts	DG_P10	axon_guidance_synapse	15	15	1	0.472528	71.9055	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE292261	SS2_filtered_counts	DG_P10	cerebellar_identity	12	3	0.25	0.131868	2.47985	Barhl1,Etv1,Ror1	Atoh1,Barhl2,Cbln3,En2,Gabra6,Grin2c,Pax6,Zic1,Zic2
GSE292261	SS2_filtered_counts	DG_P10	dentate_identity	12	12	1	0.59707	109.842	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE292261	SS2_filtered_counts	DG_P10	metabolic_proteomic_validation	8	7	0.875	0.963893	209.595	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE292261	SS2_filtered_counts	DG_P10	morphogenesis_cytoskeleton	13	12	0.923077	0.737179	166.381	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE292261	SS2_filtered_counts	DG_P10	shared_granule_neuronal	12	10	0.833333	0.882418	231.907	Dcx,Map2,Neurod1,Neurod2,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Eomes,Pax6
GSE292261	SS2_filtered_counts	DG_P15	axon_guidance_synapse	15	15	1	0.384946	62.8294	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE292261	SS2_filtered_counts	DG_P15	cerebellar_identity	12	3	0.25	0.154122	4.41219	Barhl1,Etv1,Ror1	Atoh1,Barhl2,Cbln3,En2,Gabra6,Grin2c,Pax6,Zic1,Zic2
GSE292261	SS2_filtered_counts	DG_P15	dentate_identity	12	12	1	0.540323	121.781	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE292261	SS2_filtered_counts	DG_P15	metabolic_proteomic_validation	8	7	0.875	0.981567	244.883	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE292261	SS2_filtered_counts	DG_P15	morphogenesis_cytoskeleton	13	12	0.923077	0.594086	157.164	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE292261	SS2_filtered_counts	DG_P15	shared_granule_neuronal	12	10	0.833333	0.825806	313.735	Dcx,Map2,Neurod1,Neurod2,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Eomes,Pax6
GSE292261	SS2_filtered_counts	DG_P28	axon_guidance_synapse	15	15	1	0.143656	51.7991	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE292261	SS2_filtered_counts	DG_P28	cerebellar_identity	12	3	0.25	0.0688174	7.44302	Barhl1,Etv1,Ror1	Atoh1,Barhl2,Cbln3,En2,Gabra6,Grin2c,Pax6,Zic1,Zic2
GSE292261	SS2_filtered_counts	DG_P28	dentate_identity	12	12	1	0.271505	76.8725	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE292261	SS2_filtered_counts	DG_P28	metabolic_proteomic_validation	8	7	0.875	0.697696	308.348	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE292261	SS2_filtered_counts	DG_P28	morphogenesis_cytoskeleton	13	12	0.923077	0.333871	139.002	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE292261	SS2_filtered_counts	DG_P28	shared_granule_neuronal	12	10	0.833333	0.558065	410.718	Dcx,Map2,Neurod1,Neurod2,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Eomes,Pax6
GSE292261	SS2_filtered_counts	DG_P5	axon_guidance_synapse	15	15	1	0.414184	127.473	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE292261	SS2_filtered_counts	DG_P5	cerebellar_identity	12	3	0.25	0.035461	0.833336	Barhl1,Etv1,Ror1	Atoh1,Barhl2,Cbln3,En2,Gabra6,Grin2c,Pax6,Zic1,Zic2
GSE292261	SS2_filtered_counts	DG_P5	dentate_identity	12	12	1	0.525709	305.135	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE292261	SS2_filtered_counts	DG_P5	metabolic_proteomic_validation	8	7	0.875	0.981763	493.568	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE292261	SS2_filtered_counts	DG_P5	morphogenesis_cytoskeleton	13	12	0.923077	0.818262	759.591	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE292261	SS2_filtered_counts	DG_P5	shared_granule_neuronal	12	10	0.833333	0.846808	453.497	Dcx,Map2,Neurod1,Neurod2,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Eomes,Pax6
GSE292261	SS2_filtered_counts	DG_P7	axon_guidance_synapse	15	15	1	0.312281	80.7009	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE292261	SS2_filtered_counts	DG_P7	cerebellar_identity	12	3	0.25	0.0657894	3.7807	Barhl1,Etv1,Ror1	Atoh1,Barhl2,Cbln3,En2,Gabra6,Grin2c,Pax6,Zic1,Zic2
GSE292261	SS2_filtered_counts	DG_P7	dentate_identity	12	12	1	0.480263	212.196	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE292261	SS2_filtered_counts	DG_P7	metabolic_proteomic_validation	8	7	0.875	0.983083	387.327	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE292261	SS2_filtered_counts	DG_P7	morphogenesis_cytoskeleton	13	12	0.923077	0.729167	343.131	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE292261	SS2_filtered_counts	DG_P7	shared_granule_neuronal	12	10	0.833333	0.822368	427.078	Dcx,Map2,Neurod1,Neurod2,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Eomes,Pax6
GSE292261	SS2_filtered_counts	all	axon_guidance_synapse	15	15	1	0.321676	75.6997	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE292261	SS2_filtered_counts	all	cerebellar_identity	12	3	0.25	0.0890635	4.23445	Barhl1,Etv1,Ror1	Atoh1,Barhl2,Cbln3,En2,Gabra6,Grin2c,Pax6,Zic1,Zic2
GSE292261	SS2_filtered_counts	all	dentate_identity	12	12	1	0.456942	153.332	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE292261	SS2_filtered_counts	all	metabolic_proteomic_validation	8	7	0.875	0.892226	325.096	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE292261	SS2_filtered_counts	all	morphogenesis_cytoskeleton	13	12	0.923077	0.601997	292.302	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE292261	SS2_filtered_counts	all	shared_granule_neuronal	12	10	0.833333	0.75776	371.373	Dcx,Map2,Neurod1,Neurod2,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Eomes,Pax6
GSE312658	Ctrl	all	axon_guidance_synapse	15	15	1	0.295999	1.58927	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE312658	Ctrl	all	cerebellar_identity	12	12	1	0.191236	0.481831	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE312658	Ctrl	all	dentate_identity	12	12	1	0.131323	0.250806	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE312658	Ctrl	all	metabolic_proteomic_validation	8	7	0.875	0.220948	0.289214	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE312658	Ctrl	all	morphogenesis_cytoskeleton	13	12	0.923077	0.440532	1.15045	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE312658	Ctrl	all	shared_granule_neuronal	12	12	1	0.393556	1.57215	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE312658	cKO	all	axon_guidance_synapse	15	15	1	0.347845	1.82248	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE312658	cKO	all	cerebellar_identity	12	12	1	0.158257	0.375647	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE312658	cKO	all	dentate_identity	12	12	1	0.138173	0.279705	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE312658	cKO	all	metabolic_proteomic_validation	8	7	0.875	0.206224	0.263913	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE312658	cKO	all	morphogenesis_cytoskeleton	13	12	0.923077	0.453522	1.22237	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE312658	cKO	all	shared_granule_neuronal	12	12	1	0.374184	1.45507	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DC12	axon_guidance_synapse	15	15	1	0.27	0.963333	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DC12	cerebellar_identity	12	7	0.583333	0.0285714	0.05	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DC12	dentate_identity	12	12	1	0.285417	0.847917	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DC12	metabolic_proteomic_validation	8	7	0.875	0.764286	4.38571	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DC12	morphogenesis_cytoskeleton	13	12	0.923077	0.464583	2.57917	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DC12	shared_granule_neuronal	12	12	1	0.4125	3.4125	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DG03	axon_guidance_synapse	15	15	1	0.271795	1.11111	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DG03	cerebellar_identity	12	7	0.583333	0.058608	0.120879	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DG03	dentate_identity	12	12	1	0.309829	1.12179	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DG03	metabolic_proteomic_validation	8	7	0.875	0.630037	3.67399	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DG03	morphogenesis_cytoskeleton	13	12	0.923077	0.435898	1.77564	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DG03	shared_granule_neuronal	12	12	1	0.465812	2.43162	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DG04	axon_guidance_synapse	15	15	1	0.313793	1.08276	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DG04	cerebellar_identity	12	7	0.583333	0.0270936	0.0418719	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DG04	dentate_identity	12	12	1	0.383621	1.51868	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DG04	metabolic_proteomic_validation	8	7	0.875	0.738916	4.97784	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DG04	morphogenesis_cytoskeleton	13	12	0.923077	0.512931	2.26724	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DG04	shared_granule_neuronal	12	12	1	0.494253	2.79741	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DG05	axon_guidance_synapse	15	15	1	0.314286	1.32011	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DG05	cerebellar_identity	12	7	0.583333	0.0464853	0.0725624	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DG05	dentate_identity	12	12	1	0.362434	1.51058	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DG05	metabolic_proteomic_validation	8	7	0.875	0.756236	5.2449	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DG05	morphogenesis_cytoskeleton	13	12	0.923077	0.507275	2.39616	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DG05	shared_granule_neuronal	12	12	1	0.503968	2.64352	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DG06	axon_guidance_synapse	15	15	1	0.31746	0.911112	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DG06	cerebellar_identity	12	7	0.583333	0.0646259	0.156463	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DG06	dentate_identity	12	12	1	0.299603	1.19246	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DG06	metabolic_proteomic_validation	8	7	0.875	0.738095	4.21769	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DG06	morphogenesis_cytoskeleton	13	12	0.923077	0.486111	1.95833	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DG06	shared_granule_neuronal	12	12	1	0.43254	2.16072	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DG07	axon_guidance_synapse	15	15	1	0.29887	1.25876	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DG07	cerebellar_identity	12	7	0.583333	0.0447942	0.0956416	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DG07	dentate_identity	12	12	1	0.325565	1.17726	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DG07	metabolic_proteomic_validation	8	7	0.875	0.725182	4.51331	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DG07	morphogenesis_cytoskeleton	13	12	0.923077	0.513418	2.44421	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DG07	shared_granule_neuronal	12	12	1	0.462571	2.46681	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DG08	axon_guidance_synapse	15	15	1	0.255367	0.993785	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DG08	cerebellar_identity	12	7	0.583333	0.0435835	0.0702179	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DG08	dentate_identity	12	12	1	0.305085	1.19845	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DG08	metabolic_proteomic_validation	8	7	0.875	0.754237	5.06174	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DG08	morphogenesis_cytoskeleton	13	12	0.923077	0.456921	1.9887	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DG08	shared_granule_neuronal	12	12	1	0.444915	2.16949	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE95752	C1_all_cells	DG09	axon_guidance_synapse	15	15	1	0.238788	0.769697	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE95752	C1_all_cells	DG09	cerebellar_identity	12	7	0.583333	0.0402597	0.0558442	En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Atoh1,Barhl1,Barhl2,Cbln3,Gabra6
GSE95752	C1_all_cells	DG09	dentate_identity	12	12	1	0.280303	0.790909	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE95752	C1_all_cells	DG09	metabolic_proteomic_validation	8	7	0.875	0.75974	4.12727	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE95752	C1_all_cells	DG09	morphogenesis_cytoskeleton	13	12	0.923077	0.443182	1.60379	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE95752	C1_all_cells	DG09	shared_granule_neuronal	12	12	1	0.433333	1.79015	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
