canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_meta_strict_full_matrix_cerebellar	branch_meta_strict_full_matrix_dentate	branch_meta_strict_selected_cerebellar	branch_meta_strict_selected_dentate	branch_meta_support_full_matrix_cerebellar	branch_meta_support_full_matrix_dentate	branch_meta_support_selected_cerebellar	branch_meta_support_selected_dentate	dataset_sign_p_adj_bh_full_matrix_cerebellar	dataset_sign_p_adj_bh_full_matrix_dentate	dataset_sign_p_adj_bh_selected_cerebellar	dataset_sign_p_adj_bh_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_delta_full_matrix_cerebellar	median_dataset_delta_full_matrix_dentate	median_dataset_delta_selected_cerebellar	median_dataset_delta_selected_dentate	min_dataset_delta_full_matrix_cerebellar	min_dataset_delta_full_matrix_dentate	min_dataset_delta_selected_cerebellar	min_dataset_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	sum_positive_median_dataset_delta	minimum_available_candidate_detection	shared_meta_support_selected	shared_meta_support_full_matrix	shared_meta_strict_selected	shared_meta_strict_full_matrix	shared_meta_support_both_screens	shared_meta_strict_both_screens	ortholog_meta_tier	ortholog_meta_priority_score	selected_is_original_candidate_gene	selected_mechanism_class	selected_manuscript_use	selected_mechanism_priority_score	genome_is_original_candidate_gene	genome_mechanism_class	genome_manuscript_use	genome_mechanism_priority_score	consensus_tier	combined_priority_score	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	mgi_one_to_one_human_mouse	same_canonical_symbol	strict_same_symbol_one_to_one	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	mechanism_hit_tier	mechanism_hit_rank
GRIN2B	GRIN2B	GRIN2B	Grin2b	51621524	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.0625	0.125	0.109375	0.199888285987871	0.9848024316109423	0.199888285987871	0.9652215358574785	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.199888285987871	True	True	True	True	True	True	strict_shared_both_screens	14.199888285987871	False	synaptic_wiring	mechanism_figure_candidate	2.54855773104348	False	synaptic_wiring	mechanism_figure_candidate	2.54855773104348	consensus_figure_candidate	5.09711546208696	False	3.0	True	True	True	2904	14812	HGNC:4586	MGI:95821	consensus_figure_candidate	1
KCNJ3	KCNJ3	KCNJ3	Kcnj3	51625694	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.1790878754171301	0.40293169910101434	0.1790878754171301	0.5449049482806821	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.1790878754171301	True	True	True	True	True	True	strict_shared_both_screens	14.17908787541713	False	synaptic_wiring	mechanism_figure_candidate	2.556007502198515	False	synaptic_wiring	mechanism_figure_candidate	2.556007502198515	consensus_figure_candidate	5.11201500439703	False	3.0	True	True	True	3760	16519	HGNC:6264	MGI:104742	consensus_figure_candidate	1
KCND2	KCND2	KCND2	Kcnd2	51626176	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.0625	0.125	0.109375	0.1200768491834774	0.46613782499301093	0.1200768491834774	0.6547478356001566	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.1200768491834774	True	True	True	True	True	True	strict_shared_both_screens	14.120076849183478	False	synaptic_wiring	mechanism_figure_candidate	2.535033877992595	False	synaptic_wiring	mechanism_figure_candidate	2.535033877992595	consensus_figure_candidate	5.07006775598519	False	3.0	True	True	True	3751	16508	HGNC:6238	MGI:102663	consensus_figure_candidate	1
STXBP5L	STXBP5L	STXBP5L	Stxbp5l	51624931	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.0625	0.125	0.109375	0.1067961165048543	0.6251578742834937	0.1067961165048543	0.733464554628675	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.1067961165048543	True	True	True	True	True	True	strict_shared_both_screens	14.106796116504855	False	synaptic_wiring	mechanism_figure_candidate	2.534002732622665	False	synaptic_wiring	mechanism_figure_candidate	2.534002732622665	consensus_figure_candidate	5.06800546524533	False	3.0	True	True	True	9515	207227	HGNC:30757	MGI:2443815	consensus_figure_candidate	1
ROBO2	ROBO2	ROBO2	Robo2	51616305	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.0625	0.125	0.109375	0.3544668587896253	0.422398717575051	0.3544668587896253	0.5044507164567955	0.5	0.5	0.5	0.5	0.25	0.5	0.25	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.3544668587896253	True	True	True	True	True	True	strict_shared_both_screens	14.354466858789625	True	curated_shared_structural_executor	mechanism_figure_candidate	2.850226953315843	True	curated_shared_structural_executor	mechanism_figure_candidate	2.850226953315843	shared_positive_both_screens	2.850226953315843			True	True	True	6092	268902	HGNC:10250	MGI:1890110	dual_screen_mechanism_figure	2
DYNLL1	DYNLL1	DYNLL1	Dynll1	51618787	True	False	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.3125	0.125	0.109375	0.895427705075008	0.9387477047029876	0.895427705075008	0.8450050779524916	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	3	4	2.0	0.8450050779524916	True	True	True	False	True	False	supported_shared_both_screens	12.845005077952491	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.608910891089109	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.6910467035598753	selected_figure_genome_followup	4.299957594648984			True	True	True	8655	56455	HGNC:15476	MGI:1861457	selected_screen_mechanism_figure	3
BASP1	BASP1	BASP1	Basp1	51625144	True	False	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.3125	0.125	0.109375	0.8306335780402171	0.7855835306765846	0.8306335780402171	0.7855835306765846	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	3	4	2.0	0.7855835306765846	True	True	True	False	True	False	supported_shared_both_screens	12.785583530676584	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.7037037037037037	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.717486777538821	selected_figure_genome_followup	4.421190481242524			True	True	True	10409	70350	HGNC:957	MGI:1917600	selected_screen_mechanism_figure	3
TUBA1A	TUBA1A	TUBA1A	Tuba1a	51627126	True	False	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.3125	0.125	0.109375	0.9990025534631344	0.8440252108901533	0.9990025534631344	0.6466511286428562	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	3	4	2.0	0.6466511286428562	True	True	True	False	True	False	supported_shared_both_screens	12.646651128642857	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.4366402477908355	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.6446696743719926	selected_figure_genome_followup	4.081309922162828			True	True	True	7846	22142	HGNC:20766	MGI:98869	selected_screen_mechanism_figure	3
RFX7	RFX7	RFX7	Rfx7	51620072	True	False	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.3125	0.125	0.109375	0.3511308861698183	0.23501953973078593	0.3511308861698183	0.48314983888292157	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	3	4	2.0	0.23501953973078593	True	True	True	False	True	False	supported_shared_both_screens	12.235019539730786	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.5904211398298247	False	regulatory_morphogenesis_candidate	mechanism_followup_candidate	1.5904211398298247	selected_figure_genome_followup	4.180842279659649			True	True	True	64864	319758	HGNC:25777	MGI:2442675	selected_screen_mechanism_figure	3
MAPKAP1	MAPKAP1	MAPKAP1	Mapkap1	51622431	True	False	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.3125	0.125	0.109375	0.42786462838937855	0.1679261911701433	0.42786462838937855	0.3417100882906353	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	3	4	2.0	0.1679261911701433	True	True	True	False	True	False	supported_shared_both_screens	12.167926191170142	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.609570269070577	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.6095702690705769	selected_figure_genome_followup	4.219140538141154			True	True	True	79109	227743	HGNC:18752	MGI:2444554	selected_screen_mechanism_figure	3
