expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	signature_id	signature_label	target_class	background_classes	candidate_median_signature_score	background_median_signature_score	delta_signature_score	n_background_classes
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1333333333333333	0.06666666666666668	-0.19999999999999998	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5	0.75	-0.25	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5333333333333333	0.7333333333333333	-0.19999999999999996	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1333333333333333	0.06666666666666668	-0.19999999999999998	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5	0.75	-0.25	2
selected_feature_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7999999999999999	0.5666666666666665	0.2333333333333334	2
selected_feature_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7777777777777777	0.611111111111111	0.16666666666666663	2
selected_feature_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.022222222222222254	-0.04444444444444448	0.06666666666666674	2
selected_feature_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7777777777777777	0.611111111111111	0.16666666666666663	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.11111111111111105	0.05555555555555558	-0.16666666666666663	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5999999999999999	0.7333333333333333	-0.13333333333333341	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.06666666666666676	0.06666666666666668	-0.13333333333333344	2
selected_feature_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5	0.75	-0.25	2
selected_feature_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	non_dentate_background	0.8	0.7	0.10000000000000009	1
selected_feature_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	non_dentate_background	0.6666666666666666	0.8333333333333334	-0.16666666666666674	1
selected_feature_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	non_dentate_background	0.13333333333333341	-0.13333333333333341	0.26666666666666683	1
selected_feature_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	non_dentate_background	1.0	0.5	0.5	1
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	1	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1.0	0.5555555555555555	0.44444444444444453	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	1	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1.0	0.5	0.5	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	1	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.055555555555555525	-0.055555555555555525	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	1	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1.0	0.5833333333333333	0.41666666666666674	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	2	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8666666666666666	0.5666666666666667	0.29999999999999993	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	2	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7777777777777777	0.611111111111111	0.16666666666666663	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	2	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0888888888888889	-0.044444444444444425	0.13333333333333333	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	2	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8333333333333333	0.5833333333333333	0.25	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	3	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.9333333333333332	0.5333333333333333	0.3999999999999999	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	3	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8888888888888888	0.5555555555555555	0.33333333333333337	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	3	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0444444444444444	-0.0222222222222222	0.0666666666666666	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	3	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1.0	0.5	0.5	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	4	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.9333333333333332	0.5333333333333333	0.3999999999999999	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	4	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1.0	0.5	0.5	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	4	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.06666666666666676	0.033333333333333326	-0.10000000000000009	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	4	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1.0	0.5	0.5	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	5	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7999999999999999	0.6	0.19999999999999996	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	5	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7777777777777777	0.611111111111111	0.16666666666666663	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	5	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.022222222222222254	-0.011111111111111127	0.03333333333333338	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	5	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8333333333333333	0.5833333333333333	0.25	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	6	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7333333333333332	0.6333333333333333	0.09999999999999987	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	6	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5555555555555555	0.7222222222222222	-0.16666666666666674	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	6	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1777777777777777	-0.08888888888888893	0.2666666666666666	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	6	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8333333333333333	0.5833333333333333	0.25	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	7	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7999999999999999	0.6	0.19999999999999996	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	7	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7777777777777777	0.611111111111111	0.16666666666666663	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	7	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.022222222222222254	-0.011111111111111127	0.03333333333333338	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	7	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8333333333333333	0.5833333333333333	0.25	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	8	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7999999999999999	0.6	0.19999999999999996	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	8	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	8	selected_gene_bridge	selected_bridge_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1333333333333333	-0.06666666666666671	0.2	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	8	selected_gene_bridge	selected_bridge_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8333333333333333	0.5833333333333333	0.25	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	9	selected_gene_bridge	selected_bridge_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8666666666666666	0.5666666666666667	0.29999999999999993	2
selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	9	selected_gene_bridge	selected_bridge_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7777777777777777	0.611111111111111	0.16666666666666663	2
