subject	session	unit_index	unit_id	cell_type	state_id	state_label	state_duration_s	spike_count	firing_rate_hz	active_in_state
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	5	nrem	502.0	305	0.6075697211155379	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	6	transit	19.0	7	0.3684210526315789	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	7	rem	47.0	13	0.2765957446808511	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	8	nrem	870.0	450	0.5172413793103449	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	9	transit	16.0	11	0.6875	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	10	rem	166.0	68	0.40963855421686746	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	11	nrem	885.0	389	0.43954802259887005	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	12	transit	14.0	5	0.35714285714285715	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	13	rem	134.0	47	0.35074626865671643	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	14	nrem	568.0	257	0.4524647887323944	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	15	awake	1508.0	598	0.39655172413793105	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	16	nrem	1130.0	564	0.49911504424778763	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	17	transit	8.0	2	0.25	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	18	rem	67.0	69	1.0298507462686568	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	19	nrem	681.0	326	0.4787077826725404	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	20	transit	10.0	1	0.1	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	21	rem	35.0	13	0.37142857142857144	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	22	nrem	766.0	313	0.4086161879895561	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	23	transit	8.0	2	0.25	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	24	rem	52.0	22	0.4230769230769231	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	25	awake	288.0	129	0.4479166666666667	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	26	nrem	408.0	172	0.4215686274509804	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	27	transit	10.0	1	0.1	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	28	rem	200.0	27	0.135	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	29	nrem	811.0	338	0.41676942046855736	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	30	transit	8.0	1	0.125	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	31	rem	41.0	12	0.2926829268292683	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	32	nrem	194.0	93	0.4793814432989691	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	33	awake	978.0	803	0.8210633946830266	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	34	nrem	976.0	491	0.5030737704918032	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	35	transit	6.0	2	0.3333333333333333	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	36	rem	29.0	5	0.1724137931034483	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	37	nrem	35.0	11	0.3142857142857143	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	38	transit	12.0	7	0.5833333333333334	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	39	rem	58.0	8	0.13793103448275862	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	0	awake	436.0	180	0.41284403669724773	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	1	awake	107.0	21	0.19626168224299065	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	2	nrem	503.0	243	0.4831013916500994	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	3	transit	14.0	0	0.0	False
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	4	rem	84.0	8	0.09523809523809523	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	5	nrem	502.0	297	0.5916334661354582	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	6	transit	19.0	3	0.15789473684210525	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	7	rem	47.0	1	0.02127659574468085	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	8	nrem	870.0	381	0.4379310344827586	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	9	transit	16.0	4	0.25	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	10	rem	166.0	17	0.10240963855421686	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	11	nrem	885.0	402	0.4542372881355932	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	12	transit	14.0	3	0.21428571428571427	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	13	rem	134.0	52	0.3880597014925373	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	14	nrem	568.0	182	0.3204225352112676	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	15	awake	1508.0	400	0.26525198938992045	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	16	nrem	1130.0	453	0.4008849557522124	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	17	transit	8.0	5	0.625	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	18	rem	67.0	25	0.373134328358209	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	19	nrem	681.0	183	0.2687224669603524	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	20	transit	10.0	0	0.0	False
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	21	rem	35.0	7	0.2	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	22	nrem	766.0	297	0.3877284595300261	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	23	transit	8.0	0	0.0	False
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	24	rem	52.0	7	0.1346153846153846	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	25	awake	288.0	72	0.25	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	26	nrem	408.0	170	0.4166666666666667	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	27	transit	10.0	0	0.0	False
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	28	rem	200.0	35	0.175	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	29	nrem	811.0	310	0.38224414303329224	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	30	transit	8.0	2	0.25	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	31	rem	41.0	5	0.12195121951219512	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	32	nrem	194.0	69	0.3556701030927835	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	33	awake	978.0	371	0.37934560327198363	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	34	nrem	976.0	410	0.42008196721311475	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	35	transit	6.0	1	0.16666666666666666	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	36	rem	29.0	4	0.13793103448275862	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	37	nrem	35.0	7	0.2	True
YutaMouse41	YutaMouse41-150829	10	10	positive negative waveform unit	38	transit	12.0	15	1.25	True
