dataset	sample	branch	source_group	module_id	module_label	module_family	n_defined_genes	n_present_genes	present_genes	missing_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_label
GSE104323	10X_all_cells	dentate	Endothelial	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		543	0.09902102579427789	0.10933962089693909	0.3125	False		other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		160	0.09902102579427789	0.10819243817811401	0.3125	False		other	VLMC
GSE104323	10X_all_cells	dentate	MOL	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		704	0.049510512897138946	0.06520046680365274	0.14583333333333334	False		other	MOL
GSE104323	10X_all_cells	dentate	NFOL	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		232	0.12798281923057536	0.1268731375567188	0.4166666666666667	False		other	NFOL
GSE104323	10X_all_cells	dentate	OPC	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		794	0.09902102579427789	0.11613193524369474	0.3125	False		other	OPC
GSE104323	10X_all_cells	dentate	nIPC-perin	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		468	0.42760281279865936	0.43153846887085845	0.9583333333333334	True	3.0	intermediate_progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		353	0.5304677908855219	0.5311522245452348	1.0	True	2.0	intermediate_progenitor	nIPC
GSE104323	10X_all_cells	dentate	Neuroblast	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		1381	0.42200592415492366	0.4362671411385392	0.9166666666666666	True	4.0	postmitotic_immature	Neuroblast
GSE104323	10X_all_cells	dentate	Immature-GC	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		2419	0.28223169418438765	0.2913334013989847	0.7916666666666666	True	5.0	postmitotic_immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		4520	0.34657359027997264	0.3406636642785772	0.875	False		other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		535	0.2634913895795669	0.2796486568032373	0.75	False		other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		1024	0.07847230633343641	0.09184652935420934	0.20833333333333334	False		other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		209	0.049510512897138946	0.07064974495936938	0.14583333333333334	False		other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		532	0.22700384502485324	0.23060744373035907	0.5833333333333334	False		other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		3420	0.14853153869141683	0.16156507698446237	0.4583333333333333	True	6.0	mature_granule	GC-juv
GSE104323	10X_all_cells	dentate	GC-adult	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		2613	0.09902102579427789	0.10649590400860207	0.3125	True	7.0	mature_granule	GC-adult
GSE104323	10X_all_cells	dentate	RGL	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		199	0.2000704342154209	0.2061399568620559	0.5833333333333334	True	1.0	early_progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		1232	0.12232009068704916	0.12704659645845603	0.4166666666666667	False		other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		821	0.14617097939929413	0.1542372134786628	0.4583333333333333	False		other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		651	0.18694434296164383	0.20609751016853184	0.5	False		other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		686	0.2346461203861338	0.25331675452166486	0.625	True	0.0	early_progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		182	0.1960120300103061	0.2113915633745328	0.5416666666666666	False		other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		79	0.0	0.0373671731790982	0.041666666666666664	False		other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		428	0.04077336356234972	0.04543002391005039	0.08333333333333333	False		other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		543	0.08154672712469944	0.10652427967124536	0.22916666666666666	False		other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		160	0.08154672712469944	0.12125167246048893	0.22916666666666666	False		other	VLMC
GSE104323	10X_all_cells	dentate	MOL	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		704	0.08154672712469944	0.09429406865011464	0.22916666666666666	False		other	MOL
GSE104323	10X_all_cells	dentate	NFOL	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		232	0.11446530288560666	0.12163034294195164	0.375	False		other	NFOL
GSE104323	10X_all_cells	dentate	OPC	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		794	0.08154672712469944	0.10788346386351211	0.22916666666666666	False		other	OPC
GSE104323	10X_all_cells	dentate	nIPC-perin	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		468	0.2816171613401203	0.2950356509711278	0.75	True	3.0	intermediate_progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		353	0.3981466595087429	0.4068287099008871	0.9166666666666666	True	2.0	intermediate_progenitor	nIPC
GSE104323	10X_all_cells	dentate	Neuroblast	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		1381	0.43065815039643984	0.42847719894596775	0.9583333333333334	True	4.0	postmitotic_immature	Neuroblast
GSE104323	10X_all_cells	dentate	Immature-GC	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		2419	0.46856150430176413	0.4776523877063571	1.0	True	5.0	postmitotic_immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		4520	0.3738886859232877	0.37461446685575794	0.875	False		other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		535	0.25156859523623853	0.2700004032181261	0.7083333333333334	False		other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		1024	0.08154672712469944	0.11297610886091951	0.22916666666666666	False		other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		209	0.08154672712469944	0.09778340475095768	0.22916666666666666	False		other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		532	0.30926443364869305	0.3140092363317126	0.7916666666666666	False		other	CA3-Pyr
