gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity
ADAL	ADAL	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.10386529743736041	0.11599465257891795	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.10386529743736041	cerebellar_biased
ADARB2	ADARB2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.13263455321669176	0.03892265508476583	5	1	0.20418218837049995	0.01922337276925927	False	False	1.0	0.03892265508476583	cerebellar_biased
ADAT1	ADAT1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.08130458289016593	0.09020295792421722	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.08130458289016593	cerebellar_biased
ADAT2	ADAT2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.07459183673469388	0.04197487441857582	3	1	0.20418218837049995	0.04533132696218489	False	False	1.0	0.04197487441857582	cerebellar_biased
ADH5	ADH5	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.17335044498487495	0.5529237385303332	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.17335044498487495	cerebellar_biased
ADK	ADK	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6879244590812914	0.3154954959737137	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.3154954959737137	cerebellar_biased
ADO	ADO	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.10204690667903392	0.2792089144992702	5	2	0.20418218837049995	0.006815655353197771	True	False	1.0	0.10204690667903392	cerebellar_biased
ADPRHL2	ADPRHL2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.10516379419816407	0.2677057412635304	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.10516379419816407	cerebellar_biased
ADRA2C	ADRA2C	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.005341509972407066	0.059387742658262695	2	2	0.20418218837049995	0.01922337276925927	True	False	1.0	0.005341509972407066	cerebellar_biased
ADRM1	ADRM1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.10001717192676174	0.501599981716708	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.10001717192676174	cerebellar_biased
