sample_accession	donor_id	marker_call	marker_confidence	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	marker_or_unassigned	marker_or_unassigned	gene_expression_or_marker	4609	50	50	1.014632241267086	0.131568669993491	0.3856575747766505	0.021090724996995835
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 1 core convergent program	distal_100kb	4609	87	6	0.10672771663636613	0.051456046765074835	0.14824927464139886	0.11234037949250508
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 1 core convergent program	gene_body_overlap	4609	133	6	0.13627799157255255	0.06483065985641039	0.1856045135052968	0.11340955521478516
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 1 core convergent program	gene_edge_2kb	4609	3	2	0.18991827583713025	0.09481449338251247	0.26739658653623266	0.26243466616490735
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 1 core convergent program	proximal_10kb	4609	6	4	0.15332320821580966	0.07485354740724669	0.21503499119506017	0.20355333410839233
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	distal_100kb	4609	97	9	0.0836306375021529	0.041127511614434335	0.11844543856511601	0.07472285667556725
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_body_overlap	4609	83	8	0.12499379161253389	0.0554258692395967	0.1602378906032239	0.06670496153392601
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_edge_2kb	4609	5	3	0.22017791277934476	0.10939466261661965	0.30588771939956283	0.34060815820240076
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	proximal_10kb	4609	9	5	0.07890359441672092	0.04168173380583882	0.11660171013974109	0.09691940135069302
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 3 broad both-screen mechanism support	distal_100kb	4609	77	7	0.150876461355958	0.06698356969565475	0.19418939843782107	0.08807518990438727
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_body_overlap	4609	9	4	0.4815698753646248	0.19481208264024494	0.5638984919864799	0.564932110594598
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_edge_2kb	4609	8	5	0.20511499240616188	0.10159470600998047	0.2811994025491095	0.2627698277517908
