dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE104323	10X_all_cells	Immature-Astro	mouse	dentate_gyrus	10x	shared_granule_neuronal	651	12	12	1.72811	0.144009	2.60829	0.217358	0.1248	0.1248	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	mouse	dentate_gyrus	10x	axon_guidance_synapse	1024	15	15	2.90625	0.19375	4.80273	0.320182	0.175241	0.175241	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	mouse	dentate_gyrus	10x	cerebellar_identity	1024	12	12	0.166016	0.0138346	0.363281	0.0302734	0.0133328	0.0133328	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	mouse	dentate_gyrus	10x	dentate_identity	1024	12	12	2.07031	0.172526	5.64551	0.470459	0.19903	0.19903	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	1024	8	7	5.92383	0.740479	37.8633	4.73291	1.25758	1.43724	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	1024	13	12	9.51953	0.732272	85.9727	6.61328	1.3947	1.51093	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	mouse	dentate_gyrus	10x	shared_granule_neuronal	1024	12	12	4.95215	0.412679	23.2939	1.94116	0.598769	0.598769	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	mouse	dentate_gyrus	10x	axon_guidance_synapse	2419	15	15	3.90161	0.260107	9.31087	0.620725	0.281727	0.281727	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	mouse	dentate_gyrus	10x	cerebellar_identity	2419	12	12	0.0855726	0.00713105	0.0963208	0.00802673	0.00521281	0.00521281	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	mouse	dentate_gyrus	10x	dentate_identity	2419	12	12	4.80984	0.40082	13.2236	1.10197	0.472849	0.472849	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
