gene	canonical_gene	human_symbol	mouse_symbol	panel	candidate_role	support_tier	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_datasets_detected_dentate_candidate_5pct	n_datasets_detected_cerebellar_candidate_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_structural_support	strict_shared_support
Gabra6	GABRA6	GABRA6	Gabra6	cerebellar_identity	regional_cerebellar_identity	cerebellar_identity_gene_with_human_bridge_leakage_warning	71	87	1.0	0.5	1.2664988666775667e-12	3	6	1.0	0.5	0.010350136863208612	0.12121212121212122	0.006014215418261345	3	0	2.9260491057723094e-12	0.02203577525715382	False	False
Gap43	GAP43	GAP43	Gap43	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	4.8168364734613886e-11	6	12	1.0	0.5	0.0017167440604175456	0.43171806167400884	0.8164124387359979	7	3	8.964667881164251e-11	0.005395481332740858	True	True
Glis3	GLIS3	GLIS3	Glis3	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	73	88	1.0	0.5	2.341215971920195e-31	6	12	0.3333333333333333	-0.49999999999999994	0.9987576086591673	0.4485683987274655	0.00386875375826908	5	0	5.2287156706217686e-30	0.9998528734296044	False	False
Grin2c	GRIN2C	GRIN2C	Grin2c	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	72	88	1.0	0.33333333333333337	5.2860937241596904e-20	6	12	0.8333333333333333	0.33333333333333326	0.04130279887374222	0.0215513182291988	0.029377027818493398	1	1	2.361121863457995e-19	0.06989704424787145	False	False
Itpka	ITPKA	ITPKA	Itpka	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	73	88	1.0	0.5	1.155361139608874e-26	6	12	0.6666666666666666	-0.16666666666666663	0.8924811052561918	0.11485642946317104	0.004674102373182168	7	0	8.601021817088284e-26	0.9998528734296044	False	False
L1cam	L1CAM	L1CAM	L1cam	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	73	88	1.0	0.5	5.197940844042361e-07	6	12	0.8333333333333333	0.33333333333333326	0.04130279887374222	0.10648553900087643	0.26202436474952634	7	3	6.965240731016764e-07	0.06989704424787145	True	True
Map2	MAP2	MAP2	Map2	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	72	88	1.0	0.5	8.767318479710432e-10	6	12	1.0	0.5	0.009879767867540601	0.9587900753053855	0.6780206098146279	6	3	1.4685258453514975e-09	0.02173548930858932	False	False
Mapt	MAPT	MAPT	Mapt	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.7134072463259372e-10	6	12	0.6666666666666666	0.16666666666666663	0.12700887922326776	0.848987108655617	0.46643311568985335	7	3	2.943545782149687e-10	0.19051331883490163	True	True
Mex3a	MEX3A	MEX3A	Mex3a	dentate_identity	regional_dentate_identity	dentate_identity_panel_gene_needs_context	73	88	1.0	0.5	1.862174005074312e-17	6	12	0.6666666666666666	0.0	0.5197767383185427	0.0070921985815602835	0.5967322541945567	4	3	5.94122182571328e-17	0.6597166294043042	False	False
Ncam1	NCAM1	NCAM1	Ncam1	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	4.4578275992191694e-15	6	12	0.6666666666666666	0.16666666666666663	0.2926959764730425	0.9479553903345725	0.7554230925812542	7	3	1.2444768714486848e-14	0.4110198818557619	True	False
Ndufa4	NDUFA4	NDUFA4	Ndufa4	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	73	88	1.0	0.5	5.442919311468953e-15	6	12	1.0	0.5	0.0017167440604175456	0.4228571428571429	0.94488246012538	7	3	1.4587023754736793e-14	0.005395481332740858	False	False
Ndufb8	NDUFB8	NDUFB8	Ndufb8	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	73	88	1.0	0.5	2.6644697549307874e-14	6	12	1.0	0.5	0.009879767867540601	0.28403361344537814	0.7936393512220367	6	3	6.866133599244721e-14	0.02173548930858932	False	False
Neurod1	NEUROD1	NEUROD1	Neurod1	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	73	88	1.0	0.5	5.288228480230658e-12	6	12	1.0	0.5	0.00021486327043911477	0.10101010101010101	0.8952295715202092	6	3	1.0123180233584402e-11	0.0008863109905613484	False	False
Neurod2	NEUROD2	NEUROD2	Neurod2	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	73	88	1.0	0.5	3.7846354748339355e-08	6	12	1.0	0.5	0.00021486327043911477	0.21233689205219455	0.5109794047742044	7	3	5.3951186556143335e-08	0.0008863109905613484	False	False
Nrp1	NRP1	NRP1	Nrp1	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	2.625527884871116e-16	6	12	0.3333333333333333	-0.3333333333333333	0.9667434775654529	0.7802498048399688	0.039029549486727516	7	1	7.64827688201586e-16	0.9998528734296044	False	False
Nrp2	NRP2	NRP2	Nrp2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	3.530771230968739e-29	6	12	0.3333333333333333	-0.49999999999999994	0.9987576086591673	0.5070098346934505	0.01841208835478263	7	1	4.73123344949811e-28	0.9998528734296044	False	False
Pax6	PAX6	PAX6	Pax6	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	72	88	1.0	0.33333333333333337	1.0120679657171185e-20	6	12	1.0	0.5	0.00021486327043911477	0.04634896463112276	0.9013587352300441	3	3	5.216042592542073e-20	0.0008863109905613484	False	False
Plxna2	PLXNA2	PLXNA2	Plxna2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.4578769016883846e-18	6	12	0.6666666666666666	0.0	0.2926959764730425	0.5770925110132159	0.0880321976125365	7	3	5.745750141948339e-18	0.4110198818557619	False	False
Plxna4	PLXNA4	PLXNA4	Plxna4	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.0808023355515028e-19	6	12	0.3333333333333333	-0.49999999999999994	0.9924520339370608	0.867274569402229	0.007619523146957382	7	1	4.525859780121918e-19	0.9998528734296044	False	False
Prdx1	PRDX1	PRDX1	Prdx1	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	73	88	1.0	0.33333333333333337	3.3127303560873667e-12	6	12	1.0	0.33333333333333337	0.04130279887374222	0.18181818181818182	0.8000691167100447	7	3	6.725846480541017e-12	0.06989704424787145	False	False
Prdx2	PRDX2	PRDX2	Prdx2	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	73	88	1.0	0.5	1.9129966359245833e-12	6	12	1.0	0.5	0.009879767867540601	0.1740222461428059	0.9501408433245842	6	3	4.134541116353132e-12	0.02173548930858932	False	False
Prox1	PROX1	PROX1	Prox1	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	73	88	1.0	0.5	2.341215971920195e-31	6	12	0.6666666666666666	0.0	0.5197767383185427	0.7104984093319194	0.10119946259643485	7	3	5.2287156706217686e-30	0.6597166294043042	False	False
Robo1	ROBO1	ROBO1	Robo1	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	3.317183437434975e-06	6	12	0.6666666666666666	0.0	0.5197767383185427	0.7317430424775058	0.1665619012446293	7	3	4.040932551057152e-06	0.6597166294043042	False	False
Robo2	ROBO2	ROBO2	Robo2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	9.304742917043175e-07	6	12	1.0	0.5	0.009879767867540601	0.766432953549518	0.4009078132633713	7	3	1.154477361929431e-06	0.02173548930858932	True	True
Ror1	ROR1	ROR1	Ror1	cerebellar_identity	regional_cerebellar_identity	cerebellar_identity_gene_with_human_bridge_leakage_warning	73	88	1.0	0.5	7.901551856617938e-27	6	12	1.0	0.5	0.00021486327043911477	0.2734877734877735	0.10197370459778307	4	3	6.617549679917523e-26	0.0008863109905613484	False	False
Sema3a	SEMA3A	SEMA3A	Sema3a	axon_guidance_synapse	shared_structural_executor	moderate_priority_shared_structural_executor	73	88	1.0	0.5	1.6511190807097716e-16	6	12	0.6666666666666666	0.0	0.7404431743695444	0.0605386706202125	0.08193006485920315	4	3	5.028408109434305e-16	0.8885318092434533	False	False
Sema3f	SEMA3F	SEMA3F	Sema3f	axon_guidance_synapse	shared_structural_executor	low_current_human_bridge_support	73	88	1.0	0.33333333333333337	4.83345363517754e-06	6	12	0.3333333333333333	-0.49999999999999994	0.9924520339370608	0.002857142857142857	0.014175225259277658	1	0	5.7828820278017e-06	0.9998528734296044	False	False
Slc17a7	SLC17A7	SLC17A7	Slc17a7	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	73	88	1.0	0.5	5.288228480230658e-12	6	12	1.0	0.5	0.0017167440604175456	0.5803195962994113	0.047018273995271136	7	1	1.0123180233584402e-11	0.005395481332740858	False	False
Slit2	SLIT2	SLIT2	Slit2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.8184816779475092e-07	6	12	0.6666666666666666	0.0	0.7404431743695444	0.5315712187958884	0.06911878406812541	6	3	2.538297342135065e-07	0.8885318092434533	False	False
Snap25	SNAP25	SNAP25	Snap25	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	73	88	1.0	0.5	9.755302875557071e-11	6	12	0.6666666666666666	0.16666666666666663	0.12700887922326776	0.952914798206278	0.5256436844453662	7	3	1.7200139280587467e-10	0.19051331883490163	False	False
Sod1	SOD1	SOD1	Sod1	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	73	88	1.0	0.5	8.072087959747814e-11	6	12	0.8333333333333333	0.33333333333333326	0.04130279887374222	0.31565656565656564	0.5615821302290627	7	3	1.4617024143327123e-10	0.06989704424787145	False	False
St18	ST18	ST18	St18	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	73	88	1.0	0.33333333333333337	4.021921896197248e-05	6	12	1.0	0.5	0.00021486327043911477	0.686641697877653	0.48285191328628263	7	3	4.3462704362131546e-05	0.0008863109905613484	False	False
Stmn2	STMN2	STMN2	Stmn2	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	5.964923734702554e-07	6	12	1.0	0.5	0.00021486327043911477	0.47093023255813954	0.9328768837213626	7	3	7.685574812020599e-07	0.0008863109905613484	True	True
Stmn3	STMN3	STMN3	Stmn3	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	2.3023184867736652e-08	6	12	1.0	0.5	0.009879767867540601	0.2521948160535117	0.7641994740472358	7	3	3.35337692638773e-08	0.02173548930858932	True	True
Syn1	SYN1	SYN1	Syn1	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	73	88	1.0	0.5	2.6141283203710074e-09	6	12	0.6666666666666666	0.16666666666666663	0.12700887922326776	0.37511693171188026	0.28345436075354097	7	3	4.1701570824966075e-09	0.19051331883490163	False	False
Syt1	SYT1	SYT1	Syt1	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	73	88	1.0	0.5	1.4043736707443747e-08	6	12	1.0	0.5	0.009879767867540601	0.9659046117461568	0.5515393214729516	7	3	2.1384780895425708e-08	0.02173548930858932	False	False
Tbr1	TBR1	TBR1	Tbr1	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	73	88	1.0	0.5	1.8379127127938037e-17	6	12	1.0	0.5	0.009879767867540601	0.1569767441860465	0.008593149669092722	7	0	5.94122182571328e-17	0.02173548930858932	False	False
Tubb3	TUBB3	TUBB3	Tubb3	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	73	88	1.0	0.5	2.348283233005772e-12	6	12	1.0	0.5	0.0017167440604175456	0.17556346381969157	0.7344915568459619	6	3	4.916718019105835e-12	0.005395481332740858	False	False
Tubb4a	TUBB4A	TUBB4A	Tubb4a	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	72	88	1.0	0.33333333333333337	0.00021428368258838236	6	12	0.8333333333333333	0.33333333333333326	0.04130279887374222	0.25202714637513673	0.2583221784405774	6	3	0.0002243282302097128	0.06989704424787145	False	False
Zic1	ZIC1	ZIC1	Zic1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	72	88	1.0	0.33333333333333337	1.1488205184755394e-09	6	12	1.0	0.5	0.00021486327043911477	0.060758928571428575	0.96742844414791	2	3	1.8773408472649057e-09	0.0008863109905613484	False	False
Zic2	ZIC2	ZIC2	Zic2	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	72	88	1.0	0.33333333333333337	1.7391552866223974e-17	6	12	1.0	0.5	0.00021486327043911477	0.009435394207089163	0.6034346380496904	1	3	5.94122182571328e-17	0.0008863109905613484	False	False
