dataset	sample	source_group	specificity_role	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank
GSE104323	10X_all_cells	MOL	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	704	0.0	0.22878214909355207	0.24573863636363635	0.125
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	428	0.0	0.326186588515003	0.2780373831775701	0.125
GSE104323	10X_all_cells	NFOL	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	232	0.6931471805599453	0.4886605735615566	0.5043103448275862	0.3541666666666667
GSE104323	10X_all_cells	OPC	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	794	0.6931471805599453	0.8378876215356953	0.756926952141058	0.3541666666666667
GSE104323	10X_all_cells	PVM	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	79	0.0	0.22567355862209953	0.21518987341772153	0.125
GSE104323	10X_all_cells	RGL	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	199	1.3862943611198906	1.3397767177700042	0.8944723618090452	0.7291666666666666
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	686	0.6931471805599453	0.7599628789980087	0.6953352769679301	0.3541666666666667
GSE104323	10X_all_cells	VLMC	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	160	0.0	0.2518608218430981	0.275	0.125
GSE104323	10X_all_cells	nIPC	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	353	0.6931471805599453	0.49053211757521475	0.5155807365439093	0.3541666666666667
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	468	0.6931471805599453	0.736546269586435	0.6602564102564102	0.3541666666666667
GSE122357	P0	Granule cells	cerebellar_granule	GPM6A	Gpm6a	Gpm6a	2814	1.6094379124341003	1.4997152174743722	0.9420753375977257	1.0
GSE122357	P0	Granule precursor	cerebellar_granule	GPM6A	Gpm6a	Gpm6a	2553	0.6931471805599453	0.8800702847956762	0.7324716020368194	0.5
GSE122357	P0	Purkinje cells	purkinje_comparator	GPM6A	Gpm6a	Gpm6a	92	1.3862943611198906	1.3348114903450239	0.9021739130434783	0.875
GSE122357	P0	Astrocytes	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	1230	0.6931471805599453	0.5505234620576747	0.5308943089430894	0.5
GSE122357	P0	Endothelial cells	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	15	0.6931471805599453	0.6626417732768001	0.5333333333333333	0.5
GSE122357	P0	Interneuron	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	418	0.6931471805599453	0.6224627444317805	0.5669856459330144	0.5
GSE122357	P0	Microglia	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	112	0.0	0.20167235178041262	0.19642857142857142	0.125
GSE122357	P0	Oligodendrocytes	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	44	0.6931471805599453	0.9167853065776352	0.7954545454545454	0.5
GSE122357	P8a	Granule cells	cerebellar_granule	GPM6A	Gpm6a	Gpm6a	1367	1.9459101490553132	1.9377003931937984	0.9875640087783467	0.9375
GSE122357	P8a	Granule precursor	cerebellar_granule	GPM6A	Gpm6a	Gpm6a	3254	1.3862943611198906	1.391805329173603	0.9108789182544561	0.5625
GSE122357	P8a	Purkinje cells	purkinje_comparator	GPM6A	Gpm6a	Gpm6a	86	1.6094379124341003	1.529415411430326	0.9069767441860465	0.75
GSE122357	P8a	Astrocytes	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	292	1.9459101490553132	1.844083638856781	0.9623287671232876	0.9375
GSE122357	P8a	Endothelial cells	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	8	0.0	0.17328679513998632	0.25	0.1875
GSE122357	P8a	Interneuron	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	570	0.6931471805599453	0.8065319051217182	0.6964912280701754	0.375
GSE122357	P8a	Microglia	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	102	0.0	0.1805053278990059	0.17647058823529413	0.1875
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	173	1.3862943611198906	1.260181626689574	0.8786127167630058	0.5625
GSE122357	P8b	Granule cells	cerebellar_granule	GPM6A	Gpm6a	Gpm6a	1883	1.791759469228055	1.7133098292421955	0.9702602230483272	1.0
GSE122357	P8b	Granule precursor	cerebellar_granule	GPM6A	Gpm6a	Gpm6a	4309	1.0986122886681098	1.1723776818039666	0.8665583662102576	0.5625
GSE122357	P8b	Purkinje cells	purkinje_comparator	GPM6A	Gpm6a	Gpm6a	78	1.6094379124341003	1.5860844624724424	0.9615384615384616	0.875
GSE122357	P8b	Astrocytes	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	512	1.3862943611198906	1.2966888540324426	0.86328125	0.75
GSE122357	P8b	Endothelial cells	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	18	0.0	0.29862657820467586	0.2222222222222222	0.1875
GSE122357	P8b	Interneuron	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	828	0.6931471805599453	0.6545693383450577	0.6183574879227053	0.375
GSE122357	P8b	Microglia	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	123	0.0	0.32642028793551453	0.2845528455284553	0.1875
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	238	1.0986122886681098	1.0550915041196538	0.8445378151260504	0.5625
GSE104323	10X_all_cells	GC-adult	dentate_granule	KCNK1	Kcnk1	Kcnk1	2613	0.0	0.1535623701296695	0.20359739762724838	0.4791666666666667
GSE104323	10X_all_cells	GC-juv	dentate_granule	KCNK1	Kcnk1	Kcnk1	3420	0.0	0.3398135962818259	0.39473684210526316	0.4791666666666667
GSE104323	10X_all_cells	Immature-GC	dentate_granule	KCNK1	Kcnk1	Kcnk1	2419	0.6931471805599453	0.6345621130024335	0.6357999173212071	0.9791666666666666
GSE104323	10X_all_cells	Neuroblast	dentate_granule	KCNK1	Kcnk1	Kcnk1	1381	0.0	0.2711508980126259	0.2997827661115134	0.4791666666666667
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	KCNK1	Kcnk1	Kcnk1	532	0.0	0.3399358392818947	0.38533834586466165	0.4791666666666667
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	KCNK1	Kcnk1	Kcnk1	4520	0.0	0.3899291607892576	0.41836283185840706	0.4791666666666667
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	1232	0.0	0.37507766446568536	0.4375	0.4791666666666667
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	821	0.6931471805599453	0.6350568809485048	0.610231425091352	0.9791666666666666
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	535	0.0	0.06279671569510248	0.07476635514018691	0.4791666666666667
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	543	0.0	0.02777042161238195	0.03683241252302026	0.4791666666666667
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	KCNK1	Kcnk1	Kcnk1	182	0.0	0.16793485153381849	0.1978021978021978	0.4791666666666667
