analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
backbone_cerebellum_warning		0.0462098							broad_neuronal_structural_warning		0.0630134				0.32673			GSE165657		0.0866434				0.714133			0.387403	0.387403			all		0.490509			12154	10x	cerebellum	Cerebellum_aggr	cerebellum		0.244466				0.456703			backbone_refined	human		0.263631				0.490041			backbone_refined|GSE165657|Cerebellum_aggr|all|backbone_cerebellum_warning
backbone_other_or_ambiguous		0							other_or_ambiguous		0.0630134				0.32673			GSE165657		0				0.291869			-0.034861	-0.034861			all		0.365169			36332	10x	cerebellum	Cerebellum_aggr	cerebellum		0.159957				0.310068			backbone_refined	human		0.189325				0.312957			backbone_refined|GSE165657|Cerebellum_aggr|all|backbone_other_or_ambiguous
backbone_dentate_candidate		1.11852							dentate_candidate		0.184312				0.690773			GSE214309		1.45464				0.703242			0.012469	0.012469			immature_1hr		1.87212			17	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.56146				0.625935			backbone_refined	mouse		1.56168				0.593516			backbone_refined|GSE214309|snRNA_counts|immature_1hr|backbone_dentate_candidate
backbone_dentate_low_support		0.861897							dentate_low_support		0.0623264				0.346634			GSE214309		0.794123				0.331671			-0.014963	-0.014963			immature_1hr		1.27839			42	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.932449				0.269327			backbone_refined	mouse		0.999148				0.256858			backbone_refined|GSE214309|snRNA_counts|immature_1hr|backbone_dentate_low_support
backbone_other_or_ambiguous		0.764961							other_or_ambiguous		0.313142				0.832918			GSE214309		0.147631				0.0386534			-0.794265	-0.794265			immature_1hr		0.682927			4	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.287967				0.0698255			backbone_refined	mouse		0.663729				0.108479			backbone_refined|GSE214309|snRNA_counts|immature_1hr|backbone_other_or_ambiguous
backbone_dentate_candidate		1.35259							dentate_candidate		0.191298				0.718204			GSE214309		1.70717				0.810474			0.09227	0.09227			immature_4hr		2.20358			29	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.92205				0.812968			backbone_refined	mouse		1.88318				0.80798			backbone_refined|GSE214309|snRNA_counts|immature_4hr|backbone_dentate_candidate
backbone_dentate_low_support		1.36126							dentate_low_support		0.105009				0.509975			GSE214309		0.937777				0.411471			-0.098504	-0.098504			immature_4hr		1.98744			32	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.34715				0.496259			backbone_refined	mouse		1.59932				0.627182			backbone_refined|GSE214309|snRNA_counts|immature_4hr|backbone_dentate_low_support
backbone_dentate_candidate		1.35993							dentate_candidate		0.0657005				0.399002			GSE214309		1.48248				0.715711			0.316709	0.316709			immatureactive_1hr		1.24183			13	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.61585				0.653367			backbone_refined	mouse		1.55331				0.588529			backbone_refined|GSE214309|snRNA_counts|immatureactive_1hr|backbone_dentate_candidate
backbone_dentate_low_support		0.538592							dentate_low_support		0.100463				0.496259			GSE214309		0.82473				0.349127			-0.147132	-0.147132			immatureactive_1hr		1.26639			27	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.855178				0.234414			backbone_refined	mouse		0.949277				0.23192			backbone_refined|GSE214309|snRNA_counts|immatureactive_1hr|backbone_dentate_low_support
backbone_other_or_ambiguous		0.967228							other_or_ambiguous		0.41356				0.9202			GSE214309		0.116987				0.0473816			-0.872818	-0.872818			immatureactive_1hr		1.04928			2	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.21115				0.4202			backbone_refined	mouse		1.07589				0.315461			backbone_refined|GSE214309|snRNA_counts|immatureactive_1hr|backbone_other_or_ambiguous
backbone_dentate_candidate		1.88909							dentate_candidate		0.0870425				0.453242			GSE214309		1.72925				0.819202			0.36596	0.36596			immatureactive_4hr		1.8635			18	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.78687				0.756858			backbone_refined	mouse		1.87348				0.801746			backbone_refined|GSE214309|snRNA_counts|immatureactive_4hr|backbone_dentate_candidate
backbone_dentate_low_support		1.41538							dentate_low_support		0.122788				0.546135			GSE214309		0.821286				0.34414			-0.201995	-0.201995			immatureactive_4hr		1.67889			13	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.20028				0.401496			backbone_refined	mouse		1.56189				0.59601			backbone_refined|GSE214309|snRNA_counts|immatureactive_4hr|backbone_dentate_low_support
backbone_other_or_ambiguous		0.684334							other_or_ambiguous		0.14429				0.608479			GSE214309		0.0152772				0.00997506			-0.598504	-0.598504			immatureactive_4hr		1.70982			1	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.990277				0.296758			backbone_refined	mouse		1.12814				0.346633			backbone_refined|GSE214309|snRNA_counts|immatureactive_4hr|backbone_other_or_ambiguous
backbone_dentate_candidate		1.26521							dentate_candidate		0.0847394				0.448878			GSE214309		1.79569				0.834164			0.385286	0.385286			mature_1hr		1.58352			18	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.77652				0.744389			backbone_refined	mouse		1.58952				0.615961			backbone_refined|GSE214309|snRNA_counts|mature_1hr|backbone_dentate_candidate
backbone_dentate_low_support		0.993323							dentate_low_support		0.133681				0.578553			GSE214309		0.803018				0.342893			-0.23566	-0.23566			mature_1hr		1.40299			24	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.78822				0.213217			backbone_refined	mouse		0.928487				0.238154			backbone_refined|GSE214309|snRNA_counts|mature_1hr|backbone_dentate_low_support
