dataset	species	region	axis_type	axis_label	axis_order	comparison_group	module_id	module_label	paper_readout	trajectory_role	orientation	n_cells	n_genes_present	genes_present	module_score	mean_module_rank	median_detection_fraction	median_mean_log1p_expression	n_genes_defined	module_gene_coverage
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	353	15	AURKB,CCNB1,CCND1,CCND2,CCNE1,E2F1,MCM2,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,PCNA,TOP2A	0.875	0.9166666666666666	0.2804532577903683	0.23767113573515608	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	353	13	BDNF,BMP6,CXCL12,GDF11,INHBB,NTF3,RELN,SEMA3A,SFRP1,SFRP2,SLIT2,TGFB2,TGFB3	0.625	0.6009615384615384	0.0453257790368272	0.03141743594605984	13	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	353	9	AKT1,AKT2,BCL2,BCL2L1,BCL2L2,BDNF,CREB1,MCL1,NTRK2	0.875	0.6666666666666666	0.2096317280453258	0.1546422895961481	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	353	14	CDKN1A,CDKN1B,ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2	0.6875	0.6696428571428571	0.1246458923512748	0.10097688870391525	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	468	11	APAF1,BAD,BAK1,BAX,BBC3,BID,CASP3,CASP7,CASP8,CASP9,PMAIP1	0.75	0.75	0.04700854700854701	0.032583841821194004	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	468	16	BDNF,CREB1,DUSP1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAP2K2,MAPK1,MAPK3,NTRK2,SHC1,SOS1	0.875	0.78125	0.27884615384615385	0.21266496730395307	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	468	9	BTG1,BTG2,CDKN1A,CDKN1B,CDKN1C,GADD45A,GADD45B,TOB1,TOB2	0.875	0.8611111111111112	0.14957264957264957	0.10714137408467699	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	468	11	ASCL1,ATOH1,DCX,EOMES,HES1,HES5,NES,NEUROD1,NEUROD2,SOX11,SOX2	0.75	0.7102272727272727	0.3141025641025641	0.2626358548088973	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	468	11	CAMK2A,DLG4,MAP2,NEFL,NEFM,RBFOX3,SNAP25,SYN1,SYN2,SYP,TUBB3	0.375	0.36363636363636365	0.07905982905982906	0.0553034439145956	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	468	15	AURKB,CCNB1,CCND1,CCND2,CCNE1,E2F1,MCM2,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,PCNA,TOP2A	1.0	0.9416666666666667	0.32051282051282054	0.3095550819077634	15	1.0
