sample_accession	donor_id	cluster_id	marker_call	n_marker_call_barcodes_in_cluster	n_cluster_barcodes	fraction_of_cluster	n_marker_call_barcodes_in_donor	n_donor_basic_qc_barcodes	donor_marker_call_fraction	fold_enrichment_over_donor	cluster_support_tier	cluster_support_rule
GSM9558427	H628	H628_C10	oligodendrocyte_candidate	1	849	0.0011778563015312	74	8506	0.008699741359040678	0.13538980676789714	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C10	purkinje_candidate	22	849	0.0259128386336866	1570	8506	0.18457559369856572	0.14039146841919634	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C10	vascular_candidate	1	849	0.0011778563015312	28	8506	0.003291794027745121	0.3578159178865853	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	astrocyte_bergmann_candidate	117	364	0.3214285714285714	126	8506	0.014813073124853044	21.698979591836732	cluster_enriched_high	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	oligodendrocyte_candidate	66	364	0.1813186813186813	74	8506	0.008699741359040678	20.84184734184734	cluster_enriched_high	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	opc_candidate	20	364	0.0549450549450549	27	8506	0.0031742299553256526	17.309727309727297	cluster_enriched_high	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	ambiguous_neuronal	56	364	0.1538461538461538	6466	8506	0.760169292264284	0.20238406814342474	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	ambiguous_non_neuronal_or_niche	24	364	0.0659340659340659	29	8506	0.0034093581001645896	19.33914361500567	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	low_information_or_low_qc	7	364	0.0192307692307692	13	8506	0.001528332941453092	12.582840236686371	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	microglia_candidate	6	364	0.0164835164835164	6	8506	0.0007053844345168116	23.36813186813175	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	purkinje_candidate	50	364	0.1373626373626373	1570	8506	0.18457559369856572	0.7442080212780846	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C11	vascular_candidate	18	364	0.0494505494505494	28	8506	0.003291794027745121	15.022370486656186	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
