gene	canonical_gene	panel	candidate_role	support_tier	dentate_rank_delta_vs_background	cerebellar_rank_delta_vs_background	dentate_candidate_median_detection	cerebellar_candidate_median_detection	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_structural_support	strict_shared_support
Nrp2	NRP2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	-0.49999999999999994	0.5070098346934505	0.01841208835478263	4.73123344949811e-28	0.9998528734296044	False	False
Plxna4	PLXNA4	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	-0.49999999999999994	0.867274569402229	0.007619523146957382	4.525859780121918e-19	0.9998528734296044	False	False
Atp5f1a	ATP5F1A	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	0.5		0.2680851063829787		1.1711043778765405e-13		False	False
Cbln3	CBLN3	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.33333333333333337	0.5	0.0	0.008349780005581467	2.0001842195920253e-05	0.005395481332740858	False	False
Eomes	EOMES	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	0.33333333333333337	0.5	0.0	0.12258973134823783	2.808757221308961e-08	0.0008863109905613484	False	False
Etv1	ETV1	cerebellar_identity	regional_cerebellar_identity	cerebellar_identity_gene_with_human_bridge_leakage_warning	0.33333333333333337	0.5	0.2025862068965517	0.12295658560770306	2.6842686642072693e-05	0.0008863109905613484	False	False
Pax6	PAX6	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	0.33333333333333337	0.5	0.04634896463112276	0.9013587352300441	5.216042592542073e-20	0.0008863109905613484	False	False
St18	ST18	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	0.33333333333333337	0.5	0.686641697877653	0.48285191328628263	4.3462704362131546e-05	0.0008863109905613484	False	False
Zic1	ZIC1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.33333333333333337	0.5	0.060758928571428575	0.96742844414791	1.8773408472649057e-09	0.0008863109905613484	False	False
Zic2	ZIC2	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.33333333333333337	0.5	0.009435394207089163	0.6034346380496904	5.94122182571328e-17	0.0008863109905613484	False	False
Prdx1	PRDX1	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	0.33333333333333337	0.33333333333333337	0.18181818181818182	0.8000691167100447	6.725846480541017e-12	0.06989704424787145	False	False
Grin2c	GRIN2C	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.33333333333333337	0.33333333333333326	0.0215513182291988	0.029377027818493398	2.361121863457995e-19	0.06989704424787145	False	False
Tubb4a	TUBB4A	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	0.33333333333333337	0.33333333333333326	0.25202714637513673	0.2583221784405774	0.0002243282302097128	0.06989704424787145	False	False
Sema3f	SEMA3F	axon_guidance_synapse	shared_structural_executor	low_current_human_bridge_support	0.33333333333333337	-0.49999999999999994	0.002857142857142857	0.014175225259277658	5.7828820278017e-06	0.9998528734296044	False	False
Barhl2	BARHL2	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.08333333333333337	0.5	0.0	0.31625059265755395	5.185757730729003e-05	0.0008863109905613484	False	False
En2	EN2	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.08333333333333337	0.5	0.0	0.0933570482235985	0.0002583721449161987	0.0008863109905613484	False	False
Barhl1	BARHL1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.0	0.5	0.0	0.7446132076641081	7.16745187657346e-07	0.0008863109905613484	False	False
Cntn2	CNTN2	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	0.0	0.5	0.12688442211055276	0.3059289572079733	0.9619647766072892	0.0008863109905613484	False	False
Dcx	DCX	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	0.0	0.5	0.03554724041159962	0.7621054153076551	0.10409055777906925	0.0008863109905613484	False	False
Atoh1	ATOH1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	0.0	0.33333333333333337	0.0	0.178290821961829	1.1045054489769066e-06	0.02173548930858932	False	False
