gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	branch_specificity
KIAA1211L	KIAA1211L	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.0794147845172284e-17	1	2	1.0	0.5	0.5	0.3333333333333333	0.7297514033680834	0.010932014044047238	3	0	3.0093196241874915e-17	0.4804597701149425	False	False	False	1.0	0.010932014044047238	dentate_biased
KIAA1328	KIAA1328	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.777621836735418e-18	1	2	1.0	0.5	0.5	0.3333333333333333	0.5921123716909779	0.06738748803064155	3	1	5.620498198074522e-18	0.4804597701149425	False	False	False	1.0	0.06738748803064155	dentate_biased
KIAA1549	KIAA1549	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.0036600806593925e-12	1	2	1.0	0.5	0.5	0.3333333333333333	0.5595968448729185	0.09854771784232365	3	1	1.5472201243427307e-12	0.4804597701149425	False	False	False	1.0	0.09854771784232365	dentate_biased
KIAA1549L	KIAA1549L	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	3.51274879610389e-09	1	2	1.0	0.5	0.5	0.3333333333333333	0.612182296231376	0.05075007979572295	3	1	4.309475191600304e-09	0.4804597701149425	False	False	False	1.0	0.05075007979572295	dentate_biased
KIAA2026	KIAA2026	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.777621836735418e-18	1	2	1.0	0.5	0.5	0.3333333333333333	0.6447445684086905	0.17754548356208108	3	1	5.620498198074522e-18	0.4804597701149425	False	False	False	1.0	0.17754548356208108	dentate_biased
LINC00599	LINC00599	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.1817706430288614e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.5454545454545454	0.19230769230769232	3	1	1.4130432881640575e-08	0.4804597701149425	False	False	False	1.0	0.19230769230769232	dentate_biased
LY86-AS1	LY86-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.5192921387829683e-27	1	2	1.0	0.5	0.5	0.3333333333333333	0.7708138447146866	0.0003989786147462496	3	0	7.589367568083692e-26	0.4804597701149425	False	False	False	1.0	0.0003989786147462496	dentate_biased
MCF2L2	MCF2L2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.803043705751254e-11	1	2	1.0	0.5	0.5	0.3333333333333333	0.739782345828295	0.00853814235556974	3	0	2.5182239522050675e-11	0.4804597701149425	False	False	False	1.0	0.00853814235556974	dentate_biased
MIR137HG	MIR137HG	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.803043705751254e-11	1	2	1.0	0.5	0.5	0.3333333333333333	0.8297201418998817	0.0013964251516118736	3	0	2.5182239522050675e-11	0.4804597701149425	False	False	False	1.0	0.0013964251516118736	dentate_biased
NLGN4X	NLGN4X	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	4.244659559419038e-20	1	2	1.0	0.5	0.5	0.3333333333333333	0.8139013452914798	0.10704596233641876	3	1	1.826719560392836e-19	0.4804597701149425	False	False	False	1.0	0.10704596233641876	dentate_biased
NUTM2A-AS1	NUTM2A-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	5.113077715743767e-15	1	2	1.0	0.5	0.5	0.3333333333333333	0.6404736275565124	0.09547558250877752	3	1	1.0009264950765551e-14	0.4804597701149425	False	False	False	1.0	0.09547558250877752	dentate_biased
RAB7A	RAB7A	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	6.28229462358936e-17	1	2	1.0	0.5	0.5	0.3333333333333333	0.5800865800865801	0.45339929779763805	3	1	1.534492909748347e-16	0.4804597701149425	False	False	False	1.0	0.45339929779763805	dentate_biased
SLC16A1-AS1	SLC16A1-AS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	6.28229462358936e-17	1	2	1.0	0.5	0.5	0.3333333333333333	0.6405090137857901	0.03024257899776572	3	0	1.534492909748347e-16	0.4804597701149425	False	False	False	1.0	0.03024257899776572	dentate_biased
