selected_feature_index	feature_index	gene	selection_reason	max_feature_score	GSE185277	GSE185553	GSE186538	is_marker_panel_gene	present_in_gse268609	gse268609_feature_id	gse268609_feature_name	source_matrix_row_1based	n_matching_gene_rows
1703	1703	PIK3C3	high_information_gene	7.852264333406096	0.0937716417577016	0.1828935116495615	0.5684036548476628	False	True	ENSG00000078142	PIK3C3	30479.0	1
1704	1704	PRUNE2	high_information_gene	7.84727943784246	0.1285883430511806	0.2063972822805922	0.5688402407459382	False	True	ENSG00000106772	PRUNE2	16710.0	1
1705	1705	ASAP1	high_information_gene	7.845515081061631	0.145778879878471	0.3322964524347941	0.5619796052016092	False	True	ENSG00000153317	ASAP1	15983.0	1
1706	1706	OSBPL1A	high_information_gene	7.843436322970703	0.1621093313674239	0.2979156647463905	0.561605388717373	False	True	ENSG00000141447	OSBPL1A	30344.0	1
1707	1707	SENP5	high_information_gene	7.836149916334827	0.1066394120143868	0.1914784761943742	0.5687778713318988	False	True	ENSG00000119231	SENP5	7814.0	1
1708	1708	TRAPPC9	high_information_gene	7.835727615108797	0.1203449277304917	0.2774099806608069	0.563445286431534	False	True	ENSG00000167632	TRAPPC9	16039.0	1
1709	1709	SRRM2	high_information_gene	7.835251573901716	0.1964680651430869	0.3267095744354286	0.5721770043970437	False	True	ENSG00000167978	SRRM2	26623.0	1
1710	1710	FXR1	high_information_gene	7.834733476609188	0.1111073877979581	0.173796928240338	0.5640066111578882	False	True	ENSG00000114416	FXR1	7589.0	1
1711	1711	APLP1	high_information_gene	7.8332373414295455	0.1395460536603891	0.1110622230862896	0.5495680918077774	False	True	ENSG00000105290	APLP1	31905.0	1
1712	1712	PPIG	high_information_gene	7.832076913121142	0.1474432008578513	0.1845511567702524	0.5696510431284498	False	True	ENSG00000138398	PPIG	5126.0	1
1713	1713	WASL	high_information_gene	7.82527399603668	0.1057681567365904	0.1328367219556119	0.559578382761094	False	True	ENSG00000106299	WASL	14199.0	1
1714	1714	RIF1	high_information_gene	7.821321111644772	0.120758215490472	0.1704304761125152	0.5668756042036985	False	True	ENSG00000080345	RIF1	5004.0	1
1715	1715	LRCH3	high_information_gene	7.819345798278481	0.0888233585773965	0.2096614106355329	0.5663142794773444	False	True	ENSG00000186001	LRCH3	7838.0	1
1716	1716	HP1BP3	high_information_gene	7.813085498640945	0.148884123048053	0.1984467251276489	0.5660959865282066	False	True	ENSG00000127483	HP1BP3	475.0	1
1717	1717	BCKDHB	high_information_gene	7.809915397631105	0.0835176373344056	0.1782070828515589	0.5558362179187326	False	True	ENSG00000083123	BCKDHB	12240.0	1
1718	1718	PSIP1	high_information_gene	7.808647502820348	0.1490963518977727	0.1803661144593723	0.5664078335984033	False	True	ENSG00000164985	PSIP1	16316.0	1
1719	1719	DNAH14	high_information_gene	7.807950550554955	0.0847351607354288	0.1825149136898975	0.5421149468300746	False	True	ENSG00000185842	DNAH14	3066.0	1
1720	1720	RNF150	high_information_gene	7.801612595625024	0.1305654223354109	0.2419445609798524	0.5434558892319207	False	True	ENSG00000170153	RNF150	8975.0	1
1721	1721	TENM1	high_information_gene	7.801454282283302	0.096519446864598	0.1820646890892161	0.5504724483113481	False	True	ENSG00000009694	TENM1	36144.0	1
1722	1722	SPRED1	high_information_gene	7.800557574207632	0.1105935705828474	0.2231272191468243	0.5489132129603642	False	True	ENSG00000166068	SPRED1	25375.0	1
1723	1723	KLC1	high_information_gene	7.799817647925802	0.1367535687956571	0.0895946955356137	0.5570836061995198	False	True	ENSG00000126214	KLC1	24924.0	1
1724	1724	MORF4L1	high_information_gene	7.7990292707977	0.1086611710564528	0.113978450613431	0.5601085227804284	False	True	ENSG00000185787	MORF4L1	26087.0	1
1725	1725	REEP1	high_information_gene	7.791068757743477	0.1191050644505506	0.1690388728013179	0.5630710699472978	False	True	ENSG00000068615	REEP1	4347.0	1
1726	1726	EP400	high_information_gene	7.788267806613924	0.1190938945110917	0.2253783421502317	0.5632893628964356	False	True	ENSG00000183495	EP400	22864.0	1
1727	1727	MAGED1	high_information_gene	7.780691142122278	0.1293590688738467	0.1621115533771961	0.5559609567468113	False	True	ENSG00000179222	MAGED1	35701.0	1
1728	1728	SH3KBP1	high_information_gene	7.775033686919383	0.105991555525769	0.2082288778151828	0.5495369071007578	False	True	ENSG00000147010	SH3KBP1	35438.0	1
1729	1729	ACTR2	high_information_gene	7.771123805918531	0.1427294864061837	0.1628994464283887	0.5588299497926217	False	True	ENSG00000138071	ACTR2	4101.0	1
1730	1730	CDC40	high_information_gene	7.769080084979516	0.1096664656077564	0.1429667754709451	0.5560856955748901	False	True	ENSG00000168438	CDC40	12429.0	1
1731	1731	TRIM37	high_information_gene	7.757175014662971	0.110191452762326	0.1543861085245935	0.5610128792839991	False	True	ENSG00000108395	TRIM37	29540.0	1
1732	1732	ERCC6L2	high_information_gene	7.753379352975823	0.1236512298103344	0.2278238803221152	0.5573642685626968	False	True	ENSG00000182150	ERCC6L2	16881.0	1
1733	1733	ACSL4	high_information_gene	7.752761036335144	0.1326430310747715	0.1653961464867132	0.5538092119624536	False	True	ENSG00000068366	ACSL4	36043.0	1
1734	1734	HACD3	high_information_gene	7.752138219165751	0.1303196836673145	0.1341669310030799	0.5573018991486575	False	True	ENSG00000074696	HACD3	25845.0	1
1735	1735	SEC62	high_information_gene	7.749133499628335	0.1778812858834305	0.1442765197638367	0.5575825615118346	False	True	ENSG00000008952	SEC62	7503.0	1
1736	1736	TCF25	high_information_gene	7.744633327799718	0.1685320465563076	0.2266164598021058	0.5603580004365859	False	True	ENSG00000141002	TCF25	28067.0	1
1737	1737	MGA	high_information_gene	7.7356026202279216	0.0981390880861425	0.1859939219678908	0.5542457978607291	False	True	ENSG00000174197	MGA	25466.0	1
1738	1738	ERBIN	high_information_gene	7.735431749043233	0.1283426043830842	0.30330812757728	0.5507842953815449	False	True	ENSG00000112851	ERBIN	9920.0	1
1739	1739	LCORL	high_information_gene	7.734143436847316	0.0850814288586555	0.178401498020035	0.5465431752268688	False	True	ENSG00000178177	LCORL	8093.0	1
1740	1740	DICER1	high_information_gene	7.731992082494188	0.1283314344436253	0.2397548322401743	0.5563663579380672	False	True	ENSG00000100697	DICER1	24778.0	1
1741	1741	MSH3	high_information_gene	7.728817261584017	0.0977928199629158	0.177501048818672	0.550191785948171	False	True	ENSG00000113318	MSH3	10082.0	1
1742	1742	PDE10A	high_information_gene	7.727212436771738	0.1257846882469897	0.28335499186526	0.5157950541054667	False	True	ENSG00000112541	PDE10A	12914.0	1
1743	1743	HECTD2	high_information_gene	7.721021553994098	0.0883207113017447	0.1832209477227844	0.5414288832756416	False	True	ENSG00000165338	HECTD2	18403.0	1
1744	1744	TMSB4X	high_information_gene	7.718309223336453	0.1667560261823381	0.0547943803783933	0.5345682477313126	False	True	ENSG00000205542	TMSB4X	35379.0	1
