dataset	module_id	n_module_genes_detected	spearman_rho_vs_full_transcriptome_pseudotime	spearman_p	n_cells
GSE325391	proliferation_brdU_proxy	0			0
GSE325391	cell_cycle_exit_p21_p27	0			0
GSE325391	immature_progenitor_state	5	0.1068728824492624	9.248545010013865e-22	8000
GSE325391	neuronal_differentiation_maturation	10	0.03808807840828768	0.0006558366672623676	8000
GSE325391	tgf_smad_pai1_response	1	0.10481657114414555	5.481534604105459e-21	8000
GSE325391	bdnf_erk_response	6	0.20816480376576552	4.9431424369310255e-79	8000
GSE325391	apoptosis_execution	0			0
GSE325391	survival_neuroprotection	3	0.18410653042234412	6.248012538237024e-62	8000
GSE325391	secreted_stop_candidate_axis	3	0.22464204840718774	4.635174501884151e-92	8000
GSE325391	cerebellar_fate_rhombic_lip_shh	4	0.02405138105025798	0.03146073874258185	8000
GSE325391	dentate_fate_wnt_prox1	11	0.19201460018079758	2.644611082980739e-67	8000
GSE325391	shared_neurogenic_niche_state	4	0.02997794875564819	0.007329447443788658	8000
GSE325391	downstream_neurite_morphology	21	0.26364556064098665	2.5628378049602867e-127	8000
GSE325391	downstream_synaptic_excitability	20	0.2513575235560964	1.5892085838776294e-115	8000
GSE325391	root_progenitor_immature	3	0.1282863586654178	1.0447080500509118e-30	8000
GSE325391	root_mature_granule	11	0.17826069617669227	4.107419566791248e-58	8000
GSE268609	proliferation_brdU_proxy	0			0
GSE268609	cell_cycle_exit_p21_p27	0			0
GSE268609	immature_progenitor_state	6	-0.24679688498977242	2.6050697118828938e-111	8000
GSE268609	neuronal_differentiation_maturation	10	-0.43270436821888425	0.0	8000
GSE268609	tgf_smad_pai1_response	1	-0.2910206202583748	6.187180034702513e-156	8000
GSE268609	bdnf_erk_response	6	-0.3325696056141394	7.287124223192789e-206	8000
GSE268609	apoptosis_execution	0			0
GSE268609	survival_neuroprotection	3	-0.07188233983927655	1.221193342676978e-10	8000
GSE268609	secreted_stop_candidate_axis	3	-0.338828651023322	4.2568931857382275e-214	8000
GSE268609	cerebellar_fate_rhombic_lip_shh	5	0.1996511225368451	1.008675114511309e-72	8000
GSE268609	dentate_fate_wnt_prox1	11	-0.4780979275049687	0.0	8000
GSE268609	shared_neurogenic_niche_state	4	-0.015878745701890143	0.1555768862874197	8000
GSE268609	downstream_neurite_morphology	21	-0.47064765459704166	0.0	8000
GSE268609	downstream_synaptic_excitability	20	-0.5031876646096598	0.0	8000
GSE268609	root_progenitor_immature	4	-0.18743598869886663	3.654261289320321e-64	8000
GSE268609	root_mature_granule	11	-0.5343967333328675	0.0	8000
