dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE214309	snRNA_counts	immature_1hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	63	8	6	3.01587	0.376984	616.158	77.0197	1.28311	1.71081	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_1hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	63	12	12	4.28571	0.357143	2081.65	173.471	1.47949	1.47949	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_1hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	63	13	12	4.07937	0.313797	869.742	66.9032	1.05973	1.14804	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_4hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	61	15	15	6.14754	0.409836	2000.34	133.356	1.46282	1.46282	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_4hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	61	11	11	1.40984	0.128167	78.12	7.10182	0.188666	0.188666	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_4hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	61	8	8	2.90164	0.362705	893.479	111.685	1.37943	1.37943	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_4hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	61	8	6	4.03279	0.504098	1460.1	182.512	2.06095	2.74794	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_4hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	61	12	12	5.54098	0.461749	5090.08	424.173	2.244	2.244	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_4hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	61	13	12	5.29508	0.407314	2126.52	163.578	1.62492	1.76033	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immatureactive_1hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	42	15	15	4.2381	0.28254	917.725	61.1817	0.871787	0.871787	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
