summary_level	n_contrasts	n_positive	fraction_positive	median_delta	mean_delta	sign_test_p	wilcoxon_p	branch_kind	expression_layer	pathway_id
by_id_and_branch	51	26	0.5098039215686274	0.5	0.1568627450980392	0.5	8.10656341280943e-05	dentate		notch_hes
by_id_and_branch	51	31	0.6078431372549019	0.5	0.30392156862745096	0.08038980090599424	1.416029506226572e-07	dentate		reelin_migration_stop
by_id_and_branch	51	44	0.8627450980392157	0.5	0.4183006535947713	6.057628709754681e-08	5.390588707665082e-10	dentate		semaphorin_guidance
by_id_and_branch	50	1	0.02	0.0	-0.023333333333333334	0.9999999999999991	0.8618485413312582	dentate		shh_granule_expansion
by_id_and_branch	51	46	0.9019607843137255	0.5	0.43790849673202614	1.1640075570085173e-09	3.90413437682983e-11	dentate		tgf_beta_smad
by_id_and_branch	51	41	0.803921568627451	0.5	0.36601307189542487	7.368857942502416e-06	3.784034000348861e-08	dentate		wnt_beta_catenin
by_id_layer_branch	6	3	0.5	0.041666666666666685	0.15277777777777776	0.65625	0.125	cerebellar	full_mgi_ortholog_matrix	bdnf_trkb_mapk
by_id_layer_branch	6	1	0.16666666666666666	-0.24999999999999997	-0.19444444444444442	0.984375	0.9375	cerebellar	full_mgi_ortholog_matrix	bmp_smad
by_id_layer_branch	6	1	0.16666666666666666	-0.08333333333333331	-0.13888888888888887	0.984375	0.875	cerebellar	full_mgi_ortholog_matrix	fgf_mapk
by_id_layer_branch	6	0	0.0	-0.375	-0.34722222222222215	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	notch_hes
by_id_layer_branch	6	2	0.3333333333333333	0.0	0.125	0.890625	0.25	cerebellar	full_mgi_ortholog_matrix	reelin_migration_stop
by_id_layer_branch	6	1	0.16666666666666666	-0.08333333333333331	-0.11111111111111109	0.984375	0.625	cerebellar	full_mgi_ortholog_matrix	semaphorin_guidance
by_id_layer_branch	6	5	0.8333333333333334	0.5	0.2916666666666667	0.109375	0.046875	cerebellar	full_mgi_ortholog_matrix	shh_granule_expansion
by_id_layer_branch	6	0	0.0	-0.33333333333333326	-0.27777777777777773	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	tgf_beta_smad
by_id_layer_branch	6	0	0.0	-0.16666666666666663	-0.22222222222222218	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	wnt_beta_catenin
by_id_layer_branch	2	1	0.5	0.08333333333333337	0.08333333333333337	0.75	0.5	dentate	full_mgi_ortholog_matrix	bdnf_trkb_mapk
by_id_layer_branch	2	0	0.0	-0.5833333333333334	-0.5833333333333334	1.0	1.0	dentate	full_mgi_ortholog_matrix	bmp_smad
by_id_layer_branch	2	0	0.0	-0.25	-0.25	1.0	1.0	dentate	full_mgi_ortholog_matrix	fgf_mapk
by_id_layer_branch	2	0	0.0	-0.5833333333333334	-0.5833333333333334	1.0	1.0	dentate	full_mgi_ortholog_matrix	notch_hes
by_id_layer_branch	2	1	0.5	0.08333333333333337	0.08333333333333337	0.75	0.5	dentate	full_mgi_ortholog_matrix	reelin_migration_stop
by_id_layer_branch	2	1	0.5	0.08333333333333337	0.08333333333333337	0.75	0.5	dentate	full_mgi_ortholog_matrix	semaphorin_guidance
by_id_layer_branch	2	0	0.0	-0.5833333333333334	-0.5833333333333334	1.0	1.0	dentate	full_mgi_ortholog_matrix	shh_granule_expansion
by_id_layer_branch	2	0	0.0	-0.4166666666666667	-0.4166666666666667	1.0	1.0	dentate	full_mgi_ortholog_matrix	tgf_beta_smad
by_id_layer_branch	2	0	0.0	-0.4166666666666667	-0.4166666666666667	1.0	1.0	dentate	full_mgi_ortholog_matrix	wnt_beta_catenin
