analysis_region	sampling_group	neuron_id	neuron_name	archive	species	strain	brain_region	cell_type	age_classification	age_scale	min_age	max_age	gender	experiment_condition	protocol	domain	attributes	physical_integrity	reconstruction_software	slicing_thickness	reference_pmid	reference_doi	measurements_url	neuron_name_morph	surface	volume	n_stems	n_bifs	n_branch	width	height	depth	diameter	eucDistance	pathDistance	branch_Order	contraction	fragmentation	partition_asymmetry	pk_classic	bif_ampl_local	fractal_Dim	soma_Surface	bif_ampl_remote	length	is_control_like	dendrites_present	moderate_or_complete_dendrites	has_core_morphometry	analysis_inclusion	compact_branch_index
dentate_gyrus	DG_human_all	276086	H17-06-014-11-05-01_657986045_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	44.0	44.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276086	H17-06-014-11-05-01_657986045_m_dendriteaxon	9186.97	2045.17	4.0	14.0	32.0	128.359	501.46	57.97	0.761081	524.942	607.858	7.0	0.873298	3376.0	0.60119	2.0	72.9601	1.02813	225.278	18.6138	3817.23	False	True	True	True	True	0.00838304215360353
dentate_gyrus	DG_human_all	276095	H16-06-013-05-03-01_575210452_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	34.0	34.0	Female	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276095	H16-06-013-05-03-01_575210452_m_dendriteaxon	9766.68	4937.06	3.0	8.0	19.0	120.3	543.87	90.85	1.0227	529.544	581.682	5.0	0.824578	1763.0	0.491071	1.58108	43.5971	1.04821	1044.26	23.9735	2394.68	False	True	True	True	True	0.007934254263617687
dentate_gyrus	DG_human_all	276103	H18-06-368-99-02-03_813165001_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276103	H18-06-368-99-02-03_813165001_m_dendriteaxon	9991.84	3364.21	3.0	13.0	29.0	169.436	504.039	132.4	1.02126	462.138	546.09	5.0	0.889498	2597.0	0.366667	1.88584	69.6964	1.02564	156.579	33.0438	3087.14	False	True	True	True	True	0.009393807860997559
dentate_gyrus	DG_human_all	276104	H18-06-368-99-05-02_813191777_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276104	H18-06-368-99-05-02_813191777_m_dendriteOnly	12265.1	4843.98	2.0	14.0	30.0	304.425	481.222	109.96	1.1809	445.29	522.176	7.0	0.898289	2805.0	0.352381	1.86352	60.7269	1.02479	286.495	25.6852	3291.05	False	True	True	True	True	0.009115631789246592
dentate_gyrus	DG_human_all	276109	H18-06-368-99-03-03_823490783_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276109	H18-06-368-99-03-03_823490783_m_dendriteaxon	8732.06	3275.27	3.0	9.0	21.0	134.176	394.599	74.12	1.20402	473.334	555.238	4.0	0.866637	1842.0	0.611111	2.0	72.7426	1.02968	157.656	29.5098	2336.69	False	True	True	True	True	0.00898707145577719
dentate_gyrus	DG_human_all	276114	H18-06-368-99-01-03_814124801_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276114	H18-06-368-99-01-03_814124801_m_dendriteOnly	12197.6	3445.01	4.0	15.0	34.0	362.505	488.73	158.08	0.949976	506.979	612.441	5.0	0.889943	3398.0	0.582857	1.87725	56.3727	1.02709	133.835	58.2347	4063.69	False	True	True	True	True	0.00836677994630496
dentate_gyrus	DG_human_all	276125	H17-06-015-21-12-02_666323589_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer	principal cell;granule	adult	Year	19.0	19.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276125	H17-06-015-21-12-02_666323589_m_dendriteaxon	13574.7	2518.07	3.0	34.0	71.0	805.594	2690.6	244.58	0.443261	2328.91	2966.09	9.0	0.848852	4486.0	0.515126	2.0	70.462	1.0377	575.247	60.7706	9867.47	False	True	True	True	True	0.007195360107504761
dentate_gyrus	DG_human_all	276138	H18-06-366-99-03-03_791542189_m_dendriteNoAxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	38.0	38.0	Male	Epilepsy	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276138	H18-06-366-99-03-03_791542189_m_dendriteNoAxon	13950.4	5692.95	3.0	18.0	39.0	426.794	649.85	64.14	1.21937	725.928	854.38	9.0	0.842548	1595.0	0.447685	1.99347	82.0313	1.04813	1026.18	61.2913	3611.27	False	True	True	True	True	0.01079952482090788
dentate_gyrus	DG_human_all	276148	H16-06-013-05-01-01_576675715_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	34.0	34.0	Female	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276148	H16-06-013-05-01-01_576675715_m_dendriteaxon	19919.3	5935.39	5.0	37.0	79.0	503.709	1104.21	169.48	0.55292	627.994	1364.33	12.0	0.875043	8072.0	0.495733	1.95646	69.2663	1.03112	1291.1	76.0505	10211.6	False	True	True	True	True	0.007736299894237925
dentate_gyrus	DG_human_all	276150	H17-06-015-21-09-08_669893886_m_dendriteaxon	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer	principal cell;granule	adult	Year	19.0	19.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276150	H17-06-015-21-09-08_669893886_m_dendriteaxon	14257.5	5689.63	5.0	16.0	37.0	77.4782	399.681	223.3	1.17151	438.721	532.898	7.0	0.900896	3280.0	0.513889	1.76723	54.0745	1.02757	200.866	24.6664	3857.59	False	True	True	True	True	0.009591480691312451
dentate_gyrus	DG_human_all	276151	H18-06-368-99-04-03_815813776_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276151	H18-06-368-99-04-03_815813776_m_dendriteOnly	9271.1	3004.65	3.0	7.0	17.0	351.88	510.981	88.6	0.94722	566.851	685.566	3.0	0.852052	2619.0	0.428571	1.88094	64.7754	1.03679	122.988	24.0936	3101.93	False	True	True	True	True	0.0054804589400792416
dentate_gyrus	DG_human_all	276154	H18-06-368-99-03-01_823496744_m_dendriteOnly	Allen Cell Types	human	Not applicable	hippocampus;dentate gyrus;granule layer;left	principal cell;granule	adult	Year	59.0	59.0	Male	Epilepsy	in vitro	Dendrites, Soma, Axon	No Diameter, 3D, Angles	Dendrites Moderate, Axon Incomplete	Vaa3D	400	36577383	S2211-1247(22)01769-7	http://neuromorpho.org/api/morphometry/id/276154	H18-06-368-99-03-01_823496744_m_dendriteOnly	6121.54	1409.03	4.0	10.0	24.0	232.42	471.759	87.21	0.734059	456.722	529.107	5.0	0.873689	2185.0	0.492857	1.78362	72.4663	1.02935	198.979	46.1702	2595.75	False	True	True	True	True	0.009245882692863335
