asset_id	subject	session	cell_type	n_units	median_spatial_information_bits_per_spike	median_spatial_sparsity	median_active_spatial_bin_fraction	median_awake_moving_rate_hz	median_selectivity_max_over_mean
70590f8f-6ddc-4df8-a088-ff0c838aacf5	YutaMouse55	YutaMouse55-160909	unknown	3	0.6385600160687304	0.4688182477008214	0.8271604938271605	0.26726106968354557	13.287144168962351
4153ba8e-5f24-41de-8b9b-2523f0d44821	YutaMouse37	YutaMouse37-150609	unknown	3	0.5509690859819291	0.5415642833479812	0.7250996015936255	0.4513903609764887	10.931943146893886
70590f8f-6ddc-4df8-a088-ff0c838aacf5	YutaMouse55	YutaMouse55-160909	wide waveform cell (narrower, exclude opto tagged SST cell)	3	0.43478441945148216	0.6399391013806555	0.8765432098765432	0.6120008535076746	4.035871494497693
70590f8f-6ddc-4df8-a088-ff0c838aacf5	YutaMouse55	YutaMouse55-160909	mossy cell	3	0.3926959613465672	0.6210410023365234	0.897119341563786	0.6484455448281581	12.799380804953563
3a8924c7-e163-4ae1-a68c-68c8fe9c7411	YutaMouse55	YutaMouse55-160908	pyramidal cell	3	0.3125526783520145	0.6323077294656337	0.9308943089430894	0.29219558642081095	15.278415971199475
70aaf3be-9f95-40af-8abc-a8316cbe50ca	YutaMouse41	YutaMouse41-150829	granule cell	3	0.30979273499088733	0.6273396519875859	0.4634146341463415	0.641356874617915	8.30168767873686
70aaf3be-9f95-40af-8abc-a8316cbe50ca	YutaMouse41	YutaMouse41-150829	narrow waveform cell	3	0.09588698053948187	0.867158972937252	0.9902439024390244	7.188731162605649	3.5160217738558646
ae561807-30d9-4775-9ce4-483da9843163	YutaMouse55	YutaMouse55-160907	narrow waveform cell	3	0.021591492795082337	0.9722784216078658	1.0	40.00648100915859	1.6096094651789148
70590f8f-6ddc-4df8-a088-ff0c838aacf5	YutaMouse55	YutaMouse55-160909	granule cell	2	1.6605040285907267	0.24650342406989928	0.3868312757201646	0.08085322259618374	22.393777190248862
cbbaf9d5-cb17-46af-9bc7-2109eeb720b0	YutaMouse42	YutaMouse42-151102	granule cell	2	0.5469612201943943	0.5406485866791422	0.6693227091633467	0.06281841975630466	10.729777411151453
70aaf3be-9f95-40af-8abc-a8316cbe50ca	YutaMouse41	YutaMouse41-150829	wide waveform cell (wider)	2	0.15518398384891113	0.8207691852906549	0.9024390243902438	3.598156106566524	8.491765398777625
4153ba8e-5f24-41de-8b9b-2523f0d44821	YutaMouse37	YutaMouse37-150609	mossy cell	1	1.7531321882417759	0.09883159677854762	0.8406374501992032	0.19252145641281104	39.06397694969719
70aaf3be-9f95-40af-8abc-a8316cbe50ca	YutaMouse41	YutaMouse41-150829	positive waveform unit (bursty)	1	1.0894824162260193	0.19351239055643946	0.6341463414634146	0.4946635469127536	54.290373563218395
70aaf3be-9f95-40af-8abc-a8316cbe50ca	YutaMouse41	YutaMouse41-150829	mossy cell	1	0.7840468016933115	0.4585909591668774	0.5317073170731708	0.9571076290840634	10.203267326732675
