dataset	region	axis_type	comparison_group	metric_type	metric_id	metric_label	paper_readout	start_label	end_label	start_score	end_score	delta_end_minus_start
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	P5	P28	0.8	0.2	-0.6000000000000001
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	P5	P28	0.6	0.2	-0.39999999999999997
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	P5	P28	0.8	0.2	-0.6000000000000001
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	P5	P28	0.6	0.2	-0.39999999999999997
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	P5	P28	0.6	0.2	-0.39999999999999997
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	P5	P28	0.6	0.2	-0.39999999999999997
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	P5	P28	0.9	0.2	-0.7
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	P5	P28	1.0	0.2	-0.8
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	P5	P28	1.0	0.2	-0.8
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	P5	P28	0.30000000000000004	2.7755575615628914e-17	-0.30000000000000004
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	P5	P28	1.0	0.5	-0.5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	P5	P28	0.0	0.0	0.0
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	P5	P28	0.8	0.2	-0.6000000000000001
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	P5	P28	0.7	0.2	-0.49999999999999994
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	P5	P28	0.8	0.2	-0.6000000000000001
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	P5	P28	0.6	0.2	-0.39999999999999997
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	P5	P28	0.8	0.4	-0.4
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	P5	P28	0.8	0.2	-0.6000000000000001
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	P5	P28	0.9	0.2	-0.7
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	P5	P28	0.8	0.2	-0.6000000000000001
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	P5	P28	1.0	0.2	-0.8
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	P5	P28	0.09999999999999998	2.7755575615628914e-17	-0.09999999999999995
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	P5	P28	0.9523809523809527	0.7142857142857142	-0.23809523809523847
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	P5	P28	0.15000000000000002	0.10000000000000003	-0.04999999999999999
