source_layer	expression_scale	broad_class	panel	gene	gene_key	candidate_role	notes	n_cells	detection_fraction	mean_value_all_cells	mean_log1p_value_all_cells	present_in_matrix
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	29474	0.0347425	0.0515709	0.0298621	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	56808	0.167388	0.271687	0.150508	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	511	0.0156556	0.0195695	0.0124386	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	10533	0.196335	0.278044	0.278044	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	67423	0.0917046	0.0774552	0.0774552	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	3304	0.0172518	0.0271056	0.0271056	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	37763	0.00394566	0.00738466	0.00738466	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	36805	0.000489064	0.00106271	0.00106271	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	32081	0.0144322	0.0186403	0.0114719	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Grin2c	GRIN2C	regional_cerebellar_identity	cerebellar granule receptor marker	32875	0.0659468	0.100046	0.0567802	True
