dataset	sample	group	region	platform	species	analysis_class	n_cells_or_spots	n_high_confidence	n_medium_confidence	n_reference_confidence	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	identity_contrast_mean	identity_contrast_median	identity_contrast_q25	identity_contrast_q75	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
GSE104323	10X_all_cells	RGL_young	dentate_gyrus	10x	mouse	known_non_dentate_reference	686	0	0	686	0.0728941	0.0866434	0	0.0866434	0.0259987	0	0	0.0630134	0.0468954	0	0	0.0866434	0.126406	0.106638	0.053319	0.159957	0.350967	0.3226	0.231049	0.414151	0.0977644	0.0924196	0.0462098	0.138629	0.191712	0.163035	0.126787	0.21655	0.317465	0.376949	0.144449	0.376949	0.535341	0.387761	0.387761	0.844676	0.228927	0.221274	0.131776	0.289229	0.272616	0.24021	0.166632	0.347783	GSE104323|10X_all_cells|RGL_young|known_non_dentate_reference
GSE104323	10X_all_cells	VLMC	dentate_gyrus	10x	mouse	known_non_dentate_reference	160	0	0	160	0.0473992	0	0	0.0866434	0.132859	0.126027	0.0630134	0.18904	-0.0854599	-0.0998738	-0.155675	-0.0579057	0.0773389	0.053319	0	0.053319	0.286917	0.22836	0.149313	0.336883	0.0969647	0.0732408	0.0462098	0.138629	0.15374	0.107533	0.0690253	0.166413	0.253189	0.144449	0.144449	0.376949	0.906842	0.962125	0.844676	0.992061	0.150636	0.131776	0.0438081	0.131776	0.196128	0.129357	0.0600786	0.246827	GSE104323|10X_all_cells|VLMC|known_non_dentate_reference
GSE104323	10X_all_cells	nIPC	dentate_gyrus	10x	mouse	known_non_dentate_reference	353	0	0	353	0.167328	0.173287	0.0866434	0.22397	0.0400688	0	0	0.0630134	0.127259	0.110274	0.02363	0.184586	0.345126	0.297785	0.191147	0.452777	0.577069	0.51986	0.365169	0.738469	0.150824	0.119451	0.0462098	0.21187	0.357673	0.322437	0.231033	0.441921	0.503101	0.563386	0.376949	0.645338	0.602869	0.387761	0.387761	0.844676	0.472914	0.436944	0.323279	0.608848	0.487327	0.504321	0.37422	0.60674	GSE104323|10X_all_cells|nIPC|known_non_dentate_reference
GSE104323	10X_all_cells	nIPC-perin	dentate_gyrus	10x	mouse	known_non_dentate_reference	468	0	0	468	0.0842742	0.0866434	0	0.137327	0.0340269	0	0	0.0630134	0.0502473	0.02363	0	0.0866434	0.161212	0.137828	0.0845086	0.209553	0.460798	0.424964	0.3226	0.563464	0.112879	0.0924196	0.0462098	0.156545	0.244963	0.225125	0.172455	0.289519	0.343982	0.376949	0.144449	0.493488	0.569949	0.387761	0.387761	0.844676	0.274922	0.261216	0.185921	0.339286	0.365738	0.363696	0.258998	0.46474	GSE104323|10X_all_cells|nIPC-perin|known_non_dentate_reference
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	mouse	cerebellar_candidate	2678	1814	864	0	0.116435	0.0866434	0.0866434	0.173287	0.464339	0.443891	0.388788	0.518526	-0.347904	-0.346282	-0.417979	-0.265284	0.808778	0.821046	0.595569	0.991754	1.24855	1.26526	0.918995	1.56237	0.079572	0.0732408	0.0462098	0.119451	0.712299	0.725125	0.533088	0.875352	0.58946	0.502009	0.502009	0.837373	0.773491	0.773969	0.671465	0.884708	0.711299	0.734668	0.545327	0.881427	0.700863	0.734132	0.530329	0.880926	GSE122357|GSM3464549_P0|all|cerebellar_candidate
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	mouse	cerebellum_warning	353	0	0	0	0.230138	0.20118	0.173287	0.25993	0.129404	0.126027	0.0630134	0.18904	0.100733	0.0734132	0.034029	0.137327	0.468082	0.444673	0.222336	0.666053	0.924961	0.873902	0.526129	1.24889	0.107172	0.0732408	0.0462098	0.138629	0.500072	0.484627	0.279114	0.666333	0.878502	0.90004	0.837373	0.962306	0.172864	0.134373	0.0636717	0.248728	0.423678	0.422938	0.206213	0.605383	0.474828	0.482726	0.240627	0.673005	GSE122357|GSM3464549_P0|all|cerebellum_warning
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	mouse	other_or_ambiguous	4437	0	0	0	0.0638695	0.0866434	0	0.0866434	0.23944	0.225901	0.162887	0.3092	-0.17557	-0.162887	-0.239914	-0.0762436	0.419535	0.326807	0.191147	0.643924	0.755963	0.648602	0.423966	1.04672	0.0621542	0.0462098	0	0.0924196	0.412551	0.34069	0.227661	0.58392	0.416006	0.502009	0.175951	0.502009	0.36107	0.321706	0.197442	0.497456	0.378653	0.315613	0.166176	0.585699	0.380882	0.326593	0.157271	0.585163	GSE122357|GSM3464549_P0|all|other_or_ambiguous
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	mouse	cerebellar_candidate	2082	1323	759	0	0.1225	0.137327	0.0866434	0.173287	0.504959	0.477954	0.414941	0.571961	-0.382458	-0.373256	-0.46396	-0.288321	0.802982	0.77408	0.595569	0.979113	1.22005	1.1912	0.940406	1.47805	0.0638577	0.0462098	0	0.0924196	0.695629	0.679104	0.530395	0.839188	0.576924	0.680273	0.466163	0.802234	0.776357	0.778006	0.662533	0.891672	0.702926	0.720475	0.529977	0.880872	0.684967	0.70951	0.508007	0.878737	GSE122357|GSM3464550_P8a|all|cerebellar_candidate
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	mouse	cerebellum_warning	319	0	0	0	0.359079	0.25993	0.20118	0.426794	0.123237	0.126027	0.0630134	0.18904	0.235842	0.110274	0.04726	0.32456	0.541131	0.537286	0.297785	0.728433	1.12635	1.04416	0.736486	1.37375	0.176086	0.0924196	0.0462098	0.277259	0.614522	0.566509	0.397539	0.739293	0.918605	0.943331	0.871797	0.98649	0.147188	0.120072	0.0665243	0.210825	0.464747	0.465999	0.209593	0.675756	0.545481	0.558804	0.297799	0.78047	GSE122357|GSM3464550_P8a|all|cerebellum_warning
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	mouse	other_or_ambiguous	3687	0	0	0	0.0728994	0.0866434	0	0.137327	0.266725	0.262761	0.176901	0.335353	-0.193826	-0.176118	-0.273305	-0.088574	0.460262	0.404423	0.244466	0.671614	0.856388	0.807731	0.581711	1.11704	0.0536334	0.0462098	0	0.0924196	0.456761	0.423007	0.301065	0.608768	0.42048	0.466163	0.158344	0.680273	0.374606	0.350197	0.190375	0.499671	0.388596	0.320795	0.157769	0.614693	0.391752	0.338863	0.157441	0.616705	GSE122357|GSM3464550_P8a|all|other_or_ambiguous
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	mouse	cerebellar_candidate	2697	1679	1018	0	0.113986	0.0866434	0.0866434	0.173287	0.459636	0.435227	0.37808	0.514815	-0.345651	-0.342311	-0.418652	-0.265284	0.679739	0.642195	0.482238	0.842532	1.07022	1.03116	0.784915	1.31156	0.0578806	0.0462098	0	0.0924196	0.602612	0.579724	0.44272	0.734959	0.573342	0.494491	0.494491	0.829089	0.772352	0.770874	0.657689	0.885529	0.69462	0.702253	0.516283	0.878061	0.67772	0.700784	0.499143	0.874388	GSE122357|GSM3464551_P8b|all|cerebellar_candidate
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	mouse	cerebellum_warning	499	0	0	0	0.276162	0.22397	0.173287	0.287823	0.128025	0.126027	0.0630134	0.162887	0.148137	0.0734132	0.034029	0.160957	0.452308	0.464635	0.217806	0.642841	0.919643	0.862348	0.615848	1.16617	0.109197	0.0462098	0	0.138629	0.493716	0.465847	0.315736	0.613221	0.886777	0.923727	0.829089	0.972331	0.14904	0.120593	0.0581538	0.179114	0.46192	0.493022	0.176787	0.702987	0.514407	0.535994	0.259182	0.741308	GSE122357|GSM3464551_P8b|all|cerebellum_warning
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	mouse	other_or_ambiguous	4972	0	0	0	0.0673835	0.0866434	0	0.0866434	0.25709	0.252054	0.162887	0.315067	-0.189707	-0.176118	-0.272339	-0.088574	0.398142	0.328974	0.213276	0.581545	0.759894	0.712778	0.508733	0.977616	0.0477173	0.0462098	0	0.0732408	0.401918	0.364107	0.260591	0.528933	0.4215	0.494491	0.168646	0.494491	0.38759	0.362635	0.179114	0.509182	0.398353	0.319723	0.169564	0.631611	0.402253	0.352228	0.163657	0.634091	GSE122357|GSM3464551_P8b|all|other_or_ambiguous
GSE150153	NAY6153A1_125	metadata_unmatched	organoid	10x	human	organoid_granule_like	402	0	0	0	0.285121	0.25993	0.20118	0.361296	0.358245	0.33757	0.276775	0.445927	-0.0731242	-0.0860345	-0.201718	0.048287	0.823354	0.747899	0.590817	1.02128	1.79613	1.78059	1.41681	2.14687	0.267538	0.238901	0.138629	0.382799	0.96234	0.900707	0.726765	1.16103	0.753718	0.801514	0.689235	0.912952	0.773935	0.818334	0.719933	0.912426	0.776477	0.803196	0.670206	0.914845	0.779312	0.812868	0.679773	0.914845	GSE150153|NAY6153A1_125|metadata_unmatched|organoid_granule_like
GSE150153	NAY6153A1_125	metadata_unmatched	organoid	10x	human	other_or_ambiguous	787	0	0	0	0.092984	0.0866434	0	0.137327	0.137442	0.126027	0.0630134	0.18904	-0.0444579	-0.051713	-0.126027	0.02363	0.319968	0.28376	0.159957	0.457742	0.911413	0.892497	0.526417	1.24899	0.0897857	0.0732408	0.0462098	0.138629	0.440389	0.439078	0.257643	0.594677	0.371036	0.343987	0.1127	0.517662	0.360709	0.317914	0.152229	0.509251	0.359411	0.329268	0.173675	0.530698	0.357963	0.335576	0.166947	0.529016	GSE150153|NAY6153A1_125|metadata_unmatched|other_or_ambiguous
GSE150153	NAY6153A2_678	metadata_unmatched	organoid	10x	human	organoid_granule_like	490	0	0	0	0.233006	0.22397	0.173287	0.287823	0.220196	0.209326	0.126027	0.292625	0.0128099	0.024222	-0.122683	0.160957	0.542834	0.492072	0.319006	0.704418	1.201	1.1379	0.856848	1.51052	0.159535	0.138629	0.0462098	0.231049	0.634456	0.586491	0.434978	0.790103	0.738323	0.814815	0.712396	0.897203	0.69787	0.787226	0.59486	0.902872	0.738342	0.755102	0.590797	0.890118	0.736794	0.758881	0.604119	0.900794	GSE150153|NAY6153A2_678|metadata_unmatched|organoid_granule_like
GSE150153	NAY6153A2_678	metadata_unmatched	organoid	10x	human	other_or_ambiguous	833	0	0	0	0.061685	0.0866434	0	0.0866434	0.0719844	0.0630134	0	0.126027	-0.0102995	0	-0.0630134	0.04726	0.20208	0.137828	0.053319	0.275655	0.593487	0.484759	0.32927	0.780012	0.057295	0.0462098	0	0.0924196	0.284287	0.221922	0.152146	0.367523	0.36041	0.455782	0.165155	0.455782	0.384206	0.369615	0.133409	0.59486	0.360399	0.300076	0.108844	0.537793	0.36131	0.322751	0.15873	0.529101	GSE150153|NAY6153A2_678|metadata_unmatched|other_or_ambiguous
GSE165657	Cerebellum_aggr	all	cerebellum	10x	human	cerebellar_candidate	25064	17653	7411	0	0.0644114	0.0866434	0	0.0866434	0.256324	0.225901	0.18904	0.302928	-0.191912	-0.18904	-0.252054	-0.125434	0.487214	0.452777	0.328974	0.610842	0.71695	0.678989	0.475315	0.926761	0.0612526	0.0462098	0	0.0924196	0.421805	0.393643	0.293974	0.525293	0.563364	0.714133	0.291869	0.714133	0.805748	0.790462	0.706438	0.908443	0.732188	0.756954	0.592257	0.893778	0.712911	0.752679	0.561548	0.892147	GSE165657|Cerebellum_aggr|all|cerebellar_candidate
GSE165657	Cerebellum_aggr	all	cerebellum	10x	human	cerebellum_warning	12154	0	0	0	0.132116	0.0866434	0.0866434	0.173287	0.0529707	0.0630134	0	0.0630134	0.0791449	0.0866434	0.02363	0.0866434	0.271607	0.244466	0.106638	0.390398	0.530673	0.490509	0.307407	0.697584	0.054186	0.0462098	0	0.0924196	0.285489	0.263631	0.167362	0.370406	0.811296	0.714133	0.714133	0.939205	0.29047	0.32673	0.119993	0.32673	0.462655	0.456703	0.21257	0.68019	0.491496	0.490041	0.260938	0.715745	GSE165657|Cerebellum_aggr|all|cerebellum_warning
GSE165657	Cerebellum_aggr	all	cerebellum	10x	human	other_or_ambiguous	36332	0	0	0	0.0126896	0	0	0	0.0758419	0.0630134	0	0.126027	-0.0631523	-0.0630134	-0.0998738	0	0.194996	0.159957	0.053319	0.297785	0.394582	0.365169	0.219921	0.538715	0.0365228	0	0	0.0462098	0.2087	0.189325	0.113732	0.283742	0.352164	0.291869	0.291869	0.291869	0.359184	0.32673	0.119993	0.53412	0.35233	0.310068	0.119327	0.542882	0.35598	0.312957	0.145269	0.537396	GSE165657|Cerebellum_aggr|all|other_or_ambiguous
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	17	8	9	0	1.59964	1.45464	1.3789	1.69515	0.215641	0.184312	0.119429	0.275642	1.384	1.28977	1.08992	1.51222	1.61488	1.56146	1.33504	1.69344	1.91671	1.87212	1.60433	2.27906	1.21939	1.11852	0.816791	1.5308	1.58366	1.56168	1.37967	1.83788	0.735367	0.703242	0.660848	0.798005	0.668476	0.690773	0.53616	0.825436	0.627109	0.625935	0.498753	0.690773	0.609652	0.593516	0.478803	0.780549	GSE214309|snRNA_counts|immature_1hr|dentate_candidate
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	42	0	0	0	0.848227	0.794123	0.463735	1.15806	0.0990992	0.0623264	0	0.133483	0.749128	0.647319	0.433622	1.05537	0.896371	0.932449	0.354364	1.22467	1.37157	1.27839	0.859497	1.7934	0.881932	0.861897	0.496715	1.20262	1.04996	0.999148	0.701804	1.3256	0.37353	0.331671	0.175811	0.542394	0.395054	0.346634	0.144638	0.57419	0.302933	0.269327	0.0860349	0.42394	0.318846	0.256858	0.13217	0.452618	GSE214309|snRNA_counts|immature_1hr|dentate_low_support
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	mouse	other_or_ambiguous	4	0	0	0	0.124266	0.147631	0.107271	0.164626	0.355459	0.313142	0.153784	0.514817	-0.231193	-0.165511	-0.350191	-0.0465128	0.415633	0.287967	0.150641	0.55296	0.754551	0.682927	0.604343	0.833134	0.73895	0.764961	0.252442	1.25147	0.636378	0.663729	0.628656	0.671451	0.0392768	0.0386534	0.0293018	0.0486284	0.699501	0.832918	0.589776	0.942643	0.119077	0.0698255	0.0436409	0.145262	0.102244	0.108479	0.094763	0.11596	GSE214309|snRNA_counts|immature_1hr|other_or_ambiguous
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	29	22	7	0	1.8245	1.70717	1.52168	2.03715	0.241036	0.191298	0.118199	0.295206	1.58346	1.52733	1.22247	1.86182	1.98167	1.92205	1.54465	2.33971	2.31785	2.20358	1.75282	2.57952	1.47621	1.35259	1.2319	1.81791	1.92524	1.88318	1.57726	2.09103	0.798435	0.810474	0.72818	0.890274	0.648035	0.718204	0.533666	0.852868	0.764124	0.812968	0.605985	0.930175	0.759395	0.80798	0.603491	0.910224	GSE214309|snRNA_counts|immature_4hr|dentate_candidate
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	32	0	0	0	0.976085	0.937777	0.605564	1.10582	0.141206	0.105009	0	0.192473	0.834879	0.77763	0.466825	1.01039	1.30162	1.34715	0.862291	1.74995	2.17708	1.98744	1.46479	2.84784	1.45068	1.36126	0.969803	1.92181	1.64313	1.59932	1.30246	2.04038	0.414978	0.411471	0.246883	0.519327	0.499688	0.509975	0.144638	0.716958	0.486908	0.496259	0.245012	0.73192	0.629988	0.627182	0.437033	0.889028	GSE214309|snRNA_counts|immature_4hr|dentate_low_support
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	13	5	8	0	1.74684	1.48248	1.42813	1.87981	0.156271	0.0657005	0	0.273424	1.59058	1.38291	1.25262	1.79657	1.62204	1.61585	1.28334	1.77329	1.55532	1.24183	0.979525	2.19981	1.19373	1.35993	0.67803	1.57715	1.45703	1.55331	1.05679	1.73586	0.761366	0.715711	0.683292	0.855362	0.489257	0.399002	0.144638	0.822943	0.628237	0.653367	0.466334	0.753117	0.542874	0.588529	0.309227	0.723192	GSE214309|snRNA_counts|immatureactive_1hr|dentate_candidate
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	27	0	0	0	0.926036	0.82473	0.552036	1.09124	0.118678	0.100463	0	0.163189	0.807358	0.726943	0.510614	1.05349	0.839452	0.855178	0.619493	1.05753	1.21028	1.26639	0.90152	1.43964	0.709705	0.538592	0.336354	1.10267	0.919813	0.949277	0.688875	1.0913	0.399095	0.349127	0.216957	0.504988	0.458622	0.496259	0.144638	0.65025	0.254964	0.234414	0.158355	0.334164	0.243558	0.23192	0.128429	0.329177	GSE214309|snRNA_counts|immatureactive_1hr|dentate_low_support
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	mouse	other_or_ambiguous	2	0	0	0	0.116987	0.116987	0.0584937	0.175481	0.41356	0.41356	0.385061	0.44206	-0.296573	-0.296573	-0.383566	-0.20958	1.21115	1.21115	1.05824	1.36407	1.04928	1.04928	0.927936	1.17063	0.967228	0.967228	0.733211	1.20124	1.07589	1.07589	0.987359	1.16442	0.0473816	0.0473816	0.0261845	0.0685786	0.9202	0.9202	0.907731	0.932668	0.4202	0.4202	0.339776	0.500623	0.315461	0.315461	0.267456	0.363466	GSE214309|snRNA_counts|immatureactive_1hr|other_or_ambiguous
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	18	15	3	0	1.95668	1.72925	1.53673	2.19105	0.113679	0.0870425	0	0.183517	1.843	1.67102	1.37994	2.01414	2.00712	1.78687	1.55541	2.4017	1.85947	1.8635	1.25361	2.16298	1.68315	1.88909	1.23496	2.16235	1.84991	1.87348	1.63962	2.04371	0.822943	0.819202	0.735037	0.933915	0.466819	0.453242	0.144638	0.691396	0.758797	0.756858	0.612843	0.94015	0.743974	0.801746	0.655861	0.889651	GSE214309|snRNA_counts|immatureactive_4hr|dentate_candidate
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	13	0	0	0	0.947087	0.821286	0.534583	1.16631	0.114631	0.122788	0.0630134	0.144909	0.832455	0.639088	0.464267	1.04352	1.28227	1.20028	0.902027	1.58284	1.65503	1.67889	1.21903	2.08976	1.29813	1.41538	0.605046	1.82512	1.41181	1.56189	1.17543	1.66488	0.380395	0.34414	0.204489	0.548628	0.482256	0.546135	0.366584	0.613466	0.457894	0.401496	0.256858	0.640898	0.520813	0.59601	0.371571	0.673317	GSE214309|snRNA_counts|immatureactive_4hr|dentate_low_support
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	mouse	other_or_ambiguous	1	0	0	0	0.0152772	0.0152772	0.0152772	0.0152772	0.14429	0.14429	0.14429	0.14429	-0.129013	-0.129013	-0.129013	-0.129013	0.990277	0.990277	0.990277	0.990277	1.70982	1.70982	1.70982	1.70982	0.684334	0.684334	0.684334	0.684334	1.12814	1.12814	1.12814	1.12814	0.00997506	0.00997506	0.00997506	0.00997506	0.608479	0.608479	0.608479	0.608479	0.296758	0.296758	0.296758	0.296758	0.346633	0.346633	0.346633	0.346633	GSE214309|snRNA_counts|immatureactive_4hr|other_or_ambiguous
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	18	9	9	0	1.81044	1.79569	1.40441	2.16701	0.199606	0.0847394	0.0623281	0.258696	1.61083	1.49876	1.3121	2.06371	1.76932	1.77652	1.53784	1.98422	1.7441	1.58352	1.33692	1.84583	1.30562	1.26521	1.1956	1.57748	1.60635	1.58952	1.39727	1.81665	0.799252	0.834164	0.671446	0.927681	0.527431	0.448878	0.34414	0.801122	0.710585	0.744389	0.607232	0.842269	0.626767	0.615961	0.488779	0.76621	GSE214309|snRNA_counts|mature_1hr|dentate_candidate
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	24	0	0	0	0.792548	0.803018	0.479509	1.01169	0.143668	0.133681	0.0515538	0.190752	0.648881	0.542678	0.318574	0.883853	0.801157	0.78822	0.437966	1.16198	1.45632	1.40299	0.980588	1.82211	0.929069	0.993323	0.547448	1.28951	1.06218	0.928487	0.709196	1.38484	0.343464	0.342893	0.180175	0.454489	0.536315	0.578553	0.344763	0.709477	0.264235	0.213217	0.0997503	0.382793	0.332606	0.238154	0.139028	0.48192	GSE214309|snRNA_counts|mature_1hr|dentate_low_support
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	mouse	other_or_ambiguous	2	0	0	0	0.088034	0.088034	0.044017	0.132051	0.150675	0.150675	0.0753377	0.226013	-0.0626415	-0.0626415	-0.0939622	-0.0313208	1.408	1.408	1.31283	1.50317	1.30598	1.30598	1.1085	1.50346	1.01585	1.01585	0.800663	1.23103	1.24328	1.24328	1.074	1.41255	0.0261845	0.0261845	0.015586	0.036783	0.504988	0.504988	0.324813	0.685162	0.531172	0.531172	0.472569	0.589776	0.417706	0.417706	0.321072	0.514339	GSE214309|snRNA_counts|mature_1hr|other_or_ambiguous
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	24	19	5	0	1.8037	1.67145	1.47947	1.93809	0.238798	0.205246	0.0995687	0.298503	1.5649	1.47826	1.29417	1.71775	2.00962	1.88246	1.73183	2.33587	2.30012	2.06532	1.80285	2.50241	1.29029	1.34377	1.14879	1.48853	1.86667	1.81327	1.61298	2.13554	0.795719	0.786783	0.715087	0.870324	0.650925	0.738155	0.484102	0.862219	0.798732	0.794264	0.716957	0.92207	0.749584	0.76808	0.63591	0.912095	GSE214309|snRNA_counts|mature_4hr|dentate_candidate
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	20	0	0	0	0.977926	0.828557	0.73475	1.06668	0.187743	0.111238	0.0437628	0.245076	0.790182	0.796287	0.458799	0.931908	1.59812	1.587	1.09736	2.00913	1.78433	1.70831	1.32882	2.01191	1.32362	1.49933	0.873815	1.73808	1.56869	1.58763	1.20254	1.90619	0.425686	0.357855	0.304863	0.493142	0.535224	0.523067	0.27182	0.788653	0.607232	0.63591	0.343516	0.849127	0.600374	0.61596	0.38778	0.824813	GSE214309|snRNA_counts|mature_4hr|dentate_low_support
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	9	4	5	0	1.57213	1.46922	1.2696	1.68781	0.0793397	0.0992658	0	0.13991	1.49279	1.40621	1.2696	1.5479	1.57738	1.70918	1.21775	1.80805	1.50741	1.60024	1.08143	2.06959	1.19856	1.07821	0.676381	1.2194	1.42778	1.31297	1.06451	1.65707	0.725963	0.708229	0.603491	0.795511	0.40302	0.476309	0.144638	0.593516	0.62067	0.698254	0.416459	0.773067	0.514547	0.446384	0.319202	0.663342	GSE214309|snRNA_counts|matureactive_1hr|dentate_candidate
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	46	0	0	0	0.694837	0.669817	0.302782	1.01782	0.0941482	0.0627855	0	0.137549	0.600689	0.564019	0.194242	0.89178	0.876665	0.875555	0.557004	1.27944	1.02137	0.916459	0.619223	1.4017	0.790003	0.697099	0.394862	1.05367	0.896012	0.884193	0.55648	1.14487	0.298493	0.271821	0.120948	0.458853	0.409113	0.356608	0.144638	0.587905	0.287244	0.243142	0.129675	0.460099	0.24401	0.215711	0.0760599	0.352868	GSE214309|snRNA_counts|matureactive_1hr|dentate_low_support
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	mouse	other_or_ambiguous	6	0	0	0	0.1624	0.175264	0.0857533	0.238794	0.199458	0.21802	0.0979871	0.279796	-0.0370583	-0.0229405	-0.060818	-0.0122339	0.590326	0.689097	0.2092	0.749917	0.883128	0.767885	0.594873	1.14693	0.610915	0.574086	0.284763	0.916915	0.694789	0.648493	0.510944	0.770703	0.0559019	0.0567331	0.0199501	0.0907107	0.666251	0.734414	0.486284	0.836658	0.18246	0.184538	0.0639026	0.199501	0.14921	0.112219	0.0623441	0.169576	GSE214309|snRNA_counts|matureactive_1hr|other_or_ambiguous
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_candidate	18	14	4	0	1.68758	1.68663	1.31029	1.95538	0.116371	0.0759337	0.00561045	0.146707	1.57121	1.51856	1.25684	1.8584	1.67769	1.75479	1.54495	1.80584	1.48738	1.37759	1.04584	1.92176	2.01652	1.92626	1.7444	2.25558	1.7272	1.68644	1.59354	1.88676	0.765586	0.798005	0.629676	0.870948	0.460308	0.432045	0.182668	0.619077	0.686063	0.735661	0.605985	0.767456	0.700471	0.685785	0.615336	0.810474	GSE214309|snRNA_counts|matureactive_4hr|dentate_candidate
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	mouse	dentate_low_support	34	0	0	0	0.735051	0.709952	0.58335	0.937524	0.0975975	0.0489071	0	0.150911	0.637453	0.608072	0.515525	0.78186	1.42479	1.52062	1.0811	1.7705	1.40014	1.28221	0.949283	1.83366	1.64318	1.71054	1.45693	2.00915	1.48937	1.57241	1.21119	1.88011	0.315241	0.291771	0.235038	0.409601	0.387927	0.305486	0.144638	0.622194	0.547235	0.594763	0.341022	0.747506	0.565865	0.604738	0.389027	0.807357	GSE214309|snRNA_counts|matureactive_4hr|dentate_low_support
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	mouse	other_or_ambiguous	2	0	0	0	0.377883	0.377883	0.29794	0.457827	0.9255	0.9255	0.819709	1.03129	-0.547616	-0.547616	-0.573462	-0.521769	1.63119	1.63119	1.39074	1.87163	1.28218	1.28218	0.882516	1.68185	1.73606	1.73606	1.69114	1.78098	1.54981	1.54981	1.51171	1.58791	0.145886	0.145886	0.115337	0.176434	0.988778	0.988778	0.983167	0.994389	0.620947	0.620947	0.496259	0.745636	0.59227	0.59227	0.564215	0.620324	GSE214309|snRNA_counts|matureactive_4hr|other_or_ambiguous
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	mouse	dentate_candidate	38	27	11	0	4.2499	4.19493	3.94887	4.4185	0.258892	0.144457	0	0.509425	3.991	3.89751	3.68544	4.31264	4.80991	4.7592	4.37961	5.27917	4.58288	4.63348	4.30282	5.00417	2.7976	3.14311	1.93913	3.53941	4.06346	4.07315	3.64357	4.51046	0.785042	0.78421	0.676316	0.892105	0.568837	0.626316	0.268421	0.807894	0.734903	0.742105	0.581579	0.902632	0.719114	0.726316	0.581579	0.881579	GSE214905|patch_RNA_QC_counts|all|dentate_candidate
