dataset	sample	group	region	platform	species	analysis_class	n_cells_or_spots	n_high_confidence	n_medium_confidence	n_reference_confidence	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	identity_contrast_mean	identity_contrast_median	identity_contrast_q25	identity_contrast_q75	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	mouse	dentate_candidate	37	16	21	0	0.581548	0.575646	0.46111	0.67191	0.0102184	0	0	0	0.571329	0.570544	0.46111	0.644857	0.733071	0.73123	0.56752	0.878118	0.737737	0.673611	0.57631	0.899127	0.414714	0.396011	0.292135	0.545243	0.628507	0.568716	0.50769	0.744832	0.741542	0.747069	0.636344	0.825011	0.457118	0.384064	0.384064	0.384064	0.628804	0.64112	0.471776	0.780504	0.587283	0.545376	0.480243	0.709944	GSE95752|C1_all_cells|DG09|dentate_candidate
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	mouse	dentate_low_support	45	0	0	0	0.243178	0.22397	0.137327	0.310613	0.0142409	0	0	0	0.228938	0.22397	0.137327	0.287823	0.530693	0.554108	0.360164	0.651255	0.590189	0.548271	0.414151	0.712778	0.303514	0.285111	0.21187	0.412414	0.474799	0.452887	0.38213	0.570054	0.428456	0.414677	0.331741	0.491967	0.478033	0.384064	0.384064	0.384064	0.461114	0.455059	0.311333	0.560139	0.438172	0.409032	0.335215	0.548415	GSE95752|C1_all_cells|DG09|dentate_low_support
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	mouse	other_or_ambiguous	28	0	0	0	0.00618881	0	0	0	0.0352465	0	0	0.0630134	-0.0290577	0	-0.0630134	0	0.196047	0.137828	0.053319	0.233947	0.322094	0.264838	0.203277	0.355021	0.125298	0.0828302	0	0.16566	0.21448	0.147664	0.104349	0.216542	0.124155	0.112896	0.112896	0.112896	0.564807	0.384064	0.384064	0.834564	0.214107	0.19822	0.09835	0.257599	0.190923	0.149479	0.0860834	0.21396	GSE95752|C1_all_cells|DG09|other_or_ambiguous
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	mouse	dentate_candidate	18	4	14	0	0.583747	0.550803	0.473726	0.684323	0.00904929	0	0	0	0.574698	0.550803	0.473726	0.644161	0.672941	0.66972	0.591334	0.752944	0.644617	0.673611	0.541218	0.701469	0.365569	0.340911	0.267688	0.496587	0.561042	0.575067	0.493061	0.614564	0.738698	0.719714	0.647254	0.832284	0.438956	0.384064	0.384064	0.384064	0.579305	0.579788	0.498155	0.659628	0.531698	0.552323	0.461355	0.594985	GSE95752|C1_all_cells|DG10|dentate_candidate
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	mouse	dentate_low_support	27	0	0	0	0.21308	0.173287	0.111985	0.255896	0.0070015	0	0	0	0.206078	0.173287	0.0866434	0.255896	0.418469	0.399458	0.310897	0.485366	0.484384	0.490509	0.286122	0.668185	0.260024	0.25808	0.152145	0.317805	0.387626	0.40586	0.271942	0.475341	0.399865	0.367347	0.301129	0.444203	0.421801	0.384064	0.384064	0.384064	0.36988	0.332175	0.285605	0.391337	0.35691	0.363873	0.253366	0.435519	GSE95752|C1_all_cells|DG10|dentate_low_support
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	mouse	other_or_ambiguous	30	0	0	0	0	0	0	0	0.0475999	0.0315067	0	0.0906587	-0.0475999	-0.0315067	-0.0906587	0	0.0750448	0.053319	0	0.0845086	0.167933	0.115525	0.0577623	0.225056	0.0737041	0.0462098	0	0.0924196	0.105561	0.0678516	0.0462287	0.126023	0.112896	0.112896	0.112896	0.112896	0.638833	0.609314	0.384064	0.899859	0.109061	0.09835	0.0327833	0.140686	0.0874656	0.0389709	0.0192683	0.117835	GSE95752|C1_all_cells|DG10|other_or_ambiguous
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	mouse	dentate_candidate	36	7	29	0	0.522316	0.500398	0.467209	0.555306	0.0178012	0	0	0.0157533	0.504515	0.4839	0.433217	0.555306	0.639252	0.630661	0.540872	0.688775	0.632179	0.593861	0.529676	0.703845	0.348055	0.315654	0.251322	0.39322	0.539828	0.491066	0.463704	0.574061	0.690181	0.677051	0.642857	0.724815	0.501526	0.384064	0.384064	0.496689	0.541811	0.539079	0.440241	0.597373	0.500796	0.458098	0.421298	0.550369	GSE95752|C1_all_cells|DG11|dentate_candidate
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	mouse	dentate_low_support	52	0	0	0	0.233128	0.22397	0.124656	0.329882	0.00484718	0	0	0	0.228281	0.22397	0.0866434	0.31543	0.491509	0.423465	0.30458	0.546541	0.591557	0.493715	0.353935	0.663795	0.302138	0.281185	0.184839	0.362071	0.461735	0.405363	0.288812	0.492605	0.417879	0.414677	0.316435	0.507599	0.418718	0.384064	0.384064	0.384064	0.407984	0.346287	0.282566	0.445614	0.405733	0.361702	0.26574	0.461246	GSE95752|C1_all_cells|DG11|dentate_low_support
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	mouse	other_or_ambiguous	33	0	0	0	0	0	0	0	0.069672	0	0	0.126027	-0.069672	0	-0.126027	0	0.0887462	0.053319	0	0.106638	0.237487	0.207076	0.091551	0.311472	0.108009	0.0924196	0.0462098	0.138629	0.144747	0.108842	0.0725731	0.188082	0.112896	0.112896	0.112896	0.112896	0.646265	0.384064	0.384064	0.952453	0.121383	0.09835	0.0327833	0.168693	0.12787	0.0937907	0.0445072	0.194095	GSE95752|C1_all_cells|DG11|other_or_ambiguous
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	mouse	dentate_candidate	35	17	18	0	0.597402	0.570544	0.479866	0.681544	0.0129086	0	0	0	0.584493	0.570544	0.46634	0.681544	0.754602	0.750562	0.626469	0.87311	0.714542	0.723276	0.574795	0.83282	0.40248	0.377531	0.230524	0.540626	0.623874	0.616962	0.530388	0.71778	0.752087	0.740122	0.654038	0.833044	0.466267	0.384064	0.384064	0.384064	0.65125	0.657186	0.533	0.773339	0.589231	0.597047	0.506514	0.687798	GSE95752|C1_all_cells|DG12|dentate_candidate
