dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	7	1.58061	0.34109	1.23952	1.40636	0.493766	0.114754
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	32	0.976085	0.141206	0.834879	1.64313	0.627182	0.52459
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	5	1.71914	0.179438	1.5397	1.82675	0.745636	0.119048
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	8	1.76416	0.141791	1.62237	1.22596	0.427681	0.190476
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	27	0.926036	0.118678	0.807359	0.919812	0.23192	0.642857
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	2	0.116987	0.41356	-0.296573	1.07589	0.315461	0.047619
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	15	2.04188	0.136415	1.90547	1.98216	0.815461	0.46875
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	3	1.53067	0	1.53067	1.18866	0.433915	0.09375
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	13	0.947087	0.114631	0.832456	1.41181	0.59601	0.40625
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	1	0.0152772	0.14429	-0.129013	1.12814	0.346633	0.03125
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	9	2.00459	0.208039	1.79655	1.87679	0.76808	0.204545
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	9	1.61628	0.191173	1.42511	1.33591	0.483791	0.204545
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	24	0.792548	0.143668	0.648881	1.06218	0.238155	0.545455
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	2	0.088034	0.150675	-0.0626415	1.24328	0.417706	0.0454545
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	19	1.80992	0.260801	1.54911	1.98894	0.802993	0.431818
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	5	1.78008	0.155187	1.62489	1.40208	0.506234	0.113636
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	20	0.977926	0.187743	0.790183	1.56869	0.61596	0.454545
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	4	1.72485	0.0868986	1.63795	1.84835	0.690773	0.0655738
