analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id	core_branch	core_role	primary_reason	current_use	caveat	eligible_for_primary_stats
human_projected_dentate_candidate	0.65605	0.737825	0.404968	0.89113	0.983739	0.602411	0.288745	1.7415	dentate_candidate	0.0749627	0.0571372	0	0.122108	0.522077	0.537409	0.225137	0.715785	GSE268609	0.377674	0.353328	0.315668	0.419658	0.892351	0.885949	0.84854	0.938869	0.370273	0.338047	0.179745	0.612454	human_dg_like_high_confidence	0.458685	0.445083	0.397855	0.516364	61	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	19	SA	0.672974	0.717413	0.510519	0.786994	0.626585	0.655109	0.421077	0.787409	gse268609_hippocampus_rna	human	0.595903	0.628944	0.459105	0.71121	0.564011	0.56615	0.419708	0.709854	gse268609_hippocampus_rna|GSE268609|19|human_dg_like_high_confidence|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_immature_neurogenic_candidate	0.804352	0.870833	0.712322	0.982505	0.605313	0.338252	0.269251	0.683484	dentate_candidate	0.055595	0.0435415	0	0.0940623	0.46291	0.491104	0.225137	0.635265	GSE268609	0.368844	0.343708	0.290652	0.42884	0.879527	0.881615	0.817176	0.944685	0.416617	0.418796	0.251369	0.63401	immature_neurogenic_candidate	0.521054	0.51338	0.423684	0.608098	422	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	19	SA	0.752442	0.769953	0.679376	0.861027	0.72362	0.75479	0.592039	0.908075	gse268609_hippocampus_rna	human	0.692616	0.725015	0.647571	0.78503	0.70169	0.738367	0.588276	0.862112	gse268609_hippocampus_rna|GSE268609|19|immature_neurogenic_candidate|human_projected_immature_neurogenic_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_other_or_ambiguous	0.249734	0.193852	0.113106	0.293962	1.7617	1.99609	1.26445	2.35414	other_or_ambiguous	0.0832096	0	0	0.151557	0.508081	0.225137	0.225137	0.819799	GSE268609	0.0317241	0	0	0	0.27457	0.198905	0.198905	0.198905	-0.233512	-0.0262318	-0.575046	-0.0262318	hippocampal_neuronal_ambiguous	0.419057	0.416029	0.309141	0.524478	631	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	19	SA	0.414891	0.377739	0.332829	0.438641	0.240891	0.19708	0.09375	0.332573	gse268609_hippocampus_rna	human	0.361227	0.33935	0.292631	0.379961	0.23316	0.198905	0.102418	0.295849	gse268609_hippocampus_rna|GSE268609|19|hippocampal_neuronal_ambiguous|human_other_or_ambiguous	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_broad_neuronal_structural_warning	0.843141	0.881303	0.645518	1.05978	0.680568	0.39388	0.229897	1.08722	broad_neuronal_structural_warning	0.0457828	0	0	0.0846617	0.454969	0.260456	0.260456	0.658881	GSE268609	0.0729285	0.0692836	0	0.141281	0.402486	0.432917	0.203694	0.575774	-0.0524835	-0.0567626	-0.176534	0.187941	broad_neuronal_structural_warning	0.50224	0.506607	0.416737	0.599409	1669	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	2	AD	0.692737	0.703981	0.585166	0.798296	0.669132	0.674905	0.508963	0.839218	gse268609_hippocampus_rna	human	0.679373	0.693368	0.578743	0.774452	0.662228	0.657251	0.502173	0.826996	gse268609_hippocampus_rna|GSE268609|2|broad_neuronal_structural_warning|human_broad_neuronal_structural_warning	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.668243	0.625289	0.354916	1.01295	1.19099	1.34435	0.473257	1.77665	dentate_candidate	0.0905629	0.077424	0	0.14935	0.589434	0.637425	0.260456	0.856192	GSE268609	0.299272	0.281038	0.255207	0.326073	0.852415	0.838946	0.803775	0.895573	0.262981	0.200435	0.0283813	0.541689	human_dg_like_candidate	0.500024	0.51648	0.411881	0.58325	519	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	2	AD	0.55001	0.489883	0.369794	0.724995	0.439737	0.402227	0.153857	0.713471	gse268609_hippocampus_rna	human	0.572759	0.552031	0.422037	0.742729	0.489486	0.468224	0.249321	0.752444	gse268609_hippocampus_rna|GSE268609|2|human_dg_like_candidate|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.613999	0.531395	0.349526	0.944973	1.34059	1.46711	1.00148	1.87694	dentate_candidate	0.124191	0.117156	0	0.181285	0.680214	0.762086	0.260456	0.909832	GSE268609	0.423508	0.403978	0.384893	0.437337	0.964157	0.961706	0.95057	0.978544	0.283942	0.1912	0.0358501	0.680337	human_dg_like_high_confidence	0.5001	0.534204	0.416699	0.577254	41	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	2	AD	0.567475	0.54987	0.444672	0.66543	0.492627	0.471211	0.328083	0.608365	gse268609_hippocampus_rna	human	0.560525	0.528374	0.459171	0.669599	0.473497	0.442423	0.329712	0.620043	gse268609_hippocampus_rna|GSE268609|2|human_dg_like_high_confidence|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_immature_neurogenic_candidate	0.931964	0.990227	0.824351	1.11969	0.672197	0.43317	0.267142	1.04627	dentate_candidate	0.0587714	0.0364219	0	0.0980929	0.503826	0.535578	0.260456	0.705323	GSE268609	0.376434	0.356346	0.324417	0.41304	0.92961	0.928843	0.893536	0.967409	0.425783	0.398696	0.207224	0.665128	immature_neurogenic_candidate	0.495808	0.507476	0.422147	0.576386	293	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	2	AD	0.705468	0.729003	0.619139	0.805667	0.686163	0.72189	0.548072	0.851439	gse268609_hippocampus_rna	human	0.71108	0.746427	0.653856	0.792545	0.713631	0.760999	0.597501	0.86176	gse268609_hippocampus_rna|GSE268609|2|immature_neurogenic_candidate|human_projected_immature_neurogenic_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_other_or_ambiguous	0.328348	0.27319	0.1655	0.415804	1.54633	1.65895	1.25658	1.97083	other_or_ambiguous	0.070662	0	0	0.133695	0.51787	0.260456	0.260456	0.813145	GSE268609	0.0599394	0	0	0.142581	0.358139	0.203694	0.203694	0.578694	-0.159731	-0.0567626	-0.480378	-0.0567626	hippocampal_neuronal_ambiguous	0.474015	0.483557	0.372293	0.584758	1160	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	2	AD	0.418381	0.389913	0.347971	0.439605	0.237286	0.203829	0.100964	0.320817	gse268609_hippocampus_rna	human	0.406915	0.394324	0.348331	0.438637	0.2187	0.185633	0.0951928	0.285511	gse268609_hippocampus_rna|GSE268609|2|hippocampal_neuronal_ambiguous|human_other_or_ambiguous	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_broad_neuronal_structural_warning	0.719292	0.742364	0.546737	0.910425	0.61534	0.360375	0.225256	0.832267	broad_neuronal_structural_warning	0.0483751	0	0	0.0928497	0.467771	0.278802	0.278802	0.71467	GSE268609	0	0	0	0	0.196237	0.196237	0.196237	0.196237	-0.271534	-0.0825653	-0.518433	-0.0825653	broad_neuronal_structural_warning	0.559858	0.569194	0.430868	0.683743	402	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	20	SA	0.697753	0.701271	0.593957	0.809172	0.465111	0.433948	0.281298	0.625	gse268609_hippocampus_rna	human	0.658968	0.668877	0.544638	0.756185	0.49713	0.461982	0.274194	0.683372	gse268609_hippocampus_rna|GSE268609|20|broad_neuronal_structural_warning|human_broad_neuronal_structural_warning	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.782465	0.837101	0.591073	1.00545	0.603919	0.320391	0.195337	0.720936	dentate_candidate	0.0502454	0	0	0.093404	0.480662	0.278802	0.278802	0.715822	GSE268609	0.143018	0.128379	0.101267	0.16522	0.528285	0.508449	0.450461	0.566436	0.0476228	0.151306	-0.206605	0.249232	human_dg_like_candidate	0.550757	0.561936	0.44937	0.655782	303	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	20	SA	0.705659	0.746803	0.610557	0.857732	0.493736	0.513057	0.295315	0.715822	gse268609_hippocampus_rna	human	0.679627	0.726692	0.581216	0.811189	0.554297	0.604455	0.308372	0.812212	gse268609_hippocampus_rna|GSE268609|20|human_dg_like_candidate|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.375215	0.328323	0.17141	0.437165	1.53192	1.68186	1.25185	2.02604	dentate_candidate	0.0800324	0.0307661	0	0.139371	0.559702	0.453917	0.278802	0.838902	GSE268609	0.409648	0.390128	0.366368	0.433697	0.864714	0.856759	0.838134	0.890937	0.305012	0.358679	0.0405146	0.567588	human_dg_like_high_confidence	0.58998	0.592981	0.470428	0.666673	28	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	20	SA	0.475843	0.417146	0.381404	0.493212	0.2246	0.160522	0.129224	0.213326	gse268609_hippocampus_rna	human	0.480346	0.455777	0.377433	0.539595	0.22523	0.189708	0.102343	0.264401	gse268609_hippocampus_rna|GSE268609|20|human_dg_like_high_confidence|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_immature_neurogenic_candidate	0.783831	0.84366	0.692186	0.938626	0.546639	0.356842	0.252009	0.56158	dentate_candidate	0.0635667	0.0439586	0	0.113223	0.533116	0.578341	0.278802	0.764209	GSE268609	0.357936	0.314925	0.228912	0.465279	0.796393	0.796467	0.694316	0.907834	0.263277	0.319508	0.0215054	0.477727	immature_neurogenic_candidate	0.505561	0.50476	0.377468	0.626172	461	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	20	SA	0.823751	0.856027	0.708076	0.966948	0.649173	0.711214	0.447773	0.880952	gse268609_hippocampus_rna	human	0.704381	0.723079	0.635179	0.80374	0.583951	0.593702	0.391705	0.793395	gse268609_hippocampus_rna|GSE268609|20|immature_neurogenic_candidate|human_projected_immature_neurogenic_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_other_or_ambiguous	0.192655	0.171546	0.107188	0.260176	1.67398	1.79766	1.31611	2.12251	other_or_ambiguous	0.0705735	0	0	0.149014	0.522014	0.278802	0.278802	0.862519	GSE268609	0	0	0	0	0.196237	0.196237	0.196237	0.196237	-0.325777	-0.0825653	-0.666283	-0.0825653	hippocampal_neuronal_ambiguous	0.482887	0.468423	0.364043	0.592689	108	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	20	SA	0.350874	0.318064	0.301595	0.380077	0.0867184	0.0645161	0.0328341	0.127496	gse268609_hippocampus_rna	human	0.342139	0.336472	0.30165	0.374003	0.0758662	0.062596	0.031106	0.0985023	gse268609_hippocampus_rna|GSE268609|20|hippocampal_neuronal_ambiguous|human_other_or_ambiguous	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_broad_neuronal_structural_warning	0.539278	0.503418	0.231553	0.832056	1.37818	1.56919	0.45061	2.18694	broad_neuronal_structural_warning	0.0546084	0	0	0.102288	0.487003	0.277565	0.277565	0.70427	GSE268609	0.0440631	0	0	0.0984088	0.303193	0.196941	0.196941	0.438815	-0.18381	-0.0806246	-0.377948	-0.0806246	broad_neuronal_structural_warning	0.580908	0.571992	0.479324	0.68257	439	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	21	MCI	0.654167	0.642545	0.523046	0.756726	0.682146	0.687062	0.533142	0.831421	gse268609_hippocampus_rna	human	0.591451	0.572421	0.472945	0.698889	0.685105	0.678776	0.529955	0.850223	gse268609_hippocampus_rna|GSE268609|21|broad_neuronal_structural_warning|human_broad_neuronal_structural_warning	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.369995	0.292788	0.144866	0.51043	1.70848	1.95546	1.14969	2.30927	dentate_candidate	0.0858329	0.0687687	0	0.14504	0.5666	0.62014	0.277565	0.828235	GSE268609	0.261046	0.236203	0.208252	0.294989	0.741822	0.719567	0.659975	0.813576	0.175222	0.152964	-0.0570427	0.413639	human_dg_like_candidate	0.538125	0.548742	0.430341	0.660565	375	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	21	MCI	0.510158	0.449337	0.382286	0.60065	0.410647	0.371574	0.148821	0.640535	gse268609_hippocampus_rna	human	0.47276	0.443888	0.372456	0.553025	0.456505	0.446781	0.22594	0.659656	gse268609_hippocampus_rna|GSE268609|21|human_dg_like_candidate|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.374063	0.331172	0.170378	0.533874	1.64968	1.81793	1.25441	2.11211	dentate_candidate	0.107753	0.123257	0.0322226	0.144222	0.670491	0.76195	0.503426	0.825366	GSE268609	0.387746	0.364489	0.347062	0.404698	0.917012	0.905035	0.887508	0.945507	0.246521	0.179414	0.0745698	0.378983	human_dg_like_high_confidence	0.557026	0.559079	0.47669	0.666608	24	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	21	MCI	0.578771	0.510524	0.458287	0.707372	0.572737	0.506055	0.39675	0.763225	gse268609_hippocampus_rna	human	0.503287	0.475851	0.409943	0.584238	0.528203	0.54079	0.344965	0.693435	gse268609_hippocampus_rna|GSE268609|21|human_dg_like_high_confidence|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_immature_neurogenic_candidate	0.676714	0.734805	0.475895	0.874791	0.997158	0.598817	0.357936	1.72272	dentate_candidate	0.0539083	0	0	0.0981321	0.494283	0.277565	0.277565	0.694073	GSE268609	0.368457	0.347722	0.298471	0.417197	0.883531	0.888464	0.818993	0.952199	0.389247	0.476418	0.170809	0.621734	immature_neurogenic_candidate	0.508475	0.470875	0.389938	0.603808	229	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	21	MCI	0.70261	0.736685	0.611566	0.810213	0.744514	0.801785	0.650096	0.902486	gse268609_hippocampus_rna	human	0.629266	0.65217	0.562302	0.717766	0.730994	0.781389	0.669216	0.882728	gse268609_hippocampus_rna|GSE268609|21|immature_neurogenic_candidate|human_projected_immature_neurogenic_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_other_or_ambiguous	0.20466	0.168693	0.0954535	0.274883	2.01329	2.19234	1.75899	2.42657	other_or_ambiguous	0.0515151	0	0	0.11035	0.457067	0.277565	0.277565	0.725143	GSE268609	0.0461102	0	0	0.121492	0.297566	0.196941	0.196941	0.471479	-0.159501	-0.0806246	-0.315966	-0.0806246	hippocampal_neuronal_ambiguous	0.498743	0.517657	0.376327	0.621963	502	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	21	MCI	0.438738	0.410163	0.377734	0.467195	0.293438	0.257808	0.135277	0.421128	gse268609_hippocampus_rna	human	0.380714	0.374033	0.326511	0.412058	0.264891	0.230402	0.11058	0.356119	gse268609_hippocampus_rna|GSE268609|21|hippocampal_neuronal_ambiguous|human_other_or_ambiguous	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_broad_neuronal_structural_warning	0.622214	0.646107	0.303251	0.893887	1.05776	0.849835	0.341797	1.77108	broad_neuronal_structural_warning	0.0510597	0	0	0.097295	0.444865	0.243716	0.243716	0.65032	GSE268609	0.0559977	0	0	0.121211	0.333383	0.200099	0.200099	0.472523	-0.111482	-0.0436175	-0.256284	-0.0436175	broad_neuronal_structural_warning	0.568357	0.561702	0.471363	0.66885	670	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	22	MCI	0.697193	0.697079	0.583745	0.792177	0.65828	0.64761	0.49618	0.839699	gse268609_hippocampus_rna	human	0.629255	0.626137	0.507285	0.729763	0.65235	0.628142	0.471784	0.840069	gse268609_hippocampus_rna|GSE268609|22|broad_neuronal_structural_warning|human_broad_neuronal_structural_warning	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.564817	0.58419	0.28136	0.839826	1.20889	1.23301	0.37673	2.01947	dentate_candidate	0.101312	0.0910584	0	0.155287	0.59336	0.632331	0.243716	0.839823	GSE268609	0.311248	0.288852	0.258161	0.344876	0.765824	0.74273	0.700838	0.820601	0.172463	0.125678	-0.0463282	0.443815	human_dg_like_candidate	0.513721	0.501883	0.40704	0.610837	341	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	22	MCI	0.583182	0.571246	0.396751	0.746295	0.473037	0.483982	0.173977	0.738295	gse268609_hippocampus_rna	human	0.553907	0.575202	0.409457	0.6848	0.520195	0.55446	0.260227	0.752095	gse268609_hippocampus_rna|GSE268609|22|human_dg_like_candidate|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.531691	0.43304	0.231204	0.800964	1.23713	1.35963	0.407022	1.94938	dentate_candidate	0.12861	0.128993	0.0500681	0.198021	0.689148	0.746673	0.543741	0.912395	GSE268609	0.483355	0.470368	0.433823	0.500467	0.938409	0.94135	0.913135	0.961065	0.249261	0.203549	0.0358551	0.387383	human_dg_like_high_confidence	0.529859	0.512176	0.438293	0.598304	32	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	22	MCI	0.617902	0.593971	0.530509	0.693939	0.547884	0.503204	0.428536	0.639108	gse268609_hippocampus_rna	human	0.559817	0.599787	0.420818	0.663791	0.528401	0.587728	0.289921	0.697758	gse268609_hippocampus_rna|GSE268609|22|human_dg_like_high_confidence|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_immature_neurogenic_candidate	0.743388	0.802266	0.66349	0.897069	0.68917	0.414666	0.315449	0.842295	dentate_candidate	0.0779303	0.0701045	0	0.121639	0.554376	0.587235	0.243716	0.723632	GSE268609	0.423708	0.404765	0.349639	0.475804	0.886405	0.889478	0.827871	0.944924	0.332029	0.298793	0.153894	0.568137	immature_neurogenic_candidate	0.505513	0.489287	0.420719	0.575517	320	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	22	MCI	0.73003	0.750046	0.670736	0.808992	0.715534	0.745934	0.600049	0.865821	gse268609_hippocampus_rna	human	0.659644	0.682304	0.621122	0.732704	0.707752	0.74002	0.619763	0.848078	gse268609_hippocampus_rna|GSE268609|22|immature_neurogenic_candidate|human_projected_immature_neurogenic_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_other_or_ambiguous	0.226411	0.185522	0.108141	0.286863	1.75662	1.9453	1.3809	2.22712	other_or_ambiguous	0.066036	0	0	0.140133	0.473201	0.243716	0.243716	0.788319	GSE268609	0.0605406	0	0	0.164426	0.325539	0.200099	0.200099	0.538566	-0.147661	-0.0436175	-0.415476	-0.0436175	hippocampal_neuronal_ambiguous	0.507149	0.510623	0.380517	0.639846	666	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	22	MCI	0.442822	0.414375	0.37277	0.469568	0.249465	0.215623	0.110522	0.335264	gse268609_hippocampus_rna	human	0.392127	0.38308	0.331047	0.42835	0.235961	0.201331	0.095244	0.310867	gse268609_hippocampus_rna|GSE268609|22|hippocampal_neuronal_ambiguous|human_other_or_ambiguous	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_broad_neuronal_structural_warning	0.750694	0.826887	0.57288	0.958897	0.723979	0.392916	0.23958	1.0049	broad_neuronal_structural_warning	0.050218	0	0	0.089105	0.512542	0.279713	0.279713	0.73224	GSE268609	0.0101427	0	0	0	0.29647	0.233948	0.233948	0.233948	-0.216072	-0.045765	-0.452186	-0.045765	broad_neuronal_structural_warning	0.597316	0.599708	0.499385	0.701363	487	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	23	HA	0.728292	0.736607	0.655087	0.795463	0.690894	0.706284	0.543374	0.853142	gse268609_hippocampus_rna	human	0.692101	0.712335	0.607911	0.778895	0.660505	0.663934	0.496926	0.831967	gse268609_hippocampus_rna|GSE268609|23|broad_neuronal_structural_warning|human_broad_neuronal_structural_warning	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
human_projected_dentate_candidate	0.509175	0.354018	0.189705	0.858347	1.36166	1.56797	0.49955	2.0687	dentate_candidate	0.0647512	0	0	0.117888	0.513824	0.279713	0.279713	0.795765	GSE268609	0.218766	0.194672	0.155357	0.246747	0.78686	0.773907	0.705943	0.855533	0.273036	0.39515	-0.0204918	0.506831	human_dg_like_candidate	0.55218	0.558672	0.440633	0.663541	399	snRNA_multiome_RNA_selected_bridge	hippocampus_dentate_gyrus	23	HA	0.560102	0.508601	0.412729	0.681817	0.393458	0.33265	0.134221	0.596311	gse268609_hippocampus_rna	human	0.540486	0.489466	0.394635	0.696698	0.426271	0.379781	0.192281	0.634563	gse268609_hippocampus_rna|GSE268609|23|human_dg_like_candidate|human_projected_dentate_candidate	human_dentate_hippocampus	broader human hippocampal aging/AD RNA expansion	Large human hippocampal RNA branch across YA/aging/MCI/AD broadens human context.	Adds projected human hippocampal/dentate signal and diagnosis-aware module tests.	Labels are projected, not source taxonomy; ATAC/full RDS deferred.	True
