analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id	core_branch	core_role	primary_reason	current_use	caveat	eligible_for_primary_stats
backbone_dentate_low_support		1.91269							dentate_low_support		0				0.374263			GSE292261		1.85893				0.367387			-0.006876	-0.006876			DG_P5		5.19817			45	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.56432				0.734774			backbone_refined	mouse		3.55348				0.882122			backbone_refined|GSE292261|SS2_filtered_counts|DG_P5|backbone_dentate_low_support	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_dentate_low_support		1.48767							dentate_low_support		0				0.374263			GSE292261		1.8875				0.373281			-0.000982	-0.000982			DG_P7		4.17671			38	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.12411				0.452848			backbone_refined	mouse		2.89736				0.611984			backbone_refined|GSE292261|SS2_filtered_counts|DG_P7|backbone_dentate_low_support	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_other_or_ambiguous		0.825414							other_or_ambiguous		0				0.374263			GSE292261		0				0.00392927			-0.370334	-0.370334			DG_P28		1.23611			4	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		2.23966				0.131631			backbone_refined	mouse		1.41618				0.0952848			backbone_refined|GSE292261|SS2_filtered_counts|DG_P28|backbone_other_or_ambiguous	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	False
backbone_dentate_candidate		0.298489							dentate_candidate		0				0.384064			GSE95752		0.539686				0.713851			0.329787	0.329787			DC12		0.622756			15	C1	dentate_gyrus	C1_all_cells	dentate_gyrus		0.649088				0.558836			backbone_refined	mouse		0.494023				0.463743			backbone_refined|GSE95752|C1_all_cells|DC12|backbone_dentate_candidate	mouse_dentate	mouse dentate maturation validation	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.	False
backbone_dentate_candidate		0.524286							dentate_candidate		0				0.384064			GSE95752		0.518876				0.691055			0.306991	0.306991			DG03		0.786917			20	C1	dentate_gyrus	C1_all_cells	dentate_gyrus		0.920372				0.811767			backbone_refined	mouse		0.773544				0.732522			backbone_refined|GSE95752|C1_all_cells|DG03|backbone_dentate_candidate	mouse_dentate	mouse dentate maturation validation	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.	True
backbone_dentate_candidate		0.450772							dentate_candidate		0				0.384064			GSE95752		0.676456				0.828485			0.444421	0.444421			DG04		0.782073			39	C1	dentate_gyrus	C1_all_cells	dentate_gyrus		0.811986				0.717325			backbone_refined	mouse		0.691711				0.663048			backbone_refined|GSE95752|C1_all_cells|DG04|backbone_dentate_candidate	mouse_dentate	mouse dentate maturation validation	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.	True
backbone_dentate_candidate		0.480227							dentate_candidate		0				0.384064			GSE95752		0.678668				0.829787			0.445723	0.445723			DG05		0.891117			81	C1	dentate_gyrus	C1_all_cells	dentate_gyrus		0.875888				0.777247			backbone_refined	mouse		0.777068				0.736431			backbone_refined|GSE95752|C1_all_cells|DG05|backbone_dentate_candidate	mouse_dentate	mouse dentate maturation validation	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.	True
backbone_dentate_candidate		0.463873							dentate_candidate		0				0.384064			GSE95752		0.628201				0.789731			0.405667	0.405667			DG06		0.790651			20	C1	dentate_gyrus	C1_all_cells	dentate_gyrus		0.777461				0.684542			backbone_refined	mouse		0.689787				0.661528			backbone_refined|GSE95752|C1_all_cells|DG06|backbone_dentate_candidate	mouse_dentate	mouse dentate maturation validation	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.	True
backbone_dentate_candidate		0.510148							dentate_candidate		0				0.384064			GSE95752		0.56651				0.736431			0.352367	0.352367			DG07		0.847476			62	C1	dentate_gyrus	C1_all_cells	dentate_gyrus		0.851893				0.757056			backbone_refined	mouse		0.773074				0.732306			backbone_refined|GSE95752|C1_all_cells|DG07|backbone_dentate_candidate	mouse_dentate	mouse dentate maturation validation	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.	True
backbone_dentate_candidate		0.440243							dentate_candidate		0				0.384064			GSE95752		0.601486				0.764655			0.380591	0.380591			DG08		0.726151			60	C1	dentate_gyrus	C1_all_cells	dentate_gyrus		0.754122				0.661528			backbone_refined	mouse		0.646853				0.6231			backbone_refined|GSE95752|C1_all_cells|DG08|backbone_dentate_candidate	mouse_dentate	mouse dentate maturation validation	Independent dentate single-cell maturation resource with many dentate candidate units.	Validates dentate granule maturation and structural-program behavior.	Older C1 platform; use as validation, not sole discovery backbone.	True
