architecture	replicate	seed	n_inputs	n_outputs	expansion_ratio	input_degree	output_active_fraction_parameter	observed_output_active_fraction	median_input_hamming_distance	median_output_hamming_distance	median_input_jaccard_distance	median_output_jaccard_distance	separation_gain	near_pair_input_jaccard_distance	near_pair_output_jaccard_distance	near_pair_separation_gain	distance_spearman_correlation	collapse_rate	output_entropy_bits	active_fraction_penalty	information_retention_score	useful_pattern_separation_score	relative_wiring_cost	relative_active_output_load	relative_wiring_activity_cost	resource_adjusted_useful_score
intermediate	1	20574	64	128	2.0	16	0.1	0.1015625	0.296875	0.1875	0.9	0.96	1.0666666654814814	0.8	0.9166666666666666	1.1458333319010416	0.48806906189014626	0.0	0.459362931218517	0.7016464119913641	0.22420083490692938	0.18025071072854779	32.0	0.203125	3.25	0.05546175713018032
intermediate	2	30574	64	128	2.0	16	0.1	0.1015625	0.28125	0.1875	0.9130434782608695	0.96	1.0514285702770068	0.8181818181818182	0.9166666666666666	1.1203703690010287	0.4697619084798614	0.0	0.4633656887989641	0.7016464119913641	0.21767155029428692	0.1711124436153689	32.0	0.203125	3.25	0.05264998263468274
intermediate	3	40574	64	128	2.0	16	0.1	0.1015625	0.296875	0.1875	0.8947368421052632	0.96	1.0729411752714186	0.8	0.9166666666666666	1.1458333319010416	0.4790526335170651	0.0	0.45610769784956046	0.7016464119913641	0.21849959382223774	0.17566708481128895	32.0	0.203125	3.25	0.054051410694534625
intermediate	1	20674	64	128	2.0	16	0.2	0.203125	0.296875	0.3125	0.9	0.8695652173913043	0.9661835738056898	0.8	0.8181818181818182	1.0227272714488638	0.5806430460921334	0.0	0.7023733658023023	0.4961389371355688	0.40782821061343305	0.20693807866505992	32.0	0.40625	6.5	0.03183662748203435
intermediate	2	30674	64	128	2.0	16	0.2	0.203125	0.28125	0.328125	0.9047619047619048	0.8936170212765957	0.9876819697930099	0.8095238095238095	0.8181818181818182	1.0106951859172697	0.5728773506335655	0.0	0.7080292353032003	0.4961389371355688	0.4056139124916067	0.20339316379397016	32.0	0.40625	6.5	0.03129125596348906
intermediate	3	40674	64	128	2.0	16	0.2	0.203125	0.296875	0.328125	0.9	0.8936170212765957	0.9929078003152088	0.8	0.8181818181818182	1.0227272714488638	0.5729904561216297	0.0	0.70645403575057	0.4961389371355688	0.4047914201736852	0.2053971661863361	32.0	0.40625	6.5	0.03159956402380562
excessively_sparse	1	20756	64	128	2.0	32	0.01	0.0078125	0.296875	0.015625	0.9	1.0	1.1111111098765432	0.8095238095238095	1.0	1.2352941161211073	0.09825178232443739	0.013014763014763014	0.05728846985730824	0.3952847328192679	0.005555438148112171	0.002712681029912585	64.0	0.015625	0.5	0.0054253620489744464
excessively_sparse	2	30756	64	128	2.0	32	0.01	0.0078125	0.296875	0.015625	0.9	1.0	1.1111111098765432	0.8076923076923077	1.0	1.2380952365623583	0.06841647914025877	0.009518259518259518	0.059095266949814415	0.3952847328192679	0.004004606917746202	0.001959855205369464	64.0	0.015625	0.5	0.003919710402899507
excessively_sparse	3	40756	64	128	2.0	32	0.01	0.0078125	0.296875	0.015625	0.9047619047619048	1.0	1.1052631566731301	0.8095238095238095	1.0	1.2352941161211073	0.1273983210165174	0.012432012432012432	0.05779412439224106	0.3952847328192679	0.0072713390659635575	0.0035505432731717944	64.0	0.015625	0.5	0.007101086532141416
intermediate	1	20776	64	128	2.0	32	0.03	0.03125	0.296875	0.0625	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984374999	0.2524182687902812	0.0	0.1901920932915922	0.7905694276912053	0.048007958926263354	0.0474420307068961	64.0	0.0625	2.0	0.02372101534158754
intermediate	2	30776	64	128	2.0	32	0.03	0.03125	0.296875	0.0625	0.9	1.0	1.1111111098765432	0.8095238095238095	1.0	1.2352941161211073	0.24350149781481678	0.0	0.18838235006089193	0.7905694276912053	0.045871384401702325	0.044797340908838516	64.0	0.0625	2.0	0.02239867044321992
intermediate	3	40776	64	128	2.0	32	0.03	0.03125	0.28125	0.0625	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984374999	0.2796351698451005	0.0	0.187626244155776	0.7905694276912053	0.05246689665189872	0.05184840550872097	64.0	0.0625	2.0	0.02592420274139838
intermediate	1	20796	64	128	2.0	32	0.05	0.046875	0.296875	0.09375	0.9047619047619048	1.0	1.1052631566731301	0.8148148148148148	1.0	1.227272725766529	0.31599531804924635	0.0	0.2638992205925278	0.9682458468798097	0.08339091814408404	0.09909357143900316	64.0	0.09375	3.0	0.03303119046865732
intermediate	2	30796	64	128	2.0	32	0.05	0.046875	0.28125	0.09375	0.9047619047619048	1.0	1.1052631566731301	0.8076923076923077	1.0	1.2380952365623583	0.3137546822800903	0.0	0.2589412280333806	0.9682458468798097	0.08124402273082974	0.0973937559468603	64.0	0.09375	3.0	0.03246458530479857
intermediate	3	40796	64	128	2.0	32	0.05	0.046875	0.296875	0.09375	0.9047619047619048	1.0	1.1052631566731301	0.8076923076923077	1.0	1.2380952365623583	0.31569993823073245	0.0	0.26116329970885765	0.9682458468798097	0.08244923758622062	0.09883854409919444	64.0	0.09375	3.0	0.03294618135541608
intermediate	1	20846	64	128	2.0	32	0.1	0.1015625	0.328125	0.1875	0.8823529411764706	0.96	1.0879999987669333	0.782608695652174	0.9166666666666666	1.17129629479964	0.4527423954332358	0.0	0.4579278088699601	0.7016464119913641	0.2073233331232787	0.17038574617318222	64.0	0.203125	6.5	0.026213191714918312
intermediate	2	30846	64	128	2.0	32	0.1	0.1015625	0.296875	0.1875	0.9	0.96	1.0666666654814814	0.8095238095238095	0.9166666666666666	1.1323529397776817	0.462778615699784	0.0	0.45969387571593245	0.7016464119913641	0.21273649544948778	0.16902156600216117	64.0	0.203125	6.5	0.026003317842485822
intermediate	3	40846	64	128	2.0	32	0.1	0.1015625	0.296875	0.1875	0.8947368421052632	0.96	1.0729411752714186	0.8	0.9166666666666666	1.1458333319010416	0.43581368608384496	0.0	0.4552120487945054	0.7016464119913641	0.19838764093491248	0.1594976811443296	64.0	0.203125	6.5	0.02453810478766023
intermediate	1	20946	64	128	2.0	32	0.2	0.203125	0.28125	0.328125	0.9047619047619048	0.8936170212765957	0.9876819697930099	0.8095238095238095	0.8181818181818182	1.0106951859172697	0.5633796116654604	0.0	0.7058320808970489	0.4961389371355688	0.3976514036368032	0.19940040166762296	64.0	0.40625	13.0	0.015338492434791113
intermediate	2	30946	64	128	2.0	32	0.2	0.203125	0.296875	0.328125	0.9	0.8936170212765957	0.9929078003152088	0.8	0.8181818181818182	1.0227272714488638	0.5724747267553862	0.0	0.7098614441419742	0.4961389371355688	0.4063777362693605	0.2062020864847646	64.0	0.40625	13.0	0.015861698959146377
intermediate	3	40946	64	128	2.0	32	0.2	0.203125	0.296875	0.328125	0.9047619047619048	0.8936170212765957	0.9876819697930099	0.8095238095238095	0.8181818181818182	1.0106951859172697	0.594827042422495	0.0	0.7111493228797974	0.4961389371355688	0.4230108484493498	0.21211677443895674	64.0	0.40625	13.0	0.016316674955587696
excessively_sparse	1	20448	64	256	4.0	2	0.01	0.01171875	0.296875	0.0234375	0.9	1.0	1.1111111098765432	0.8095238095238095	1.0	1.2352941161211073	0.28434412373654977	0.00019425019425019425	0.08087142525601745	0.48412293893183783	0.022990847705430032	0.013749313627334898	8.0	0.046875	0.09375	0.14665934379387258
excessively_sparse	2	30448	64	256	4.0	2	0.01	0.01171875	0.3125	0.0234375	0.8947368421052632	1.0	1.1176470575743944	0.7916666666666666	1.0	1.2631578931412744	0.2752111375666113	9.712509712509713e-05	0.0812118159307457	0.48412293893183783	0.022348225461744576	0.013666469781201654	8.0	0.046875	0.09375	0.14577567611121042
excessively_sparse	3	40448	64	256	4.0	2	0.01	0.01171875	0.3125	0.0234375	0.8947368421052632	1.0	1.1176470575743944	0.8	1.0	1.2499999984374999	0.24626480345979188	0.0	0.0819938196757724	0.48412293893183783	0.02019219188737171	0.012219379084713282	8.0	0.046875	0.09375	0.13034004217998124
granule_like_sparse_expansion	1	20468	64	256	4.0	2	0.03	0.03125	0.296875	0.0625	0.9047619047619048	1.0	1.1052631566731301	0.8095238095238095	0.9333333333333333	1.1529411750463667	0.4507984519120979	0.0	0.18592047904297762	0.7905694276912053	0.08381266413132996	0.07639357086712456	8.0	0.125	0.25	0.3055742822462011
granule_like_sparse_expansion	2	30468	64	256	4.0	2	0.03	0.03125	0.296875	0.0625	0.9	1.0	1.1111111098765432	0.8	0.9333333333333333	1.1666666652083333	0.4368313612336215	0.0	0.1865131404835862	0.7905694276912053	0.08147478904540263	0.07514672347743317	8.0	0.125	0.25	0.3005868927073851
granule_like_sparse_expansion	3	40468	64	256	4.0	2	0.03	0.03125	0.28125	0.0625	0.9090909090909091	1.0	1.09999999879	0.8181818181818182	0.9333333333333333	1.140740739346502	0.43630310148531853	0.0	0.1886890201613468	0.7905694276912053	0.08232560471262142	0.07424409142856378	8.0	0.125	0.25	0.2969763645263496
granule_like_sparse_expansion	1	20488	64	256	4.0	2	0.05	0.05078125	0.28125	0.09375	0.9047619047619048	0.96	1.061052630406205	0.8	0.96	1.1999999984999998	0.49259830045060143	0.0	0.2722792752858256	0.9922778669435472	0.13412430825371913	0.15970629879950218	8.0	0.203125	0.40625	0.39312319607724056
granule_like_sparse_expansion	2	30488	64	256	4.0	2	0.05	0.05078125	0.296875	0.1015625	0.9047619047619048	1.0	1.1052631566731301	0.8095238095238095	0.96	1.1858823514762629	0.49512753329395665	0.0	0.27506112613995093	0.9922778669435472	0.13619033689073176	0.16025854832458	8.0	0.203125	0.40625	0.3944825795202398
granule_like_sparse_expansion	3	40488	64	256	4.0	2	0.05	0.05078125	0.28125	0.09375	0.9047619047619048	0.96	1.061052630406205	0.8125	0.96	1.1815384600842604	0.4749351603794913	0.0	0.270906079046999	0.9922778669435472	0.1286628220999656	0.15084615346549315	8.0	0.203125	0.40625	0.37131360761644194
granule_like_sparse_expansion	1	20538	64	256	4.0	2	0.1	0.1015625	0.296875	0.1796875	0.9	0.9387755102040817	1.0430838990677753	0.8076923076923077	0.8936170212765957	1.1063829773535967	0.5878714258855674	0.0	0.43725015474749923	0.7016464119913641	0.25704687194009734	0.1995428253133596	8.0	0.40625	0.8125	0.24559116931417654
granule_like_sparse_expansion	2	30538	64	256	4.0	2	0.1	0.1015625	0.296875	0.1796875	0.9047619047619048	0.9387755102040817	1.0375939838155916	0.8	0.8936170212765957	1.117021275199468	0.6007819810503122	0.0	0.44292731110801775	0.7016464119913641	0.2661027474287629	0.2085590846884048	8.0	0.40625	0.8125	0.25668810391595903
granule_like_sparse_expansion	3	40538	64	256	4.0	2	0.1	0.1015625	0.28125	0.1796875	0.896551724137931	0.9387755102040817	1.0470957602135613	0.8	0.8936170212765957	1.117021275199468	0.5702720180978517	0.0	0.4401197827431661	0.7016464119913641	0.2509879967097334	0.19671283880889504	8.0	0.40625	0.8125	0.2421081090052762
intermediate	1	20638	64	256	4.0	2	0.2	0.19921875	0.296875	0.3046875	0.9047619047619048	0.8666666666666667	0.9578947357833796	0.8125	0.8	0.9846153834035504	0.7767584335084308	0.0	0.6661534900075967	0.5009794316107594	0.5174403413744749	0.25523886059836376	8.0	0.796875	1.59375	0.1601498732161342
intermediate	2	30638	64	256	4.0	2	0.2	0.19921875	0.3125	0.296875	0.8846153846153846	0.8539325842696629	0.9653150941701324	0.7894736842105263	0.7857142857142857	0.9952380939774603	0.7227292547652279	0.0	0.6478968063204427	0.5009794316107594	0.46825397599674473	0.2334685361117228	8.0	0.796875	1.59375	0.1464900617821068
intermediate	3	40638	64	256	4.0	2	0.2	0.19921875	0.296875	0.3125	0.9090909090909091	0.8791208791208791	0.9670329659692308	0.8125	0.8	0.9846153834035504	0.7837485976992224	0.0	0.6764777911729025	0.5009794316107594	0.5301885202064298	0.2615271809700016	8.0	0.796875	1.59375	0.16409548599586266
excessively_sparse	1	20482	64	256	4.0	4	0.01	0.01171875	0.3125	0.0234375	0.8947368421052632	1.0	1.1176470575743944	0.7931034482758621	1.0	1.2608695636275993	0.2695740673964599	9.712509712509713e-05	0.08263574561396872	0.48412293893183783	0.022274290454732778	0.013596580581527436	16.0	0.046875	0.1875	0.07251509604806582
excessively_sparse	2	30482	64	256	4.0	4	0.01	0.01171875	0.265625	0.0234375	0.9090909090909091	1.0	1.09999999879	0.8125	1.0	1.2307692292544379	0.2395177987023883	9.712509712509713e-05	0.082851897318414	0.48412293893183783	0.01984257666463821	0.011823072638820778	16.0	0.046875	0.1875	0.06305638707074342
excessively_sparse	3	40482	64	256	4.0	4	0.01	0.01171875	0.3125	0.0234375	0.9	1.0	1.1111111098765432	0.8095238095238095	1.0	1.2352941161211073	0.24622154199943438	9.712509712509713e-05	0.08317557116430851	0.48412293893183783	0.020477628303931766	0.01224632242804383	16.0	0.046875	0.1875	0.06531371926789392
granule_like_sparse_expansion	1	20502	64	256	4.0	4	0.03	0.03125	0.296875	0.0625	0.9	1.0	1.1111111098765432	0.8	0.9333333333333333	1.1666666652083333	0.41655763661279316	0.0	0.18806534218931714	0.7905694276912053	0.07834005447115817	0.07225546060966893	16.0	0.125	0.5	0.14451092093031603
granule_like_sparse_expansion	2	30502	64	256	4.0	4	0.03	0.03125	0.28125	0.0625	0.9	1.0	1.1111111098765432	0.8	0.9333333333333333	1.1666666652083333	0.4534954323631087	0.0	0.18591889167299977	0.7905694276912053	0.084313368163717	0.07776483298801953	16.0	0.125	0.5	0.15552966566497975
granule_like_sparse_expansion	3	40502	64	256	4.0	4	0.03	0.03125	0.296875	0.0625	0.9047619047619048	1.0	1.1052631566731301	0.8076923076923077	1.0	1.2380952365623583	0.4162546284852182	0.0	0.18934813718197835	0.7905694276912053	0.07881703849705253	0.0771461364016378	16.0	0.125	0.5	0.15429227249469105
granule_like_sparse_expansion	1	20522	64	256	4.0	4	0.05	0.05078125	0.296875	0.09375	0.9	0.96	1.0666666654814814	0.8	0.9166666666666666	1.1458333319010416	0.5488470132653315	0.0	0.273483292191547	0.9922778669435472	0.1501004880973005	0.17066201163251843	16.0	0.203125	0.8125	0.21004555251996662
granule_like_sparse_expansion	2	30522	64	256	4.0	4	0.05	0.05078125	0.296875	0.1015625	0.9	1.0	1.1111111098765432	0.8	0.96	1.1999999984999998	0.5064885494432875	0.0	0.2768758768798072	0.9922778669435472	0.1402344612566918	0.16698186229659384	16.0	0.203125	0.8125	0.2055161379582495
granule_like_sparse_expansion	3	40522	64	256	4.0	4	0.05	0.05078125	0.296875	0.1015625	0.9	1.0	1.1111111098765432	0.8095238095238095	0.96	1.1858823514762629	0.5232462363849564	0.0	0.27498739510776715	0.9922778669435472	0.14388611954344213	0.16931436670569142	16.0	0.203125	0.8125	0.2083869126120671
granule_like_sparse_expansion	1	20572	64	256	4.0	4	0.1	0.1015625	0.296875	0.1875	0.9090909090909091	0.96	1.0559999988384001	0.8181818181818182	0.9166666666666666	1.1203703690010287	0.6076408731465598	0.0	0.4597369001671626	0.7016464119913641	0.27935493143526746	0.2196019869811487	16.0	0.40625	1.625	0.1351396842129286
granule_like_sparse_expansion	2	30572	64	256	4.0	4	0.1	0.1015625	0.296875	0.1796875	0.9047619047619048	0.9387755102040817	1.0375939838155916	0.8125	0.8936170212765957	1.0998363325252423	0.6534860215246129	0.0	0.4527827614866426	0.7016464119913641	0.2958872054188338	0.22833503693071983	16.0	0.40625	1.625	0.1405138687939729
granule_like_sparse_expansion	3	40572	64	256	4.0	4	0.1	0.1015625	0.296875	0.1796875	0.9	0.9387755102040817	1.0430838990677753	0.7916666666666666	0.8936170212765957	1.1287793938709259	0.6582634459236476	0.0	0.4514690332967032	0.7016464119913641	0.29718556158570586	0.2353721569771638	16.0	0.40625	1.625	0.14484440420450423
intermediate	1	20672	64	256	4.0	4	0.2	0.19921875	0.28125	0.3125	0.9	0.8791208791208791	0.9768009757156424	0.8	0.8275862068965517	1.034482757327586	0.6747886022722807	0.0	0.6873630787220357	0.5009794316107594	0.4638247711444141	0.24037931371495944	16.0	0.796875	3.1875	0.07541311800456355
intermediate	2	30672	64	256	4.0	4	0.2	0.19921875	0.28125	0.3125	0.9047619047619048	0.8791208791208791	0.9716599179544002	0.8125	0.813953488372093	1.001788907532682	0.6967670333228102	0.0	0.6884976923581163	0.5009794316107594	0.47972249455396554	0.24076103277241417	16.0	0.796875	3.1875	0.07553287300294315
intermediate	3	40672	64	256	4.0	4	0.2	0.19921875	0.28125	0.3125	0.9047619047619048	0.8791208791208791	0.9716599179544002	0.8	0.8275862068965517	1.034482757327586	0.6798136005442188	0.0	0.6918562622078339	0.5009794316107594	0.4703332966705727	0.24375238690252143	16.0	0.796875	3.1875	0.07647133704346669
excessively_sparse	1	20550	64	256	4.0	8	0.01	0.01171875	0.296875	0.0234375	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984374999	0.24123778495031653	0.0	0.08305548033962921	0.48412293893183783	0.020036120105116715	0.012124931672444317	32.0	0.046875	0.375	0.032333151040296444
excessively_sparse	2	30550	64	256	4.0	8	0.01	0.01171875	0.3125	0.0234375	0.8888888888888888	1.0	1.124999998734375	0.7916666666666666	1.0	1.2631578931412744	0.25963631736853693	0.0	0.08278619121934266	0.48412293893183783	0.021494301817157637	0.013144275224672871	32.0	0.046875	0.375	0.03505140050565725
excessively_sparse	3	40550	64	256	4.0	8	0.01	0.01171875	0.28125	0.0234375	0.9090909090909091	1.0	1.09999999879	0.8125	1.0	1.2307692292544379	0.20434622643981332	0.0	0.08421589793516862	0.48412293893183783	0.017209200949292174	0.010253992529213425	32.0	0.046875	0.375	0.027343980004985183
granule_like_sparse_expansion	1	20570	64	256	4.0	8	0.03	0.03125	0.3125	0.0625	0.8928571428571429	1.0	1.1199999987456	0.7916666666666666	1.0	1.2631578931412744	0.38352153555296337	0.0	0.18908237857647403	0.7905694276912053	0.07251716417765607	0.07241665630648683	32.0	0.125	1.0	0.07241665623407018
granule_like_sparse_expansion	2	30570	64	256	4.0	8	0.03	0.03125	0.28125	0.0625	0.9090909090909091	1.0	1.09999999879	0.8181818181818182	1.0	1.222222220728395	0.41628157042652086	0.0	0.19127958158993574	0.7905694276912053	0.07962616461478628	0.0769389027144447	32.0	0.125	1.0	0.07693890263750579
granule_like_sparse_expansion	3	40570	64	256	4.0	8	0.03	0.03125	0.28125	0.0625	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984374999	0.38604910237971835	0.0	0.1901354310312969	0.7905694276912053	0.07340161248021301	0.07253633837194662	32.0	0.125	1.0	0.07253633829941028
granule_like_sparse_expansion	1	20590	64	256	4.0	8	0.05	0.05078125	0.28125	0.09375	0.9047619047619048	0.96	1.061052630406205	0.8125	0.96	1.1815384600842604	0.47891492368965416	0.0	0.2754561938087411	0.9922778669435472	0.13192008203775582	0.1546650121259316	32.0	0.203125	1.625	0.09517846894200191
granule_like_sparse_expansion	2	30590	64	256	4.0	8	0.05	0.05078125	0.296875	0.1015625	0.8947368421052632	1.0	1.1176470575743944	0.8	0.96	1.1999999984999998	0.5026910415992029	0.0	0.2762134931566518	0.9922778669435472	0.1388500485786716	0.16533339582771583	32.0	0.203125	1.625	0.10174362813905981
granule_like_sparse_expansion	3	40590	64	256	4.0	8	0.05	0.05078125	0.28125	0.1015625	0.9	1.0	1.1111111098765432	0.8	0.96	1.1999999984999998	0.49811818095302707	0.0	0.2737366777419008	0.9922778669435472	0.1363532159769206	0.16236033375761547	32.0	0.203125	1.625	0.09991405148166241
granule_like_sparse_expansion	1	20640	64	256	4.0	8	0.1	0.1015625	0.296875	0.1875	0.9047619047619048	0.96	1.061052630406205	0.8181818181818182	0.9166666666666666	1.1203703690010287	0.6434708389587827	0.0	0.46038579056323525	0.7016464119913641	0.2962448308984274	0.2328792019669927	32.0	0.40625	3.25	0.07165513904471925
granule_like_sparse_expansion	2	30640	64	256	4.0	8	0.1	0.1015625	0.296875	0.1796875	0.9	0.9387755102040817	1.0430838990677753	0.8	0.8936170212765957	1.117021275199468	0.6341739932010811	0.0	0.4559248919315396	0.7016464119913641	0.28913570931599586	0.22661126000519743	32.0	0.40625	3.25	0.06972654151860642
granule_like_sparse_expansion	3	40640	64	256	4.0	8	0.1	0.1015625	0.28125	0.1796875	0.9090909090909091	0.9387755102040817	1.0326530600885715	0.8125	0.8936170212765957	1.0998363325252423	0.6501980925729514	0.0	0.45670138387060705	0.7016464119913641	0.29694636866809593	0.22915238920282496	32.0	0.40625	3.25	0.07050842742532816
intermediate	1	20740	64	256	4.0	8	0.2	0.19921875	0.265625	0.3125	0.9130434782608695	0.8791208791208791	0.9628466760778451	0.8125	0.8275862068965517	1.0185676380036728	0.7268568067311642	0.0	0.6948903300040352	0.5009794316107594	0.5050857662950979	0.25773589030207034	32.0	0.796875	6.375	0.04042915925672803
intermediate	2	30740	64	256	4.0	8	0.2	0.19921875	0.265625	0.3125	0.9130434782608695	0.8791208791208791	0.9628466760778451	0.8095238095238095	0.8275862068965517	1.0223123719622957	0.7231318391374805	0.0	0.6962219294233787	0.5009794316107594	0.5034602442717729	0.25785092547255134	32.0	0.796875	6.375	0.040447203989349666
intermediate	3	40740	64	256	4.0	8	0.2	0.19921875	0.28125	0.3125	0.9090909090909091	0.8791208791208791	0.9670329659692308	0.8181818181818182	0.8275862068965517	1.0114942516372925	0.6725444410846705	0.0	0.6989948620895484	0.5009794316107594	0.4701051088450717	0.238220035800033	32.0	0.796875	6.375	0.03736784874708473
excessively_sparse	1	20686	64	256	4.0	16	0.01	0.01171875	0.296875	0.0234375	0.9047619047619048	1.0	1.1052631566731301	0.8095238095238095	1.0	1.2352941161211073	0.24464414244039537	9.712509712509713e-05	0.08199515686371572	0.48412293893183783	0.020057686541207768	0.011995182884392101	64.0	0.046875	0.75	0.0159935771578647
excessively_sparse	2	30686	64	256	4.0	16	0.01	0.01171875	0.296875	0.0234375	0.9047619047619048	1.0	1.1052631566731301	0.8076923076923077	1.0	1.2380952365623583	0.2466973282119247	0.00019425019425019425	0.08312048210056944	0.48412293893183783	0.020501617636948504	0.012288470840245896	64.0	0.046875	0.75	0.01638462776514836
excessively_sparse	3	40686	64	256	4.0	16	0.01	0.01171875	0.296875	0.0234375	0.8888888888888888	1.0	1.124999998734375	0.7916666666666666	1.0	1.2631578931412744	0.22680473440882687	0.0002913752913752914	0.08308068747814945	0.48412293893183783	0.01883760284619598	0.011519640809446119	64.0	0.046875	0.75	0.015359521058782131
intermediate	1	20706	64	256	4.0	16	0.03	0.03125	0.296875	0.0625	0.9090909090909091	1.0	1.09999999879	0.8125	1.0	1.2307692292544379	0.3760784904901862	0.0	0.19124439227674656	0.7905694276912053	0.07192290236215187	0.06998159715489877	64.0	0.125	2.0	0.03499079855995398
intermediate	2	30706	64	256	4.0	16	0.03	0.03125	0.28125	0.0625	0.9047619047619048	1.0	1.1052631566731301	0.8	1.0	1.2499999984374999	0.3978890321228124	0.0	0.18795577309578076	0.7905694276912053	0.07478554063897515	0.073903952485785	64.0	0.125	2.0	0.03695197622441651
intermediate	3	40706	64	256	4.0	16	0.03	0.03125	0.3125	0.0625	0.9	1.0	1.1111111098765432	0.7916666666666666	0.9333333333333333	1.178947366931856	0.4082055270674848	0.0	0.1879529083672316	0.7905694276912053	0.07672341602391246	0.07150927311822342	64.0	0.125	2.0	0.03575463654123439
intermediate	1	20726	64	256	4.0	16	0.05	0.05078125	0.28125	0.09375	0.8947368421052632	0.96	1.0729411752714186	0.7894736842105263	0.96	1.2159999984597334	0.4820741964321788	0.0	0.27238713606651066	0.9922778669435472	0.1313108097377257	0.15844092099421556	64.0	0.203125	3.25	0.04875105259860446
