gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
TOR1A	TOR1A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.09287394309717814	0.2583117316756482	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.09287394309717814	cerebellar_biased	51629393	TOR1A	Tor1a	TOR1A	same_symbol	1861	30931	HGNC:3098	MGI:1353568	True
TOR2A	TOR2A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.0482570169110956	0.22974002088633683	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.0482570169110956	cerebellar_biased	51628708	TOR2A	Tor2a	TOR2A	same_symbol	27433	30933	HGNC:11996	MGI:1353596	True
TOX4	TOX4	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.2294569456463269	0.2926725764776673	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.2294569456463269	cerebellar_biased	51626436	TOX4	Tox4	TOX4	same_symbol	9878	268741	HGNC:20161	MGI:1915389	True
TP53	TP53	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.02694060960217539	0.31818544526013404	4	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.02694060960217539	cerebellar_biased	51616567	TP53	Trp53	TRP53	nonidentical_symbol	7157	22059	HGNC:11998	MGI:98834	True
TP53I11	TP53I11	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.2092291381791777	0.5523007875359683	5	2	0.2047379835013634	0.005366742498130141	True	False	1.0	0.2092291381791777	cerebellar_biased	51620719	TP53I11	Trp53i11	TRP53I11	nonidentical_symbol	9537	277414	HGNC:16842	MGI:2670995	True
TP53INP2	TP53INP2	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.07811896716452334	0.18553278590001804	5	2	0.2047379835013634	0.015247217002160102	True	False	1.0	0.07811896716452334	cerebellar_biased	51627075	TP53INP2	Trp53inp2	TRP53INP2	nonidentical_symbol	58476	68728	HGNC:16104	MGI:1915978	True
TPD52L2	TPD52L2	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.24673943954782201	0.3221289421411284	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.24673943954782201	cerebellar_biased	51620134	TPD52L2	Tpd52l2	TPD52L2	same_symbol	7165	66314	HGNC:12007	MGI:1913564	True
TPI1	TPI1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.4224505736623756	0.798238038245377	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.4224505736623756	cerebellar_biased	51616931	TPI1	Tpi1	TPI1	same_symbol	7167	21991	HGNC:12009	MGI:98797	True
TPM3	TPM3	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.41652605489878336	0.6234703237382204	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.41652605489878336	cerebellar_biased	51617251	TPM3	Tpm3	TPM3	same_symbol	7170	59069	HGNC:12012	MGI:1890149	True
TPPP3	TPPP3	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.016612294252646646	0.253233082532019	3	2	0.2047379835013634	0.005366742498130141	True	False	1.0	0.016612294252646646	cerebellar_biased	51630006	TPPP3	Tppp3	TPPP3	same_symbol	51673	67971	HGNC:24162	MGI:1915221	True
