gene_symbol	feature_role	present_in_all_four_matrices	selection_seed
Arhgdia	background_pool	True	205921
Arhgdib	background_pool	True	205921
Arhgef2	background_pool	True	205921
Arid1a	background_pool	True	205921
Arid3a	background_pool	True	205921
Arid5b	background_pool	True	205921
Arl11	background_pool	True	205921
Arl6ip4	background_pool	True	205921
Armc1	background_pool	True	205921
Arnt	background_pool	True	205921
Arpc3	background_pool	True	205921
Arrdc5	background_pool	True	205921
Arsb	background_pool	True	205921
Arsi	background_pool	True	205921
Art4	background_pool	True	205921
Artn	background_pool	True	205921
Asb15	background_pool	True	205921
Asb4	background_pool	True	205921
Asb6	background_pool	True	205921
Ascc2	background_pool	True	205921
Ascl5	background_pool	True	205921
Asic2	background_pool	True	205921
Asic3	background_pool	True	205921
Asnsd1	background_pool	True	205921
Aspg	background_pool	True	205921
Astl	background_pool	True	205921
Atad2b	background_pool	True	205921
Atat1	background_pool	True	205921
Atf7	background_pool	True	205921
Atg13	background_pool	True	205921
Atg2b	background_pool	True	205921
Atmin	background_pool	True	205921
Atp10b	background_pool	True	205921
Atp12a	background_pool	True	205921
Atp13a5	background_pool	True	205921
Atp1a4	background_pool	True	205921
Atp4a	background_pool	True	205921
Atp5g2	background_pool	True	205921
Atp6v1e2	background_pool	True	205921
Atp6v1g3	background_pool	True	205921
Atp8b5	background_pool	True	205921
Atpsckmt	background_pool	True	205921
Atraid	background_pool	True	205921
Atxn1l	background_pool	True	205921
Atxn3	background_pool	True	205921
Atxn7	background_pool	True	205921
Atxn7l1	background_pool	True	205921
Aup1	background_pool	True	205921
Aurkc	background_pool	True	205921
Avpi1	background_pool	True	205921
Avpr1b	background_pool	True	205921
Axdnd1	background_pool	True	205921
Axl	background_pool	True	205921
Azgp1	background_pool	True	205921
B230217C12Rik	background_pool	True	205921
B230307C23Rik	background_pool	True	205921
B3galt2	background_pool	True	205921
B3gnt5	background_pool	True	205921
B4galnt3	background_pool	True	205921
B4galt7	background_pool	True	205921
BC024978	background_pool	True	205921
BC031181	background_pool	True	205921
BC035044	background_pool	True	205921
Baalc	background_pool	True	205921
Bach1	background_pool	True	205921
Bag1	background_pool	True	205921
Bag4	background_pool	True	205921
Baiap3	background_pool	True	205921
Batf2	background_pool	True	205921
Batf3	background_pool	True	205921
Baz1b	background_pool	True	205921
Bbs9	background_pool	True	205921
Bcan	background_pool	True	205921
Bcap29	background_pool	True	205921
Bcl10	background_pool	True	205921
Bcl6b	background_pool	True	205921
Bclaf3	background_pool	True	205921
Bcr	background_pool	True	205921
Bcs1l	background_pool	True	205921
Bdkrb1	background_pool	True	205921
Begain	background_pool	True	205921
Bend3	background_pool	True	205921
Bend6	background_pool	True	205921
Bex4	background_pool	True	205921
Bfsp2	background_pool	True	205921
Bhlhe41	background_pool	True	205921
Bin2	background_pool	True	205921
Birc6	background_pool	True	205921
Blcap	background_pool	True	205921
Blk	background_pool	True	205921
Bmerb1	background_pool	True	205921
Bmper	background_pool	True	205921
Bnc1	background_pool	True	205921
Bnip3	background_pool	True	205921
Bnip3l	background_pool	True	205921
Bok	background_pool	True	205921
Bola3	background_pool	True	205921
Bpifa1	background_pool	True	205921
Bpifa5	background_pool	True	205921
Brd9	background_pool	True	205921
Btbd1	background_pool	True	205921
Btbd35f11	background_pool	True	205921
Btbd35f20	background_pool	True	205921
Btbd35f26	background_pool	True	205921
Btbd35f6	background_pool	True	205921
Btnl2	background_pool	True	205921
Btnl9	background_pool	True	205921
Bzw2	background_pool	True	205921
C030006K11Rik	background_pool	True	205921
C1d	background_pool	True	205921
C1qtnf7	background_pool	True	205921
C1s2	background_pool	True	205921
C87436	background_pool	True	205921
C8a	background_pool	True	205921
Cab39l	background_pool	True	205921
Cables1	background_pool	True	205921
Cacna1d	background_pool	True	205921
Cacna1h	background_pool	True	205921
Cacna2d4	background_pool	True	205921
Cacnb4	background_pool	True	205921
Calml3	background_pool	True	205921
Calr4	background_pool	True	205921
Cand2	background_pool	True	205921
Capn12	background_pool	True	205921
Capn8	background_pool	True	205921
Caprin2	background_pool	True	205921
Car7	background_pool	True	205921
Carnmt1	background_pool	True	205921
Casd1	background_pool	True	205921
Casp12	background_pool	True	205921
Casp6	background_pool	True	205921
Catsper1	background_pool	True	205921
Ccar1	background_pool	True	205921
Ccdc121	background_pool	True	205921
Ccdc150	background_pool	True	205921
Ccdc152	background_pool	True	205921
Ccdc173	background_pool	True	205921
Ccdc188	background_pool	True	205921
Ccdc189	background_pool	True	205921
Ccdc25	background_pool	True	205921
Ccdc42	background_pool	True	205921
Ccdc7a	background_pool	True	205921
Ccdc87	background_pool	True	205921
Ccdc91	background_pool	True	205921
Ccdc92b	background_pool	True	205921
Ccdc9b	background_pool	True	205921
Cckar	background_pool	True	205921
Ccl19	background_pool	True	205921
Ccl26	background_pool	True	205921
Ccl28	background_pool	True	205921
Ccl7	background_pool	True	205921
Ccnd2	background_pool	True	205921
Ccndbp1	background_pool	True	205921
Ccne1	background_pool	True	205921
Ccnk	background_pool	True	205921
Ccpg1	background_pool	True	205921
Ccr1l1	background_pool	True	205921
Ccr7	background_pool	True	205921
Cd1d1	background_pool	True	205921
Cd200r2	background_pool	True	205921
Cd5	background_pool	True	205921
Cd52	background_pool	True	205921
Cd74	background_pool	True	205921
Cd9	background_pool	True	205921
Cd93	background_pool	True	205921
Cdc20	background_pool	True	205921
Cdc42bpa	background_pool	True	205921
Cdc5l	background_pool	True	205921
Cdc73	background_pool	True	205921
Cdca4	background_pool	True	205921
Cdcp2	background_pool	True	205921
Cdh17	background_pool	True	205921
Cdh26	background_pool	True	205921
Cdhr3	background_pool	True	205921
Cdk14	background_pool	True	205921
Cdkal1	background_pool	True	205921
Cdkn3	background_pool	True	205921
Cdv3	background_pool	True	205921
Cdx1	background_pool	True	205921
Ceacam16	background_pool	True	205921
Ceacam20	background_pool	True	205921
Ceacam5	background_pool	True	205921
Cebpb	background_pool	True	205921
Cela3b	background_pool	True	205921
Celf2	background_pool	True	205921
