dentate_state	feature_set	direction	gene_symbol	standardized_logistic_coefficient	absolute_coefficient
mature	downstream_all	cerebellum_to_dentate	Cacna2d1	0.22532981939232263	0.22532981939232263
mature	downstream_all	cerebellum_to_dentate	Cadm3	0.21155698192545047	0.21155698192545047
mature	downstream_all	cerebellum_to_dentate	Calm1	-0.19433246120968078	0.19433246120968078
mature	downstream_all	cerebellum_to_dentate	Calm2	-0.2048518180517098	0.2048518180517098
mature	downstream_all	cerebellum_to_dentate	Camk2a	-0.23563783977172506	0.23563783977172506
mature	downstream_all	cerebellum_to_dentate	Camk2b	-0.2322092938506939	0.2322092938506939
mature	downstream_all	cerebellum_to_dentate	Cfl1	-0.17329550694789328	0.17329550694789328
mature	downstream_all	cerebellum_to_dentate	Cntn5	-0.20073523845968855	0.20073523845968855
mature	downstream_all	cerebellum_to_dentate	Dcc	0.13663418047775644	0.13663418047775644
mature	downstream_all	cerebellum_to_dentate	Dpysl2	-0.23750138682898297	0.23750138682898297
mature	downstream_all	cerebellum_to_dentate	Dpysl3	0.017300376189102084	0.017300376189102084
mature	downstream_all	cerebellum_to_dentate	Gabra2	-0.06948536128640259	0.06948536128640259
mature	downstream_all	cerebellum_to_dentate	Gabrb3	0.1571090564073982	0.1571090564073982
mature	downstream_all	cerebellum_to_dentate	Gap43	0.22352033749730532	0.22352033749730532
mature	downstream_all	cerebellum_to_dentate	Gpm6a	0.1397629655589853	0.1397629655589853
mature	downstream_all	cerebellum_to_dentate	Grin2b	0.02305350035978737	0.02305350035978737
mature	downstream_all	cerebellum_to_dentate	Kcnd2	0.22407791646512937	0.22407791646512937
mature	downstream_all	cerebellum_to_dentate	Kcnj3	0.0755514791609483	0.0755514791609483
mature	downstream_all	cerebellum_to_dentate	Kcnj6	0.22350229124689644	0.22350229124689644
mature	downstream_all	cerebellum_to_dentate	Kcnk1	0.16222817070350415	0.16222817070350415
mature	downstream_all	cerebellum_to_dentate	L1cam	0.1866972698188545	0.1866972698188545
mature	downstream_all	cerebellum_to_dentate	Map1b	-0.2136834597806093	0.2136834597806093
mature	downstream_all	cerebellum_to_dentate	Ncam1	-0.22186783039022914	0.22186783039022914
mature	downstream_all	cerebellum_to_dentate	Nrp1	-0.14092754870618565	0.14092754870618565
mature	downstream_all	cerebellum_to_dentate	Nrxn1	0.20420941147649752	0.20420941147649752
mature	downstream_all	cerebellum_to_dentate	Plxna2	0.21837251525716403	0.21837251525716403
mature	downstream_all	cerebellum_to_dentate	Plxna4	-0.23208725349410578	0.23208725349410578
mature	downstream_all	cerebellum_to_dentate	Ppp3ca	0.13376272498952876	0.13376272498952876
mature	downstream_all	cerebellum_to_dentate	Robo2	-0.23531012814517024	0.23531012814517024
mature	downstream_all	cerebellum_to_dentate	Rtn1	-0.21985325490336588	0.21985325490336588
mature	downstream_all	cerebellum_to_dentate	Rtn3	0.2282461119471595	0.2282461119471595
mature	downstream_all	cerebellum_to_dentate	Slc17a6	0.027373232914908847	0.027373232914908847
mature	downstream_all	cerebellum_to_dentate	Slc17a7	0.23287231498182423	0.23287231498182423
mature	downstream_all	cerebellum_to_dentate	Snap25	0.21278919110167124	0.21278919110167124
mature	downstream_all	cerebellum_to_dentate	Stmn2	0.13067683742352065	0.13067683742352065
mature	downstream_all	cerebellum_to_dentate	Stmn3	-0.2055313941014665	0.2055313941014665
mature	downstream_all	cerebellum_to_dentate	Stxbp1	0.13922741822774748	0.13922741822774748
mature	downstream_all	cerebellum_to_dentate	Stxbp5l	0.22108050967011736	0.22108050967011736
