gene_symbol	value_scale	cerebellar_granule_minus_purkinje	cerebellar_bootstrap_95ci_low	cerebellar_bootstrap_95ci_high	dentate_granule_minus_mean_ca1_ca3	dentate_bootstrap_95ci_low	dentate_bootstrap_95ci_high	dentate_granule_minus_ca1	dentate_ca1_bootstrap_95ci_low	dentate_ca1_bootstrap_95ci_high	dentate_positive_vs_ca1	dentate_granule_minus_ca3	dentate_ca3_bootstrap_95ci_low	dentate_ca3_bootstrap_95ci_high	dentate_positive_vs_ca3	positive_against_both_hippocampal_comparators	shared_minimum_local_delta	shared_minimum_bootstrap_95ci_low	shared_minimum_bootstrap_95ci_high	bootstrap_fraction_both_positive	both_local_deltas_positive	n_cb_granule_libraries	n_purkinje_libraries	n_dg_granule_libraries	n_ca1_libraries	n_ca3_libraries
Sox2	mean Allen log2 expression	-0.01149279456907549	-0.022776317399653814	-0.002480595074660672	-0.014011771033230348	-0.02852974330720574	0.0013266146506389002	-0.03462087907653548	-0.059130090870909924	-0.013281935726808174	False	0.00659733701007479	-0.005869015625878897	0.019998376126506408	True	False	-0.014011771033230348	-0.028663810870368567	-0.006250946594998633	0.0	False	121	63	29	49	20
Hes1	mean Allen log2 expression	-0.03900413281790496	-0.07023922409329905	-0.013701072653879496	-1.4988442365989627	-1.745469960832769	-1.2696228668608631	-1.240333337634196	-1.559539779799856	-0.9552738448984883	False	-1.7573551355637294	-2.1218612066997973	-1.3819783352015191	False	False	-1.4988442365989627	-1.745469960832769	-1.2696228668608631	0.0	False	121	63	29	49	20
Hes5	mean Allen log2 expression	0.005786825218385689	-0.002872557905178714	0.013416730021803144	-0.01227721920685168	-0.03918913815692442	0.020342560723175144	-0.005834476587204242	-0.030619769582670295	0.025335864481790316	False	-0.01871996182649912	-0.055423067945656004	0.019759766698446472	False	False	-0.01227721920685168	-0.03918913815692442	0.00830884930211606	0.166	False	121	63	29	49	20
Notch1	mean Allen log2 expression	-0.012191284276956664	-0.021808121769887008	-0.004024956363028235	0.06731936724692722	0.040933167300496405	0.09274157520995716	0.06924187046139672	0.04226094701257245	0.09582011532515378	True	0.0653968640324577	0.038047250130259745	0.09196448154548711	True	True	-0.012191284276956664	-0.021808121769887008	-0.004024956363028235	0.0	False	121	63	29	49	20
Notch2	mean Allen log2 expression	-0.06672187492351234	-0.10829240494787411	-0.027116454400739808	0.8715521417758837	0.6716284391997986	1.0703295526639685	1.2260641471131655	1.059812844832363	1.4115726654604241	True	0.5170401364386019	0.24083447193174345	0.7958502790689498	True	True	-0.06672187492351234	-0.10829240494787411	-0.027116454400739808	0.0	False	121	63	29	49	20
Dll1	mean Allen log2 expression	-0.062087154405158516	-0.07729939831446737	-0.04738061786295392	-0.024361113530888087	-0.04481370689473721	-0.00417943068666026	-0.11675703949225037	-0.15506555024208094	-0.08092685534194768	False	0.06803481243047418	0.05527574141912335	0.08082090438465113	True	False	-0.062087154405158516	-0.07729939831446737	-0.047404265292755314	0.0	False	121	63	29	49	20
Jag1	mean Allen log2 expression	-0.005605645179761396	-0.011449236644751132	-0.0008919098777844176	0.36835651203504016	0.27306718346104625	0.46332108444745873	0.4743700618423931	0.4107594051017417	0.538024374599537	True	0.2623429622276872	0.0934997446140633	0.4055368418102151	True	True	-0.005605645179761396	-0.011449236644751132	-0.0008919098777844176	0.0035	False	121	63	29	49	20
Ascl1	mean Allen log2 expression	-0.11660644605822916	-0.13681531699511032	-0.09871794527027096	0.060070495960251935	0.037833968608933684	0.08169317583286934	0.05616941354150501	0.028754502392241612	0.08243507083391297	True	0.06397157837899888	0.03724470449525213	0.08996792055258464	True	True	-0.11660644605822916	-0.13681531699511032	-0.09871794527027096	0.0	False	121	63	29	49	20
Dcx	mean Allen log2 expression	0.004191273983066051	0.00021920766350296626	0.007206929007603958	-1.0965442206940994	-1.266368075326413	-0.9161486204707202	-0.5946413147872738	-0.8587202137395381	-0.32957983974994115	False	-1.5984471266009252	-1.781553865110673	-1.4167531340448898	False	False	-1.0965442206940994	-1.266368075326413	-0.9161486204707202	0.0	False	121	63	29	49	20
Tubb3	mean Allen log2 expression	-1.638897834846274	-1.9199624955703118	-1.3367637026008572	-2.3236588960096807	-2.4983926209111815	-2.1512180524464912	-2.424426958167822	-2.6456269269508255	-2.1926809599575336	False	-2.2228908338515394	-2.4373775457978937	-2.0255944924123157	False	False	-2.3236588960096807	-2.4983926209111815	-2.1512180524464912	0.0	False	121	63	29	49	20
Nes	mean Allen log2 expression	-0.0016859647918900263	-0.004508549189604318	0.00019631565905729295	-0.0024557313805485008	-0.005642729622218976	0.0009724193784669441	-0.0013545193874214385	-0.004862520967882071	0.0022946035230863183	False	-0.0035569433736755635	-0.007820343532466922	0.0007585244919767402	False	False	-0.0024557313805485008	-0.005733014931845128	-0.0006511625717911726	0.0155	False	121	63	29	49	20
Vim	mean Allen log2 expression	0.0021603989512294784	0.00035492924843186154	0.005245916137834058	-0.009265782134979474	-0.0161201174572809	-0.0022895577138368713	-0.009341701302079135	-0.01959661734681432	0.00012172125209519607	False	-0.00918986296787981	-0.01732628728579865	-0.0014725687324155798	False	False	-0.009265782134979474	-0.0161201174572809	-0.0022895577138368713	0.0035	False	121	63	29	49	20
Gfap	mean Allen log2 expression	0.003430283834057624	0.0017745216844941268	0.005644011374848951	0.010088890486758643	-0.008739645527157341	0.03315147057453836	0.006774482147797658	-0.017347517522135255	0.030436573081884223	True	0.013403298825719626	-0.005305033846339816	0.036491268771899565	True	True	0.003430283834057624	-0.008739645527157341	0.005471187257349507	0.827	True	121	63	29	49	20
Bmp4	mean Allen log2 expression	-0.0004570554021248186	-0.002036755271159558	0.0004373980964349187	-0.0002846121438336291	-0.0037892132686169117	0.003714587841921827	-0.0015434476966906694	-0.006861205136347803	0.003644367190312396	False	0.000974223409023411	-0.0023861643620541294	0.0047630866951984645	True	False	-0.0004570554021248186	-0.0037964149223521236	0.0003612891892340521	0.172	False	121	63	29	49	20
Bmpr1a	mean Allen log2 expression	-2.6918122730383964	-2.8015512869804344	-2.5831209810404365	0.08133558759498705	-0.061710342149882774	0.23145608656469038	0.5541365789642079	0.3869575837092343	0.7213532404443448	True	-0.3914654037742329	-0.5727669618205973	-0.21005640674161083	False	False	-2.6918122730383964	-2.8015512869804344	-2.5831209810404365	0.0	False	121	63	29	49	20
Id1	mean Allen log2 expression	-0.11324562128703472	-0.16569876909982598	-0.06215098102572893	-0.009659649050067073	-0.0195635602262056	0.0005018635133411763	-0.011657854943118126	-0.024657909081546848	0.0006677071133759047	False	-0.007661443157016017	-0.019706860229429256	0.0037934068219083986	False	False	-0.11324562128703472	-0.16569876909982598	-0.06215098102572893	0.0	False	121	63	29	49	20
Id2	mean Allen log2 expression	-8.471592469734142	-8.550189455387335	-8.39698562341816	0.32416730280154826	0.12062785849285672	0.5206925948990041	-0.16732901604471107	-0.46464349392752063	0.12424263411004494	False	0.8156636216478076	0.6559518690008705	0.98419277353572	True	False	-8.471592469734142	-8.550189455387335	-8.39698562341816	0.0	False	121	63	29	49	20
Wnt5a	mean Allen log2 expression	-0.09477743734933719	-0.11453370573432961	-0.07715157962592058	-0.04526828996634091	-0.0769498801189485	-0.015807890678083813	-0.07443164049135723	-0.12009522978336384	-0.03059220682655068	False	-0.0161049394413246	-0.055098396686614176	0.020503230223200535	False	False	-0.09477743734933719	-0.11453370573432961	-0.07715157962592058	0.0	False	121	63	29	49	20
Gpm6a	mean Allen log2 expression	2.6357143970872476	2.196390152005046	3.054896845836115	0.13740784682559415	0.038075773166424964	0.23769473618053855	-0.08449454025052461	-0.1895232011349671	0.023602116643571952	False	0.3593102339017147	0.2413285935383295	0.4787548812324407	True	False	0.13740784682559415	0.038075773166424964	0.23769473618053855	0.998	True	121	63	29	49	20
Robo2	mean Allen log2 expression	-7.991067969906087	-8.17662158674334	-7.7970921470019805	0.3378322569487615	0.1001266317541512	0.5965120455039113	0.8237462469737338	0.47392044579870307	1.1954514766918565	True	-0.14808173307620898	-0.4127191309451258	0.1500112143199383	False	False	-7.991067969906087	-8.17662158674334	-7.7970921470019805	0.0	False	121	63	29	49	20
Dcc	mean Allen log2 expression	0.47655397423065193	0.4105786307296644	0.5401278324674442	-1.716409348190444	-2.310847613482984	-1.1103793810702096	-0.9455769306158004	-1.5390172494804204	-0.34085968900416164	False	-2.487241765765088	-3.0454325812327427	-1.9376762625550932	False	False	-1.716409348190444	-2.310847613482984	-1.1103793810702096	0.0	False	121	63	29	49	20
Cadm3	mean Allen log2 expression	4.814857075042491	4.576044523775906	5.047001678206427	-1.8591131228249749	-2.072202281167894	-1.6385085164222828	-1.0014862966764024	-1.2474772323054455	-0.7596127779609594	False	-2.7167399489735473	-2.9404385842295704	-2.48392604739676	False	False	-1.8591131228249749	-2.072202281167894	-1.6385085164222828	0.0	False	121	63	29	49	20
Stmn2	mean Allen log2 expression	1.7358362451144647	1.4582357985839154	2.037250704257916	-5.568349276953891	-6.251016353110139	-4.8701712249609885	-4.799639786311111	-5.534402088054753	-4.123354143901679	False	-6.337058767596671	-7.02508517874806	-5.633599234358894	False	False	-5.568349276953891	-6.251016353110139	-4.8701712249609885	0.0	False	121	63	29	49	20
Stmn3	mean Allen log2 expression	-4.535824083421542	-4.876529040949992	-4.191403352176591	-1.420130808508044	-1.5914145502064654	-1.2585331692954265	-1.240906794023	-1.444844338709273	-1.0215875143521487	False	-1.5993548229930878	-1.7647042790439453	-1.4361876225077927	False	False	-4.535824083421542	-4.876529040949992	-4.191403352176591	0.0	False	121	63	29	49	20
Gap43	mean Allen log2 expression	4.704803894379543	4.618549608781234	4.8019050160180345	-4.483039704409532	-4.80623438432323	-4.14700141427127	-5.560498182694045	-6.129838940806394	-4.984478645161184	False	-3.4055812261250202	-3.6074844797504397	-3.2051564429455714	False	False	-4.483039704409532	-4.80623438432323	-4.14700141427127	0.0	False	121	63	29	49	20
Dpysl2	mean Allen log2 expression	-3.03917466559305	-3.1778735626286596	-2.897920931219535	-1.48801323539917	-1.7130827427746258	-1.2603996822773316	-1.120338949103843	-1.3806124938004762	-0.8747849731021665	False	-1.855687521694498	-2.0774031749582362	-1.6356170290208454	False	False	-3.03917466559305	-3.1778735626286596	-2.897920931219535	0.0	False	121	63	29	49	20
Dpysl3	mean Allen log2 expression	0.004463999332408642	-0.0057315967194340465	0.013894603789438903	-1.5645202349454164	-1.8564383555307669	-1.2558278882181113	-1.2224143819891546	-1.522650255926943	-0.9170132288937981	False	-1.906626087901678	-2.2728343994417677	-1.5409475399114012	False	False	-1.5645202349454164	-1.8564383555307669	-1.2558278882181113	0.0	False	121	63	29	49	20
Map1b	mean Allen log2 expression	-1.327751423808297	-1.4304640849245127	-1.2238747197675361	1.0838487539224975	1.024339787314401	1.1371194574875216	1.361761341979884	1.2905163123533259	1.432615764728504	True	0.805936165865111	0.743422264077512	0.8651962205977565	True	True	-1.327751423808297	-1.4304640849245127	-1.2238747197675361	0.0	False	121	63	29	49	20
Basp1	mean Allen log2 expression	-0.461652632436501	-0.6162215663740735	-0.30989977274739455	-0.6022633445032959	-0.7500474984976735	-0.4558748533239718	-0.4279303445749054	-0.6103338067341871	-0.25126243727695774	False	-0.7765963444316863	-0.9232234102000819	-0.6398056285107565	False	False	-0.6022633445032959	-0.7500474984976735	-0.47360334016111283	0.0	False	121	63	29	49	20
Ncam1	mean Allen log2 expression	-0.808818106769678	-0.9082435280355109	-0.7145359165865849	0.5867110065031333	0.4946167217364474	0.6854378033080256	0.4089739253195539	0.27085477813380565	0.5488153631185387	True	0.7644480876867128	0.6657031758778214	0.8735355866502035	True	True	-0.808818106769678	-0.9082435280355109	-0.7145359165865849	0.0	False	121	63	29	49	20
L1cam	mean Allen log2 expression	0.7191766984679089	0.6576886731308901	0.7809348963142959	-1.615306691393441	-1.8046953109845136	-1.4353954392385804	-1.908181239857976	-2.1137232733404105	-1.7109010694476192	False	-1.3224321429289057	-1.5928679324265456	-1.0840046378704729	False	False	-1.615306691393441	-1.8046953109845136	-1.4353954392385804	0.0	False	121	63	29	49	20
Cfl1	mean Allen log2 expression	-1.811886398449511	-2.1270666696068363	-1.500346280325047	-1.0014737776049945	-1.244741478001194	-0.7659010135061612	-0.6615181900589322	-1.000409491008438	-0.3099137003104236	False	-1.3414293651510576	-1.586603154674968	-1.112294266221814	False	False	-1.811886398449511	-2.1270666696068363	-1.500346280325047	0.0	False	121	63	29	49	20
Rtn1	mean Allen log2 expression	-2.194407371130028	-2.356855393121136	-2.0312530205599404	0.20919824593664416	0.11997389028216636	0.29208544476146825	0.14583843937460195	0.0382225761649301	0.26148571069949467	True	0.27255805249868637	0.1739715342326563	0.37514175024068863	True	True	-2.194407371130028	-2.356855393121136	-2.0312530205599404	0.0	False	121	63	29	49	20
Rtn3	mean Allen log2 expression	6.598766063839851	6.514806317968427	6.684885426355613	-0.4312598263286773	-0.518120951745122	-0.3628359186520505	-0.3888599083584854	-0.48118882196920865	-0.30599732345416764	False	-0.47365974429886926	-0.5512784557281831	-0.4027814347502192	False	False	-0.4312598263286773	-0.518120951745122	-0.3628359186520505	0.0	False	121	63	29	49	20
Nrxn1	mean Allen log2 expression	5.7223335697606945	5.2896184049472526	6.202258388143541	-0.7290430518386799	-0.8373662941259231	-0.6267077290242329	-0.7544305110092306	-0.8519701158188766	-0.6495133223426282	False	-0.7036555926681274	-0.840765395699194	-0.5621274330585573	False	False	-0.7290430518386799	-0.8373662941259231	-0.6267077290242329	0.0	False	121	63	29	49	20
Cntn5	mean Allen log2 expression	-4.296624743408966	-4.739608127520555	-3.8888720382125994	7.453251403119749	7.170879287399976	7.715423519218115	5.780723183388333	5.306594216900149	6.256356738555426	True	9.125779622851166	8.927223641466417	9.297856357331993	True	True	-4.296624743408966	-4.739608127520555	-3.8888720382125994	0.0	False	121	63	29	49	20
Plxna2	mean Allen log2 expression	2.1136230793765862	2.017942033407921	2.2111984570469723	-0.8135465410307159	-1.125086439291488	-0.4913912265188617	-0.923518461503213	-1.2871688642862076	-0.5711174371449173	False	-0.7035746205582187	-1.01225900112063	-0.3905511292826325	False	False	-0.8135465410307159	-1.125086439291488	-0.4913912265188617	0.0	False	121	63	29	49	20
Plxna4	mean Allen log2 expression	-6.286064698014414	-6.3919723909314445	-6.177509184004202	0.9943699157750956	0.9021447810137406	1.0865311704800877	1.11986236310719	1.0030391076457759	1.234660949506178	True	0.8688774684430012	0.7437928594219108	1.0044879224951415	True	True	-6.286064698014414	-6.3919723909314445	-6.177509184004202	0.0	False	121	63	29	49	20
