population	gene_symbol	n_libraries	mean_log2_expression	median_log2_expression	mean_detection_fraction
Dentate granule, mature	Glis3	29	8.774443982485238	8.448180154573206	0.9501293157821086
Dentate granule, mature	Gpm6a	29	9.285186324751772	9.164676615988562	0.9841205380356036
Dentate granule, mature	Grin2b	29	11.028956083818393	11.007317983086116	0.9998766842812381
Dentate granule, mature	Hes1	29	0.3503691068624855	0.3073513364838757	0.05145016353931122
Dentate granule, mature	Hes5	29	0.020943605543719303	0.0030724253291972	0.0029917168199875104
Dentate granule, mature	Id1	29	0.01003709421509673	0.0	0.0014134058350769002
Dentate granule, mature	Id2	29	0.9130269242497601	0.8145732357627468	0.13074154440262067
Dentate granule, mature	Jag1	29	0.5575162742043304	0.5492978755362287	0.08113475508807654
Dentate granule, mature	Kcnd2	29	11.607263755686928	11.647713672326232	0.9998520236470677
Dentate granule, mature	Kcnj3	29	9.27960013587137	9.340348374793768	0.9835411297499699
Dentate granule, mature	Kcnj6	29	9.209299136664004	9.399437425239237	0.9807904185520429
Dentate granule, mature	Kcnk1	29	4.789749997962011	5.087888069700396	0.6285216258414945
Dentate granule, mature	L1cam	29	0.6074705535477097	0.3778356534186575	0.08898540103028418
Dentate granule, mature	Lef1	29	0.0036021651124386656	0.0	0.0004825639338376
Dentate granule, mature	Lhx2	29	1.2094050728039465	1.1350017368957688	0.1741733417188429
Dentate granule, mature	Map1b	29	9.98416222511446	9.992574852573576	0.9960493277967968
Dentate granule, mature	Meis1	29	0.01659421179356791	0.0093904716650026	0.0024359048761749516
Dentate granule, mature	Mycn	29	0.17060134585958628	0.1478999987650474	0.025258571872568067
Dentate granule, mature	Ncam1	29	9.056170445013707	9.051918293040746	0.9814360549154431
Dentate granule, mature	Nes	29	0.0021482151177273	0.0	0.0003159659449338586
Dentate granule, mature	Neurod1	29	1.9396699213269104	1.8057358651935216	0.2735969949173388
Dentate granule, mature	Neurod2	29	4.096897576993728	4.5797374977213465	0.5457828991562249
Dentate granule, mature	Nfia	29	8.650257619393363	8.600941048309037	0.9592763898125803
Dentate granule, mature	Nfib	29	9.379668035714253	9.342266002227047	0.987776030632788
Dentate granule, mature	Notch1	29	0.09230208518867183	0.1079093513070229	0.012915805812416161
Dentate granule, mature	Notch2	29	1.6731432686972474	1.5098679193418625	0.23566498563371072
Dentate granule, mature	Nrp1	29	7.593635739446709	7.314583133900356	0.8852077044108683
Dentate granule, mature	Nrxn1	29	10.725088787485035	10.577718520349311	0.9988309045309084
Dentate granule, mature	Pax6	29	0.022468445841517363	0.0097806872540747	0.003223327851025745
Dentate granule, mature	Plxna2	29	4.567560690998186	4.180678406061793	0.6062727317681744
Dentate granule, mature	Plxna4	29	10.17322560998594	10.209487745772192	0.9969281091160286
