matrix	population	library	n_cells
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpMiM008d190320b	5
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpPiF005d190318b	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpPiF008d190314b	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpPiM002d190320b	3
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpPiM003d190318b	3
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpPiM004d190318b	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpPiM007d190320b	3
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpPiM008d190320b	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrRSPMiM015d210208A1	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrRSPPiF017d210210B1	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrS1iF022d210713A1	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrS1iF022d210713A6	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrVISPiF019d210623B1	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrVISPiM019d210623A3	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrVISiM022d210719B1	1
Isocortex	Purkinje	pBICCNsMMrRSPPiF017d210210A1	1
