matrix	population	library	n_cells
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF016d210119A2	30
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF016d210119A3	29
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201A1	241
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201A2	185
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201A3	150
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201B1	23
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201B2	466
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201B3	420
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM017d210119A1	151
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM017d210119A2	154
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM017d210119A3	141
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM017d210119B1	368
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM017d210119B2	425
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM017d210119B3	395
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA1iF014d210217	2354
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA1iM017d210223	2823
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA2CA3iF014d210217A1	571
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA2CA3iF014d210217A2	689
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA2CA3iM017d210223A1	456
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA2CA3iM017d210223A2	445
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA2iF014d210217	2320
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA2iM017d210223	3002
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA3iF014d210217	1567
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFCA3iM017d210223	2782
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFDG1iF014d210217	2
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFDG1iM017d210223	186
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFDG2iF014d210217	1
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFDG2iM017d210223	160
HPF	CA1/ProS pyramidal	pBICCNsMMrHPFDG3iM017d210223	180
HPF	CA1/ProS pyramidal	pBICCNsMMrSUBMiM016d210219A1	218
HPF	CA1/ProS pyramidal	pBICCNsMMrSUBMiM016d210219A2	219
HPF	CA1/ProS pyramidal	pBICCNsMMrSUBMiM016d210219A3	246
HPF	CA1/ProS pyramidal	pBICCNsMMrSUBMiM016d210219B3	591
HPF	CA3 pyramidal	pBICCNsMMrENTiM015d201201A1	13
HPF	CA3 pyramidal	pBICCNsMMrENTiM015d201201A2	5
HPF	CA3 pyramidal	pBICCNsMMrENTiM015d201201A3	3
HPF	CA3 pyramidal	pBICCNsMMrENTiM015d201201B2	2
HPF	CA3 pyramidal	pBICCNsMMrENTiM015d201201B3	3
HPF	CA3 pyramidal	pBICCNsMMrENTiM017d210119B1	39
HPF	CA3 pyramidal	pBICCNsMMrENTiM017d210119B2	41
HPF	CA3 pyramidal	pBICCNsMMrENTiM017d210119B3	33
HPF	CA3 pyramidal	pBICCNsMMrHPFCA1iF014d210217	554
HPF	CA3 pyramidal	pBICCNsMMrHPFCA1iM017d210223	277
HPF	CA3 pyramidal	pBICCNsMMrHPFCA2CA3iF014d210217A1	1485
HPF	CA3 pyramidal	pBICCNsMMrHPFCA2CA3iF014d210217A2	1768
HPF	CA3 pyramidal	pBICCNsMMrHPFCA2CA3iM017d210223A1	938
HPF	CA3 pyramidal	pBICCNsMMrHPFCA2CA3iM017d210223A2	960
HPF	CA3 pyramidal	pBICCNsMMrHPFCA2iF014d210217	433
HPF	CA3 pyramidal	pBICCNsMMrHPFCA2iM017d210223	270
HPF	CA3 pyramidal	pBICCNsMMrHPFCA3iF014d210217	338
HPF	CA3 pyramidal	pBICCNsMMrHPFCA3iM017d210223	267
HPF	CA3 pyramidal	pBICCNsMMrHPFDG1iF014d210217	673
HPF	CA3 pyramidal	pBICCNsMMrHPFDG1iM017d210223	500
HPF	CA3 pyramidal	pBICCNsMMrHPFDG2iF014d210217	659
HPF	CA3 pyramidal	pBICCNsMMrHPFDG2iM017d210223	385
HPF	CA3 pyramidal	pBICCNsMMrHPFDG3iF014d210217	641
HPF	CA3 pyramidal	pBICCNsMMrHPFDG3iM017d210223	488
HPF	CA3 pyramidal	pBICCNsMMrSUBMiM016d210219A1	807
HPF	CA3 pyramidal	pBICCNsMMrSUBMiM016d210219A2	820
HPF	CA3 pyramidal	pBICCNsMMrSUBMiM016d210219A3	929
HPF	CA3 pyramidal	pBICCNsMMrSUBMiM016d210219B3	936
HPF	Cerebellar granule	pBICCNsMMrENTiF015d201201A1	5
HPF	Cerebellar granule	pBICCNsMMrENTiF015d201201A2	7
HPF	Cerebellar granule	pBICCNsMMrENTiF015d201201A3	2
HPF	Cerebellar granule	pBICCNsMMrENTiF016d210119B2	288
HPF	Cerebellar granule	pBICCNsMMrENTiF016d210203B3	31
HPF	Cortical L4/5 IT excitatory	pBICCNsMMrENTiF016d210119B2	154
HPF	Cortical L4/5 IT excitatory	pBICCNsMMrENTiF016d210203B3	89
HPF	Dentate granule, immature	pBICCNsMMrENTiF015d201201A3	1
HPF	Dentate granule, immature	pBICCNsMMrENTiF015d201201B1	1
HPF	Dentate granule, immature	pBICCNsMMrENTiF015d201201B2	1
HPF	Dentate granule, immature	pBICCNsMMrENTiF015d201201B3	1
HPF	Dentate granule, immature	pBICCNsMMrENTiM015d201201A1	24
HPF	Dentate granule, immature	pBICCNsMMrENTiM015d201201A2	20
HPF	Dentate granule, immature	pBICCNsMMrENTiM015d201201A3	17
HPF	Dentate granule, immature	pBICCNsMMrENTiM015d201201B1	3
HPF	Dentate granule, immature	pBICCNsMMrENTiM015d201201B2	21
HPF	Dentate granule, immature	pBICCNsMMrENTiM015d201201B3	14
HPF	Dentate granule, immature	pBICCNsMMrENTiM017d210119B1	24
HPF	Dentate granule, immature	pBICCNsMMrENTiM017d210119B2	17
HPF	Dentate granule, immature	pBICCNsMMrENTiM017d210119B3	13
HPF	Dentate granule, immature	pBICCNsMMrHPFCA1iF014d210217	75
HPF	Dentate granule, immature	pBICCNsMMrHPFCA1iM017d210223	133
HPF	Dentate granule, immature	pBICCNsMMrHPFCA2CA3iF014d210217A1	25
HPF	Dentate granule, immature	pBICCNsMMrHPFCA2CA3iF014d210217A2	46
HPF	Dentate granule, immature	pBICCNsMMrHPFCA2CA3iM017d210223A1	14
HPF	Dentate granule, immature	pBICCNsMMrHPFCA2CA3iM017d210223A2	12
HPF	Dentate granule, immature	pBICCNsMMrHPFCA2iF014d210217	84
HPF	Dentate granule, immature	pBICCNsMMrHPFCA2iM017d210223	117
HPF	Dentate granule, immature	pBICCNsMMrHPFCA3iF014d210217	48
HPF	Dentate granule, immature	pBICCNsMMrHPFCA3iM017d210223	108
HPF	Dentate granule, immature	pBICCNsMMrHPFDG1iF014d210217	155
HPF	Dentate granule, immature	pBICCNsMMrHPFDG1iM017d210223	204
HPF	Dentate granule, immature	pBICCNsMMrHPFDG2iF014d210217	162
HPF	Dentate granule, immature	pBICCNsMMrHPFDG2iM017d210223	192
HPF	Dentate granule, immature	pBICCNsMMrHPFDG3iF014d210217	148
HPF	Dentate granule, immature	pBICCNsMMrHPFDG3iM017d210223	188
HPF	Dentate granule, immature	pBICCNsMMrSUBMiM016d210219A1	20
HPF	Dentate granule, immature	pBICCNsMMrSUBMiM016d210219A2	14
HPF	Dentate granule, immature	pBICCNsMMrSUBMiM016d210219A3	21
HPF	Dentate granule, immature	pBICCNsMMrSUBMiM016d210219B3	96
HPF	Dentate granule, mature	pBICCNsMMrENTiF015d201201A2	1
HPF	Dentate granule, mature	pBICCNsMMrENTiF015d201201A3	2
HPF	Dentate granule, mature	pBICCNsMMrENTiM015d201201A1	739
HPF	Dentate granule, mature	pBICCNsMMrENTiM015d201201A2	602
HPF	Dentate granule, mature	pBICCNsMMrENTiM015d201201A3	468
HPF	Dentate granule, mature	pBICCNsMMrENTiM015d201201B1	56
HPF	Dentate granule, mature	pBICCNsMMrENTiM015d201201B2	499
HPF	Dentate granule, mature	pBICCNsMMrENTiM015d201201B3	407
HPF	Dentate granule, mature	pBICCNsMMrENTiM017d210119A2	6
HPF	Dentate granule, mature	pBICCNsMMrENTiM017d210119A3	3
HPF	Dentate granule, mature	pBICCNsMMrENTiM017d210119B1	446
HPF	Dentate granule, mature	pBICCNsMMrENTiM017d210119B2	487
HPF	Dentate granule, mature	pBICCNsMMrENTiM017d210119B3	491
HPF	Dentate granule, mature	pBICCNsMMrHPFCA1iF014d210217	1321
HPF	Dentate granule, mature	pBICCNsMMrHPFCA1iM017d210223	2904
HPF	Dentate granule, mature	pBICCNsMMrHPFCA2CA3iF014d210217A1	645
HPF	Dentate granule, mature	pBICCNsMMrHPFCA2CA3iF014d210217A2	771
HPF	Dentate granule, mature	pBICCNsMMrHPFCA2CA3iM017d210223A1	191
HPF	Dentate granule, mature	pBICCNsMMrHPFCA2CA3iM017d210223A2	209
HPF	Dentate granule, mature	pBICCNsMMrHPFCA2iF014d210217	1276
HPF	Dentate granule, mature	pBICCNsMMrHPFCA2iM017d210223	2851
HPF	Dentate granule, mature	pBICCNsMMrHPFCA3iF014d210217	1017
HPF	Dentate granule, mature	pBICCNsMMrHPFCA3iM017d210223	2371
HPF	Dentate granule, mature	pBICCNsMMrHPFDG1iF014d210217	4275
