dataset	sample	source_group	specificity_role	mechanism_axis	mechanism_axis_label	n_present_axis_genes	n_cells	median_axis_score	mean_axis_score	within_sample_axis_rank
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	axon_guidance_adhesion	Axon guidance/adhesion	4	4520	0.17328679513998632	0.15624805705373712	0.8541666666666666
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	535	0.27465307216702745	0.2866829070012651	0.9583333333333334
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	1024	0.17328679513998632	0.19527760394843732	0.8541666666666666
GSE104323	10X_all_cells	GABA	other_local_cell_type	axon_guidance_adhesion	Axon guidance/adhesion	4	209	0.17328679513998632	0.2532619322572297	0.8541666666666666
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	axon_guidance_adhesion	Axon guidance/adhesion	4	532	0.40235947810852507	0.44641280265982325	1.0
GSE104323	10X_all_cells	GC-juv	dentate_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	3420	0.17328679513998632	0.13850955328945336	0.8541666666666666
GSE104323	10X_all_cells	GC-adult	dentate_granule	axon_guidance_adhesion	Axon guidance/adhesion	4	2613	0.0	0.09299593613790129	0.3958333333333333
GSE104323	10X_all_cells	RGL	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	199	0.057762265046662105	0.06432492821833075	0.20833333333333334
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	1232	0.11552453009332421	0.10723477265902778	0.5625
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	821	0.1493132891023379	0.16863001730950425	0.6666666666666666
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	651	0.11552453009332421	0.11842610207528913	0.5625
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	686	0.057762265046662105	0.07528046200927502	0.20833333333333334
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	182	0.057762265046662105	0.08560885252945086	0.20833333333333334
GSE104323	10X_all_cells	PVM	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	79	0.057762265046662105	0.07619540420353783	0.20833333333333334
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	428	0.057762265046662105	0.06248765367721539	0.20833333333333334
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	543	0.057762265046662105	0.07982302912146377	0.20833333333333334
GSE104323	10X_all_cells	VLMC	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	160	0.057762265046662105	0.06702597355000359	0.20833333333333334
GSE104323	10X_all_cells	MOL	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	704	0.09155102405567582	0.10997280663741109	0.4375
GSE104323	10X_all_cells	NFOL	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	232	0.09155102405567582	0.08842185653564266	0.4375
GSE104323	10X_all_cells	OPC	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	794	0.11552453009332421	0.12108529473419048	0.5625
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	468	0.057762265046662105	0.08884793190855338	0.20833333333333334
GSE104323	10X_all_cells	nIPC	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	353	0.057762265046662105	0.10188644678139974	0.20833333333333334
GSE104323	10X_all_cells	Neuroblast	dentate_granule	synaptic_excitability_maturation	Synaptic/excitability	12	1381	0.11552453009332421	0.14742038087841883	0.5625
GSE104323	10X_all_cells	Immature-GC	dentate_granule	synaptic_excitability_maturation	Synaptic/excitability	12	2419	0.37498413919418877	0.41785027644719286	0.8333333333333334
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	synaptic_excitability_maturation	Synaptic/excitability	12	4520	0.43274640424085087	0.4786842013407162	0.875
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	synaptic_excitability_maturation	Synaptic/excitability	12	535	0.2648378191956621	0.27963033240990837	0.7291666666666666
