concordance_class	comparator	feature_type	model_term_supported	n_contrasts	mean_broad_delta	mean_cluster_supported_delta	mean_shift_strict_minus_broad	max_robust_rank_score
weak_or_neutral	purkinje_candidate	Peaks	FatePolarity	20	-0.004039008673860235	0.07390313908666452	0.07794214776052474	0.0092189468777321
weak_or_neutral	purkinje_candidate	Peaks	NicheSignal	20	-0.037148896959426476	0.03453307147487557	0.07168196843430205	0.0041336754680299
weak_or_neutral	astrocyte_bergmann_candidate	Peaks	NicheSignal	14	-0.11264331841332649	-0.04595087836914019	0.0666924400441863	-0.0268266209672236
weak_or_neutral	oligodendrocyte_candidate	Peaks	NicheSignal	11	-0.03552181468188584	0.0021559067666737895	0.037677721448559624	0.0097612547153908
weak_or_neutral	purkinje_candidate	Gene Expression	NicheSignal	6	-0.038173636830041234	-0.010350370937547633	0.027823265892493603	-0.0175966480625816
weak_or_neutral	astrocyte_bergmann_candidate	Gene Expression	NicheSignal	5	-0.16176125648834863	-0.04636399929555858	0.11539725719279006	-0.1048963620364145
weak_or_neutral	oligodendrocyte_candidate	Peaks	FatePolarity	4	-0.0366464430306008	0.040528639562409804	0.0771750825930106	0.025236113464762
weak_or_neutral	purkinje_candidate	Gene Expression	FatePolarity	4	-0.08390905190273655	0.0318377561063085	0.11574680800904505	-0.0023948324805195
weak_or_neutral	oligodendrocyte_candidate	Gene Expression	NicheSignal	4	-0.0068932614009173	0.0231395849935525	0.0300328463944698	-0.0047522986454771
weak_or_neutral	astrocyte_bergmann_candidate	Peaks	FatePolarity	3	0.0245452813789807	0.07461500932921143	0.050069727950230736	0.0595719261344069
weak_or_neutral	oligodendrocyte_candidate	Peaks	ConstructionBalance	3	-0.009330584030479334	0.047650247177128006	0.05698083120760734	0.025236113464762
weak_or_neutral	astrocyte_bergmann_candidate	Gene Expression	FatePolarity	3	-0.09295576876152517	0.079233105931242	0.1721888746927672	-0.0522406882080749
weak_or_neutral	astrocyte_bergmann_candidate	Peaks	ConstructionBalance	2	0.0418037783765408	0.0782300560048487	0.036426277628307906	0.0595719261344069
weak_or_neutral	oligodendrocyte_candidate	Gene Expression	FatePolarity	2	-0.01386078670062215	0.0525834025229178	0.06644418922353995	0.0345187714189966
weak_or_neutral	astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	1	-0.0062621191668344	-0.0276100533115805	-0.0213479341447461	-0.0276100533115805
weak_or_neutral	oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	1	-0.033704143145454	-0.0346730547850835	-0.0009689116396294981	-0.0346730547850835
weak_or_neutral	purkinje_candidate	Gene Expression	EpigenomicCompatibility	1	-0.047703330805273	-0.0667273443172025	-0.01902401351192949	-0.0667273443172025
weak_or_neutral	astrocyte_bergmann_candidate	Gene Expression	marker_or_unassigned	1	-0.1386378464441541	0.0247860152234695	0.16342386166762363	-0.1386378464441541
weak_or_neutral	oligodendrocyte_candidate	Gene Expression	marker_or_unassigned	1	-0.1418169199693779	0.0559594736488875	0.1977763936182654	-0.1418169199693779
weak_or_neutral	purkinje_candidate	Gene Expression	marker_or_unassigned	1	-0.1674249719429184	-0.077043460218407	0.09038151172451139	-0.1674249719429184
