architecture	replicate	seed	n_inputs	n_outputs	expansion_ratio	input_degree	output_active_fraction_parameter	observed_output_active_fraction	median_input_hamming_distance	median_output_hamming_distance	median_input_jaccard_distance	median_output_jaccard_distance	separation_gain	near_pair_input_jaccard_distance	near_pair_output_jaccard_distance	near_pair_separation_gain	distance_spearman_correlation	collapse_rate	output_entropy_bits	active_fraction_penalty	information_retention_score	useful_pattern_separation_score	relative_wiring_cost	relative_active_output_load	relative_wiring_activity_cost	resource_adjusted_useful_score	loss_cerebellar_stem_input	loss_dentate_stem_lower_bound	loss_branch_complexity_overfit	morphology_sparse_sampling_score	loss_dandi_active_exact_match	loss_excessive_silence	dandi_activity_proxy_score	z_useful	z_resource_adjusted	z_information_retention	z_distance_structure	z_low_collapse	z_morphology	z_dandi_activity_proxy	empirical_calibration_score	resource_constrained_calibration_score	activity_exact_match_score	rank_empirical_calibration	rank_resource_constrained_calibration	rank_activity_exact_match
intermediate	3	40284	64	32	0.5	2	0.2	0.1875	0.28125	0.3125	0.9047619047619048	0.9090909090909092	1.0047846878846638	0.8076923076923077	0.8	0.9904761892498868	0.3462305926443203	0.0002913752913752	0.6355730185243642	0.5163977781172615	0.2199907043342972	0.1125207802051359	1.0	0.09375	0.1875	0.6001108245601342	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.5496889246926628	0.0	-0.3874222311731657	0.029094631273727387	6.529841401228719	0.8266947381822097	-0.2456208442262593	-0.019121472754862694	0.3967592703304354	1.359008167127492	1.7841227519928533	2.2341656724976677	-1.5496889246926628	21.0	22.0	81.0
intermediate	3	40335	64	64	1.0	2	0.2	0.203125	0.28125	0.3125	0.9047619047619048	0.8695652173913043	0.9610983971070696	0.8095238095238095	0.7619047619047619	0.9411764694256056	0.5706871074591872	9.712509712509713e-05	0.6623446597102836	0.4961389371355688	0.377954845524319	0.1764876377525022	2.0	0.203125	0.40625	0.4344311072444828	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.4342117078646017	0.0	-0.35855292696615043	0.5757247869147616	4.488566170691599	2.0485079520256737	0.6574174290412532	-0.006373824251622898	0.3967592703304354	1.4416692180177912	1.7618295999778804	1.9197889339360976	-1.4342117078646017	22.0	30.0	8.0
intermediate	2	30335	64	64	1.0	2	0.2	0.203125	0.28125	0.3125	0.9	0.8695652173913043	0.9661835738056898	0.8095238095238095	0.8181818181818182	1.0106951859172697	0.5111048791126444	0.0	0.6812811628970057	0.4961389371355688	0.3482061264041958	0.1746063029907979	2.0	0.203125	0.40625	0.4298001293809175	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.4342117078646017	0.0	-0.35855292696615043	0.5596478002839614	4.431509697158079	1.8184090331060914	0.4177049277228068	-0.0	0.3967592703304354	1.4416692180177912	1.6787553404759716	1.8655791391371062	-1.4342117078646017	23.0	34.0	8.0
intermediate	1	20286	64	128	2.0	2	0.05	0.046875	0.296875	0.09375	0.9	1.0	1.1111111098765432	0.8	0.9090909090909092	1.1363636349431818	0.4059787940196629	0.0	0.2545162015203639	0.9682458468798096	0.1033281805517028	0.1136898654088347	4.0	0.09375	0.1875	0.6063459456132735	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.5496889016095423	0.0	-0.8874222254023856	0.039085074002327885	6.6066618978555045	-0.07566077139153564	-0.005240596652107355	-0.0	0.3967592703304354	-0.07263440630478776	1.611235043064529	2.054186602199234	-3.5496889016095423	24.0	25.0	241.0
intermediate	3	40165	64	64	1.0	2	0.03	0.03125	0.3125	0.0625	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984375	0.2478749675255183	0.0026223776223776	0.1840857945670595	0.7905694276912053	0.0455106005765734	0.0449741117584132	2.0	0.03125	0.0625	0.7195857766212395	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	4.134651386941952	0.0	-1.033662846735488	-0.5481268753279452	8.00184572537483	-0.5228653247406766	-0.6413273085571706	-0.17209325479381676	0.3967592703304354	-0.4913630100688859	1.6070377205292694	2.2500729219190196	-4.134651386941952	25.0	21.0	271.0
intermediate	1	20436	64	128	2.0	2	0.2	0.203125	0.28125	0.3125	0.9090909090909092	0.8695652173913043	0.9565217380782608	0.8125	0.7906976744186046	0.9731663673174624	0.6867781518516813	0.0	0.6847756587073685	0.4961389371355688	0.4702889613200642	0.2270676097138496	4.0	0.40625	0.8125	0.2794678269961622	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.4342117078646017	0.0	-0.35855292696615043	1.0079570241334999	2.5793239849928873	2.7626892967150605	1.1244774132724455	-0.0	0.3967592703304354	1.4416692180177912	1.6004050482387748	1.5412273097988018	-1.4342117078646017	26.0	44.0	8.0
intermediate	2	30286	64	128	2.0	2	0.05	0.046875	0.28125	0.09375	0.9090909090909092	1.0	1.09999999879	0.8181818181818182	0.9090909090909092	1.1111111097530864	0.401212698875363	0.0	0.2606321031776551	0.9682458468798096	0.1045689095294691	0.1124982358232343	4.0	0.09375	0.1875	0.5999905878573003	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.5496889016095423	0.0	-0.8874222254023856	0.028901977773771202	6.528360011670161	-0.06606404235915503	-0.024415653045044866	-0.0	0.3967592703304354	-0.07263440630478776	1.5894012290225854	2.030098926452777	-3.5496889016095423	27.0	27.0	241.0
intermediate	2	30436	64	128	2.0	2	0.2	0.203125	0.296875	0.3125	0.9	0.8695652173913043	0.9661835738056898	0.8	0.7906976744186046	0.9883720917877906	0.6814857586829046	0.0	0.6788628668535561	0.4961389371355688	0.4626353758593473	0.2268624533340327	4.0	0.40625	0.8125	0.2792153268366983	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.4342117078646017	0.0	-0.35855292696615043	1.006203855881534	2.576213028929157	2.70349072304678	1.1031849433589442	-0.0	0.3967592703304354	1.4416692180177912	1.5863825414212884	1.5310636032790477	-1.4342117078646017	28.0	45.0	8.0
intermediate	3	40436	64	128	2.0	2	0.2	0.203125	0.296875	0.3125	0.9047619047619048	0.8695652173913043	0.9610983971070696	0.8076923076923077	0.7906976744186046	0.9789590242586088	0.670206667904743	0.0	0.6898776073336172	0.4961389371355688	0.4623605724731603	0.2245683866236247	4.0	0.40625	0.8125	0.2763918601196712	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.4342117078646017	0.0	-0.35855292696615043	0.9865998595146236	2.541426195832787	2.701365187428869	1.057806662988069	-0.0	0.3967592703304354	1.4416692180177912	1.5676241580471133	1.5163879237340674	-1.4342117078646017	29.0	48.0	8.0
intermediate	1	20335	64	64	1.0	2	0.2	0.203125	0.296875	0.3125	0.9047619047619048	0.8695652173913043	0.9610983971070696	0.8	0.7619047619047619	0.9523809511904762	0.5080993164079863	0.0	0.6735425994999662	0.4961389371355688	0.3422265343775909	0.1617065798223307	2.0	0.203125	0.40625	0.3980469647366985	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	1.4342117078646017	0.0	-0.35855292696615043	0.4494129387686201	4.040291330000181	1.7721583809235162	0.40561288326934	-0.0	0.3967592703304354	1.4416692180177912	1.5444628492955703	1.7192290588592822	-1.4342117078646017	30.0	36.0	8.0
intermediate	2	30165	64	64	1.0	2	0.03	0.03125	0.296875	0.0625	0.8947368421052632	1.0	1.1176470575743944	0.8	1.0	1.2499999984375	0.2368744996966483	0.0024281274281274	0.1870818840940904	0.7905694276912053	0.0442073254056772	0.0436861998775486	2.0	0.03125	0.0625	0.6989791868571115	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	4.134651386941952	0.0	-1.033662846735488	-0.5591327539795212	7.747959963418736	-0.5329458329691837	-0.6855846270917253	-0.1593456062905706	0.3967592703304354	-0.4913630100688859	1.537803080183039	2.1714687062179245	-4.134651386941952	31.0	23.0	271.0
intermediate	3	40286	64	128	2.0	2	0.05	0.046875	0.28125	0.09375	0.9047619047619048	1.0	1.10526315667313	0.8076923076923077	0.9090909090909092	1.1255411241475983	0.3921645273400967	0.0	0.2570050260833668	0.9682458468798096	0.1007882545780127	0.1098390921430161	4.0	0.09375	0.1875	0.5858084883051076	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.5496889016095423	0.0	-0.8874222254023856	0.0061782083168581735	6.353627889947934	-0.09530646498667683	-0.060818451182467946	-0.0	0.3967592703304354	-0.07263440630478776	1.5321989484746195	1.968748172650598	-3.5496889016095423	32.0	28.0	241.0
intermediate	3	40336	64	128	2.0	2	0.1	0.1015625	0.296875	0.1875	0.9090909090909092	0.96	1.0559999988384	0.8125	0.8695652173913043	1.0702341123951633	0.5315996044825991	0.0	0.4416943636527723	0.7016464119913641	0.2348045490200071	0.1763208231559806	4.0	0.203125	0.40625	0.4340204867002095	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	2.434211700762103	0.0	-0.6085529251905257	0.5742992691958041	4.483507074987218	0.9412761301897298	0.5001597471983786	-0.0	0.3967592703304354	0.7258479281240764	1.5170658302771445	1.7167476463360765	-2.434211700762103	33.0	37.0	91.0
excessively_sparse	3	40094	64	32	0.5	2	0.01	0.03125	0.28125	0.0625	0.9047619047619048	1.0	1.10526315667313	0.8095238095238095	1.0	1.2352941161211073	0.1781610572572484	0.0877039627039627	0.1692814834002205	0.7905694276912053	0.0275142719654423	0.0268700462645875	1.0	0.015625	0.03125	0.8598414529518746	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	4.134651386941952	0.0	-1.033662846735488	-0.7028355560114922	9.729881254856691	-0.6620624357565158	-0.9218018102810785	-5.755563299215477	0.3967592703304354	-0.4913630100688859	1.4786672833045487	2.1583152735323266	-4.134651386941952	34.0	24.0	271.0
