dataset	sample	branch	source_group	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE122357	P0	cerebellar	Endothelial cells	NFIA	Nfia	Nfia	15	1.0986122886681098	1.4868148072436327	1.0	0.6875	False		other	other	Endothelial cells
GSE122357	P0	cerebellar	Granule precursor	NEUROD1	Neurod1	Neurod1	2553	1.0986122886681098	1.1422431683891092	0.717978848413631	0.875	True	0.0	immature	early/precursor	P0 Granule precursor
GSE122357	P0	cerebellar	Granule cells	NEUROD1	Neurod1	Neurod1	2814	2.1972245773362196	2.0683351454898866	0.9744136460554371	1.0	True	0.2	immature	early/precursor	P0 Granule cells
GSE122357	P0	cerebellar	Interneuron	NEUROD1	Neurod1	Neurod1	418	0.6931471805599453	0.5586034474492944	0.5239234449760766	0.6875	False		other	other	Interneuron
GSE122357	P0	cerebellar	Microglia	NEUROD1	Neurod1	Neurod1	112	0.0	0.3410775716749857	0.30357142857142855	0.3125	False		other	other	Microglia
GSE122357	P0	cerebellar	Astrocytes	NEUROD1	Neurod1	Neurod1	1230	0.0	0.2122382108847961	0.22113821138211381	0.3125	False		other	other	Astrocytes
GSE122357	P0	cerebellar	Oligodendrocytes	NEUROD1	Neurod1	Neurod1	44	0.0	0.29268637406513737	0.2727272727272727	0.3125	False		other	other	Oligodendrocytes
GSE122357	P0	cerebellar	Purkinje cells	NEUROD1	Neurod1	Neurod1	92	0.0	0.2794794860351668	0.2608695652173913	0.3125	False		other	other	Purkinje cells
GSE122357	P0	cerebellar	Endothelial cells	NEUROD1	Neurod1	Neurod1	15	0.6931471805599453	0.9818078894622698	0.6666666666666666	0.6875	False		other	other	Endothelial cells
GSE122357	P0	cerebellar	Granule precursor	RBFOX3	Rbfox3	Rbfox3	2553	0.0	0.36905182960885236	0.4057971014492754	0.5	True	0.0	immature	early/precursor	P0 Granule precursor
GSE122357	P0	cerebellar	Granule cells	RBFOX3	Rbfox3	Rbfox3	2814	0.6931471805599453	0.5081883185590742	0.5476190476190477	1.0	True	0.2	immature	early/precursor	P0 Granule cells
