audit_scope	contrast_id	expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	target_class	background_classes	candidate_median_downstream_construction_balance	background_median_downstream_construction_balance	delta_downstream_construction_balance	candidate_median_regional_fate_balance	background_median_regional_fate_balance	delta_regional_fate_balance	candidate_median_configuration_score	background_median_configuration_score	delta_configuration_score	configuration_positive	driver_class	construction_positive	fate_positive	driver_notes
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|6|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	6	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	2.7755575615628914e-17	-0.1666666666666666	0.1666666666666667	-0.0416666666666666	0.2083333333333334	1.1102230246251563e-16	-0.0416666666666666	0.0416666666666667	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|7|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	7	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.0	-0.0416666666666666	0.0416666666666666	-0.3333333333333333	0.125	-0.4583333333333333	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|8|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	8	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	2.7755575615628914e-17	-0.1666666666666666	0.1666666666666667	-0.0833333333333333	0.2500000000000001	1.1102230246251563e-16	-0.0833333333333333	0.0833333333333334	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|9|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	9	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.1666666666666667	-0.1249999999999999	0.2916666666666667	-0.1666666666666666	0.0416666666666667	-0.2083333333333333	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|10|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	10	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	0.0833333333333333	-0.25	0.1666666666666667	-0.0833333333333333	0.2500000000000001	1.1102230246251563e-16	2.7755575615628914e-17	8.326672684688674e-17	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|11|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	11	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.1666666666666667	-0.1666666666666666	0.3333333333333333	-0.1666666666666666	2.7755575615628914e-17	-0.1666666666666666	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|12|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	12	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.0	-0.1666666666666666	0.1666666666666666	-0.3333333333333333	2.7755575615628914e-17	-0.3333333333333333	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|13|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	13	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666667	0.0833333333333333	-0.25	0.1666666666666667	-0.0833333333333333	0.2500000000000001	0.0	-2.7755575615628914e-17	2.7755575615628914e-17	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|14|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	14	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.0833333333333333	0.25	0.0	-0.1249999999999999	0.1249999999999999	0.1666666666666667	-0.2083333333333333	0.375	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|15|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	15	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	-0.0833333333333333	0.0833333333333333	0.3333333333333333	-0.1666666666666666	0.5	0.3333333333333333	-0.25	0.5833333333333334	True	both_components_positive	True	True	construction and regional fate both support the configuration
