dataset	region	axis_type	comparison_group	transition_id	transition_label	metric_type	metric_id	metric_label	start_label	end_label	start_score	end_score	delta_end_minus_start	direction
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8a_cerebellum	P0 to P8a cerebellar candidates	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	P0	P8a	0.3333333333333333	0.8333333333333333	0.49999999999999994	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	P0	P8b	0.3333333333333333	0.6666666666666666	0.3333333333333333	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	pathway	notch_hes	Notch/HES	P0	P8b	0.8333333333333333	0.6666666666666666	-0.16666666666666663	decreased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	pathway	shh_granule_expansion	SHH/PTCH/GLI	P0	P8b	0.3333333333333333	0.6666666666666666	0.3333333333333333	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	pathway	tgf_beta_smad	TGF-beta/SMAD	P0	P8b	0.3333333333333333	0.6666666666666666	0.3333333333333333	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	signature	differentiation_stop_index	Differentiation/stop signaling	P0	P8b	0.5333333333333333	0.6	0.06666666666666665	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	P0	P8b	0.9444444444444443	0.6666666666666666	-0.2777777777777777	decreased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	signature	stop_minus_permissive_index	Stop minus permissive balance	P0	P8b	-0.411111111111111	-0.06666666666666665	0.34444444444444433	increased
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	p0_to_p8b_cerebellum	P0 to P8b cerebellar candidates	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	P0	P8b	0.3333333333333333	0.6666666666666666	0.3333333333333333	increased
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	immature_activity_1hr	Immature activity, 1 hr	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	immature_1hr	immatureactive_1hr	0.375	0.375	0.0	unchanged
