donor_id	comparator	feature_type	model_term_supported	target_set	peak_category	n_barcodes_granule	n_barcodes_comparator	mean_feature_score_granule	mean_feature_score_comparator	delta_granule_minus_comparator	mean_detection_granule	mean_detection_comparator	delta_detection_granule_minus_comparator	n_donors	mean_delta_score	median_delta_score	mean_delta_detection	median_delta_detection
H628	purkinje_candidate	Peaks	FatePolarity	medial_pallium_dentate_lineage	gene_body_overlap	49	726	0.32065170674781396	0.2511137608050758	0.06953794594273816	0.10287380258225738	0.08520267611176702	0.017671126470490364					
H628	purkinje_candidate	Peaks	FatePolarity	medial_pallium_dentate_lineage	gene_edge_2kb	49	726	0.4561173130386019	0.3587754071268633	0.09734190591173864	0.152276295133438	0.12555626191989827	0.026720033213539718					
H628	purkinje_candidate	Peaks	FatePolarity	medial_pallium_dentate_lineage	proximal_10kb	49	726	0.42617115893183816	0.3598622021389016	0.06630895679293658	0.14030612244897958	0.12264692378328741	0.01765919866569217					
H628	purkinje_candidate	Peaks	FatePolarity	shared_neurogenic_niche_state	distal_100kb	49	726	0.4281490823948628	0.35233067982070343	0.0758184025741594	0.13283208020050125	0.11606495577787444	0.016767124422626803					
H628	purkinje_candidate	Peaks	FatePolarity	shared_neurogenic_niche_state	gene_body_overlap	49	726	0.5734618449535336	0.46367356055829956	0.10978828439523403	0.19727891156462585	0.1544230180593817	0.04285589350524416					
H628	purkinje_candidate	Peaks	FatePolarity	shared_neurogenic_niche_state	gene_edge_2kb	49	726	0.36897177226328437	0.2638729888941679	0.10509878336911649	0.12244897959183673	0.08911845730027548	0.03333052229156125					
H628	purkinje_candidate	Peaks	FatePolarity	shared_neurogenic_niche_state	proximal_10kb	49	726	0.32360377753637165	0.27309266299972695	0.0505111145366447	0.10689990281827015	0.089728453364817	0.017171449453453155					
H628	purkinje_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	distal_100kb	49	726	0.45990270031304403	0.3430208340703986	0.11688186624264546	0.15359828141783027	0.11678990865593737	0.0368083727618929					
H628	purkinje_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	gene_body_overlap	49	726	1.744545099566863	1.6068681902169542	0.13767690934990884	0.4489795918367347	0.512396694214876	-0.0634171023781413					
H628	purkinje_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	gene_edge_2kb	49	726	0.704219164624684	0.37919767697833157	0.32502148764635247	0.2653061224489796	0.13911845730027547	0.12618766514870414					
H628	purkinje_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	proximal_10kb	49	726	0.6181905138235709	0.595884776296481	0.022305737527089975	0.20408163265306123	0.20247933884297523	0.001602293810086003					
H628	purkinje_candidate	Peaks	NicheSignal	anterior_telencephalic_pattern	distal_100kb	49	726	0.2250275184461418	0.23317721030830532	-0.008149691862163522	0.07142857142857142	0.07460973370064279	-0.0031811622720713667					
H628	purkinje_candidate	Peaks	NicheSignal	cerebellar_fate_rhombic_lip_shh	distal_100kb	49	726	0.48269418192062996	0.40611212932306257	0.0765820525975674	0.1530612244897959	0.13539944903581266	0.01766177545398323					
H628	purkinje_candidate	Peaks	NicheSignal	cerebellar_fate_rhombic_lip_shh	gene_body_overlap	49	726	0.9853027644564618	0.8544512430783837	0.1308515213780781	0.336734693877551	0.2830578512396694	0.05367684263788158					
H628	purkinje_candidate	Peaks	NicheSignal	cerebellar_fate_rhombic_lip_shh	gene_edge_2kb	49	726	0.8342767058998234	0.6484418639128541	0.1858348419869693	0.29591836734693877	0.21831955922865015	0.07759880811828862					
H628	purkinje_candidate	Peaks	NicheSignal	cerebellar_fate_rhombic_lip_shh	proximal_10kb	49	726	0.43873121668148013	0.30373303195722656	0.13499818472425357	0.1457725947521866	0.10133805588351043	0.04443453886867617					
H628	purkinje_candidate	Peaks	NicheSignal	deep_neural_progenitor	distal_100kb	49	726	0.42279493365023857	0.34081115843613435	0.08198377521410422	0.12977498691784406	0.11181747545383909	0.01795751146400497					
H628	purkinje_candidate	Peaks	NicheSignal	deep_neural_progenitor	gene_body_overlap	49	726	0.24398910935119109	0.15105141454223212	0.09293769480895897	0.08571428571428572	0.051515151515151514	0.0341991341991342					
