comparator	feature_type	model_term_supported	target_set	peak_category	broad_n_donors	broad_mean_delta_score	broad_median_delta_score	broad_mean_delta_detection	broad_median_delta_detection	cluster_supported_n_donors	cluster_supported_mean_delta_score	cluster_supported_median_delta_score	cluster_supported_mean_delta_detection	cluster_supported_median_delta_detection	delta_shift_strict_minus_broad	detection_shift_strict_minus_broad	concordance_class	robust_rank_score	robust_detection_score
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	downstream_synaptic_excitability	gene_expression_or_marker	3.0	0.608507969501251	0.6563526336523203	0.1861160206477793	0.2053784029658076	3.0	1.196792306818738	1.2748307654755	0.2886307705704568	0.274390243902439	0.5882843373174871	0.10251474992267748	robust_positive_strong	0.608507969501251	0.1861160206477793
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_expression_or_marker	3.0	0.6023531852590972	0.5767270038369765	0.2259999718746587	0.2116717051653197	3.0	1.2029630937503433	1.1268107620170689	0.3581994735503593	0.3530626973731942	0.6006099084912461	0.1321995016757006	robust_positive_strong	0.6023531852590972	0.2259999718746587
astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	shared_postmitotic_granule_maturation	gene_expression_or_marker	3.0	0.5997774231433043	0.5877710682522329	0.2432092028061899	0.2263397464248857	3.0	1.327612561430773	1.2859232030620258	0.3723575313117024	0.3734170591313448	0.7278351382874687	0.1291483285055125	robust_positive_strong	0.5997774231433043	0.2432092028061899
oligodendrocyte_candidate	Gene Expression	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_expression_or_marker	3.0	0.5923597331709098	0.662446515593859	0.2296477626523726	0.271689497716895	3.0	1.0524556451386202	1.233175598240097	0.320245090058642	0.3930581613508442	0.4600959119677104	0.09059732740626938	robust_positive_strong	0.5923597331709098	0.2296477626523726
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_expression_or_marker	3.0	0.5891336815516107	0.625230193063517	0.19812719355346	0.197374871001032	3.0	1.1487506184427758	1.1696612541504623	0.3166959555540696	0.3048780487804878	0.5596169368911651	0.11856876200060959	robust_positive_strong	0.5891336815516107	0.19812719355346
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	3.0	0.5570504981400005	0.5242781303648621	0.1785400034783575	0.1927258056589925	3.0	1.1186969019667037	0.9788665078290872	0.3261641349298153	0.313506599220885	0.5616464038267032	0.14762413145145778	robust_positive_strong	0.5570504981400005	0.1785400034783575
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_edge_2kb	3.0	0.5521590667689571	0.5141574319632407	0.17870248922599	0.16153120801166	3.0	0.9616652515204396	0.9843643628650268	0.3063611182921586	0.3027400904495876	0.4095061847514825	0.12765862906616862	robust_positive_strong	0.5521590667689571	0.17870248922599
astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	downstream_neurite_morphology	gene_expression_or_marker	3.0	0.5297497046682694	0.5705671438265683	0.1765058155006675	0.1776919100973723	3.0	1.1869353908606584	1.198252897345931	0.3266733070215166	0.3263646922183507	0.6571856861923889	0.1501674915208491	robust_positive_strong	0.5297497046682694	0.1765058155006675
astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	downstream_neurite_synapse_construction	gene_expression_or_marker	3.0	0.5222067421741331	0.5736873007007554	0.1774928799568039	0.1861434266689131	3.0	1.152688082031653	1.180378692146124	0.3128625673452986	0.3153310104529616	0.6304813398575199	0.1353696873884947	robust_positive_strong	0.5222067421741331	0.1774928799568039
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_expression_or_marker	3.0	0.5222067421741331	0.5736873007007554	0.1774928799568039	0.1861434266689131	3.0	1.152688082031653	1.180378692146124	0.3128625673452986	0.3153310104529616	0.6304813398575199	0.1353696873884947	robust_positive_strong	0.5222067421741331	0.1774928799568039
astrocyte_bergmann_candidate	Peaks	ConstructionBalance	shared_postmitotic_granule_maturation	gene_edge_2kb	3.0	0.5035823449350957	0.5082483335964748	0.1707156596281099	0.1657547012707522	3.0	0.8512630306906511	0.8663757754622182	0.2908373844920314	0.2861794290365719	0.34768068575555544	0.1201217248639215	robust_positive_strong	0.5035823449350957	0.1707156596281099
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_edge_2kb	2.0	0.4845207301083227	0.4868061203770747	0.1764187643194413	0.1744805562292828	2.0	0.7760650262116898	0.7760650262116898	0.2739371592901042	0.2739371592901042	0.29154429610336713	0.09751839497066289	robust_positive_strong	0.4845207301083227	0.1764187643194413
astrocyte_bergmann_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_morphology	gene_expression_or_marker	3.0	0.4690982945882148	0.4760399748073564	0.1721863318392806	0.1708490329330112	3.0	1.125547020624216	1.1222543393280464	0.3277744422836628	0.3405253283302064	0.6564487260360012	0.15558811044438223	robust_positive_strong	0.4690982945882148	0.1721863318392806
oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_edge_2kb	3.0	0.4340866727243233	0.4612336385324243	0.1349726430216552	0.1263318112633181	3.0	0.8447453202174843	0.9275773316062031	0.2662823614276612	0.2560296846011132	0.410658647493161	0.131309718406006	robust_positive_strong	0.4340866727243233	0.1349726430216552
astrocyte_bergmann_candidate	Peaks	NicheSignal	cerebellar_fate_rhombic_lip_shh	gene_body_overlap	3.0	0.4304972586980848	0.3736189208516017	0.1349345202779198	0.1311584885478582	3.0	0.7606736534276554	0.7236372189055007	0.2374358440385341	0.2347560975609756	0.33017639472957055	0.1025013237606143	robust_positive_strong	0.4304972586980848	0.1349345202779198
astrocyte_bergmann_candidate	Peaks	NicheSignal	hindbrain_rhombic_lip_pattern	gene_body_overlap	3.0	0.4304972586980848	0.3736189208516017	0.1349345202779198	0.1311584885478582	3.0	0.7606736534276554	0.7236372189055007	0.2374358440385341	0.2347560975609756	0.33017639472957055	0.1025013237606143	robust_positive_strong	0.4304972586980848	0.1349345202779198
astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	3.0	0.4293028466093285	0.3457566589989759	0.1427048338803343	0.1232912169536745	3.0	1.117929617290029	1.0210939864676714	0.3661755572398784	0.3513126391397488	0.6886267706807006	0.22347072335954407	robust_positive_strong	0.4293028466093285	0.1427048338803343
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_edge_2kb	3.0	0.4290269090932764	0.4356729672464193	0.1442041766726439	0.1466789429186308	3.0	0.7587467903506112	0.7506731745986108	0.2533997027421964	0.2501017501017501	0.3297198812573348	0.10919552606955252	robust_positive_strong	0.4290269090932764	0.1442041766726439
astrocyte_bergmann_candidate	Gene Expression	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_expression_or_marker	3.0	0.4249091037443261	0.399812150346321	0.1353375571916389	0.1296330702007033	3.0	1.006063909247484	0.942441379491766	0.2969464137547131	0.2974295900365439	0.5811548055031578	0.1616088565630742	robust_positive_strong	0.4249091037443261	0.1353375571916389
oligodendrocyte_candidate	Peaks	ConstructionBalance	shared_postmitotic_granule_maturation	gene_edge_2kb	3.0	0.4131594252968347	0.4324713404191191	0.1439396699108123	0.1405893264840182	3.0	0.7660857242621549	0.8243637613972583	0.2666708118972644	0.3061224489795918	0.35292629896532024	0.12273114198645207	robust_positive_strong	0.4131594252968347	0.1439396699108123
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_edge_2kb	1.0	0.4091814038908938	0.4091814038908938	0.1510416666666666	0.1510416666666666	1.0	0.704219164624684	0.704219164624684	0.2653061224489796	0.2653061224489796	0.29503776073379023	0.114264455782313	robust_positive_strong	0.4091814038908938	0.1510416666666666
astrocyte_bergmann_candidate	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_edge_2kb	1.0	0.4091814038908938	0.4091814038908938	0.1510416666666666	0.1510416666666666	1.0	0.704219164624684	0.704219164624684	0.2653061224489796	0.2653061224489796	0.29503776073379023	0.114264455782313	robust_positive_strong	0.4091814038908938	0.1510416666666666
astrocyte_bergmann_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	gene_edge_2kb	1.0	0.4091814038908938	0.4091814038908938	0.1510416666666666	0.1510416666666666	1.0	0.704219164624684	0.704219164624684	0.2653061224489796	0.2653061224489796	0.29503776073379023	0.114264455782313	robust_positive_strong	0.4091814038908938	0.1510416666666666
oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_edge_2kb	1.0	0.4091814038908938	0.4091814038908938	0.1510416666666666	0.1510416666666666	1.0	0.704219164624684	0.704219164624684	0.2653061224489796	0.2653061224489796	0.29503776073379023	0.114264455782313	robust_positive_strong	0.4091814038908938	0.1510416666666666
oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_edge_2kb	1.0	0.4091814038908938	0.4091814038908938	0.1510416666666666	0.1510416666666666	1.0	0.704219164624684	0.704219164624684	0.2653061224489796	0.2653061224489796	0.29503776073379023	0.114264455782313	robust_positive_strong	0.4091814038908938	0.1510416666666666
oligodendrocyte_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	gene_edge_2kb	1.0	0.4091814038908938	0.4091814038908938	0.1510416666666666	0.1510416666666666	1.0	0.704219164624684	0.704219164624684	0.2653061224489796	0.2653061224489796	0.29503776073379023	0.114264455782313	robust_positive_strong	0.4091814038908938	0.1510416666666666
